Reconstruction Coord z;Map Coord z;Error z;
0,082944;0,005543;0,077401;
0,051719;0,000000;0,051719;
0,053505;0,355507;0,302002;
0,010821;0,202946;0,192125;
0,037909;0,095190;0,057281;
0,009459;0,008889;0,000570;
0,043711;0,205190;0,161480;
0,042679;0,184304;0,141625;
0,049253;0,434958;0,385706;
0,044076;0,000000;0,044076;
0,039848;0,095195;0,055346;
0,037875;0,093554;0,055679;
0,033879;0,008528;0,025351;
0,054138;0,000000;0,054138;
0,041751;0,168800;0,127049;
0,033904;0,011323;0,022581;
0,033904;0,011323;0,022581;
0,043911;0,200045;0,156134;
0,040637;0,149910;0,109273;
0,042870;0,197223;0,154354;
0,037796;0,091364;0,053568;
0,029878;0,443492;0,413614;
0,041337;0,175469;0,134131;
0,042132;0,173306;0,131174;
0,041641;0,163577;0,121936;
0,041641;0,163577;0,121936;
0,040612;0,149509;0,108896;
0,047369;0,000000;0,047369;
0,040641;0,091963;0,051322;
0,035949;0,000000;0,035949;
0,047951;0,094737;0,046786;
0,041517;0,162466;0,120949;
0,045049;0,228789;0,183740;
0,012375;0,163883;0,151509;
0,038950;0,113902;0,074952;
0,037831;0,460514;0,422684;
0,032973;0,177984;0,145010;
0,039496;0,114442;0,074946;
0,033653;0,097321;0,063668;
0,034276;0,017253;0,017022;
0,056815;0,000000;0,056815;
0,055646;0,394678;0,339031;
0,034486;0,023135;0,011350;
0,034486;0,023135;0,011350;
0,041123;0,470193;0,429069;
0,011387;0,100382;0,088995;
0,038176;0,100837;0,062661;
0,038303;0,100877;0,062574;
0,038935;0,101197;0,062262;
0,035067;0,124564;0,089496;
0,088252;0,028451;0,059801;
0,038952;0,114375;0,075424;
0,037905;0,097331;0,059427;
0,034796;0,027153;0,007643;
0,034680;0,026974;0,007706;
0,038848;0,112689;0,073841;
0,038262;0,105990;0,067728;
0,036918;0,077107;0,040190;
0,037617;0,063559;0,025943;
0,037617;0,063559;0,025943;
0,035032;0,037413;0,002381;
0,035132;0,034206;0,000925;
0,038394;0,059855;0,021461;
0,049654;0,000000;0,049654;
0,037267;0,078347;0,041080;
0,036128;0,058311;0,022183;
0,036277;0,057097;0,020819;
0,035513;0,043486;0,007973;
0,035356;0,038709;0,003353;
0,035569;0,044907;0,009338;
0,010546;0,041136;0,030590;
0,037703;0,403245;0,365542;
0,342538;0,000000;0,342538;
0,050979;0,302165;0,251186;
0,050979;0,302165;0,251186;
0,036378;0,060809;0,024431;
0,036276;0,060809;0,024533;
0,035806;0,306578;0,270772;
0,010451;0,348883;0,338432;
0,036896;0,254094;0,217198;
0,050307;0,000000;0,050307;
0,052447;0,000000;0,052447;
0,052447;0,000000;0,052447;
0,051749;0,000000;0,051749;
0,049885;0,279078;0,229192;
0,049966;0,279078;0,229112;
0,050703;0,487202;0,436499;
0,049940;0,294012;0,244073;
0,051547;0,316290;0,264743;
0,049341;0,281775;0,232433;
0,055632;0,000000;0,055632;
0,049698;0,297569;0,247871;
0,047192;0,253550;0,206358;
0,050406;0,292241;0,241835;
0,057536;0,395700;0,338165;
0,055055;0,375277;0,320222;
0,048279;0,503044;0,454766;
0,056142;0,377940;0,321799;
0,055211;0,376720;0,321509;
0,051186;0,283929;0,232743;
0,047443;0,258477;0,211034;
0,049616;0,273640;0,224024;
0,041579;0,272798;0,231218;
0,049929;0,293882;0,243953;
0,055793;0,383631;0,327837;
0,056533;0,000000;0,056533;
0,050138;0,000000;0,050138;
0,051231;0,289788;0,238557;
0,051231;0,289788;0,238557;
0,048080;0,282162;0,234082;
0,052142;0,277313;0,225171;
0,052142;0,277313;0,225171;
0,047730;0,267012;0,219283;
0,050056;0,277644;0,227588;
0,050430;0,302532;0,252102;
0,050356;0,277609;0,227253;
0,070712;0,272011;0,201300;
0,050998;0,298787;0,247789;
0,050697;0,544821;0,494124;
0,049022;0,403928;0,354906;
0,071659;0,276736;0,205077;
0,051883;0,298736;0,246854;
0,048932;0,281045;0,232113;
0,057014;0,399325;0,342311;
0,087929;0,285788;0,197859;
0,070615;0,570283;0,499668;
0,055780;0,384003;0,328222;
0,111683;0,312091;0,200408;
0,063453;0,554821;0,491368;
0,054652;0,349058;0,294406;
0,056121;0,370782;0,314661;
0,050946;0,311244;0,260297;
0,054100;0,000000;0,054100;
0,056338;0,390454;0,334116;
0,051958;0,331226;0,279268;
0,013814;0,000000;0,013814;
0,056300;0,392872;0,336572;
0,056300;0,392872;0,336572;
0,109782;0,491280;0,381498;
0,066368;0,410579;0,344211;
0,049325;0,296058;0,246733;
0,052533;0,505460;0,452927;
0,055427;0,491630;0,436203;
0,051271;0,322359;0,271088;
0,068892;0,524752;0,455860;
0,056679;0,398217;0,341538;
0,051428;0,552696;0,501268;
0,058532;0,426243;0,367711;
0,060366;0,000000;0,060366;
0,057068;0,405527;0,348459;
0,049619;0,530290;0,480670;
0,061201;0,556430;0,495229;
0,062075;0,000000;0,062075;
0,061311;0,633373;0,572062;
0,053512;0,000000;0,053512;
0,010030;0,600916;0,590886;
0,056995;0,639398;0,582403;
0,012879;0,434293;0,421414;
0,057325;0,581566;0,524242;
0,014781;0,628874;0,614094;
0,058979;0,000000;0,058979;
0,054836;0,360344;0,305509;
0,054836;0,360344;0,305509;
0,057379;0,416728;0,359349;
0,064911;0,639746;0,574835;
0,049127;0,294076;0,244950;
0,051920;0,328197;0,276277;
0,052611;0,330834;0,278223;
0,085582;0,000000;0,085582;
0,049935;0,303355;0,253420;
0,054404;0,393518;0,339114;
0,010782;0,000000;0,010782;
0,051119;0,319847;0,268728;
0,055707;0,630894;0,575187;
0,055707;0,630894;0,575187;
0,057085;0,632889;0,575804;
0,057085;0,632889;0,575804;
0,052911;0,358383;0,305472;
0,052459;0,343671;0,291211;
0,066536;0,670615;0,604080;
0,055055;0,363607;0,308551;
0,055055;0,363607;0,308551;
0,051550;0,326699;0,275149;
0,062398;0,619072;0,556674;
0,063797;0,485468;0,421671;
0,059730;0,436085;0,376354;
0,058575;0,422820;0,364245;
0,054267;0,412818;0,358552;
0,080473;0,684753;0,604280;
0,060721;0,509340;0,448619;
0,065337;0,609324;0,543987;
0,057363;0,415017;0,357655;
0,063616;0,494318;0,430701;
0,054914;0,374475;0,319560;
0,049151;0,292432;0,243281;
0,085356;0,705465;0,620109;
0,072680;0,706731;0,634052;
0,051846;0,332771;0,280925;
0,093872;0,000000;0,093872;
0,053526;0,357028;0,303503;
