Reconstruction Coord z;Map Coord z;Error z;
0,055150;0,104226;0,049076;
0,100747;0,438788;0,338041;
0,099763;0,426203;0,326440;
0,075728;0,268258;0,192530;
0,075728;0,268258;0,192530;
0,100445;0,439764;0,339319;
0,056098;0,534722;0,478624;
0,055092;0,102268;0,047176;
0,055092;0,102268;0,047176;
0,054801;0,100572;0,045771;
0,054302;0,096583;0,042281;
0,054641;0,099626;0,044985;
0,054434;0,097869;0,043436;
0,055227;0,106259;0,051032;
0,030785;0,097270;0,066485;
0,054277;0,097075;0,042798;
0,074556;0,000000;0,074556;
0,101794;0,443479;0,341685;
0,054931;0,102101;0,047170;
0,099734;0,431968;0,332234;
0,099991;0,435188;0,335196;
0,054541;0,099459;0,044918;
0,053733;0,101028;0,047295;
0,097780;0,423095;0,325316;
0,054811;0,100949;0,046138;
0,054811;0,100949;0,046138;
0,054658;0,099323;0,044665;
0,054487;0,098570;0,044083;
0,098806;0,426724;0,327918;
0,098806;0,426724;0,327918;
0,103179;0,450656;0,347477;
0,103179;0,450656;0,347477;
0,074762;0,267718;0,192956;
0,102143;0,446205;0,344062;
0,053982;0,529816;0,475834;
0,103094;0,453140;0,350046;
0,054913;0,105430;0,050517;
0,063570;0,554368;0,490799;
0,104046;0,459192;0,355147;
0,106361;0,476065;0,369704;
0,055379;0,104520;0,049141;
0,055379;0,104520;0,049141;
0,055803;0,546115;0,490312;
0,102638;0,449780;0,347142;
0,103866;0,456453;0,352587;
0,103866;0,456453;0,352587;
0,021152;0,456453;0,435301;
0,056032;0,549053;0,493021;
0,100113;0,435492;0,335379;
0,059206;0,557589;0,498383;
0,108743;0,482138;0,373395;
0,108743;0,482138;0,373395;
0,056260;0,116024;0,059765;
0,056372;0,115990;0,059618;
0,056376;0,116389;0,060013;
0,056344;0,116381;0,060036;
0,056220;0,116595;0,060376;
0,056329;0,116920;0,060591;
0,056332;0,116006;0,059674;
0,056332;0,116006;0,059674;
0,055440;0,105502;0,050062;
0,055045;0,106214;0,051169;
0,101613;0,441852;0,340239;
0,063804;0,114134;0,050330;
0,050945;0,119025;0,068081;
0,103867;0,458019;0,354152;
0,056336;0,114630;0,058294;
0,056336;0,114630;0,058294;
0,108368;0,484353;0,375985;
0,056559;0,115245;0,058686;
0,071294;0,546764;0,475470;
0,071294;0,546764;0,475470;
0,107970;0,478253;0,370283;
0,109060;0,486547;0,377487;
0,056822;0,120158;0,063336;
0,056563;0,119974;0,063411;
0,057082;0,120441;0,063358;
0,056968;0,120441;0,063472;
0,056820;0,120236;0,063416;
0,109400;0,481994;0,372594;
0,109400;0,481994;0,372594;
0,108359;0,478698;0,370340;
0,108359;0,478698;0,370340;
0,057097;0,120834;0,063738;
0,054047;0,108126;0,054079;
0,065710;0,191390;0,125680;
0,056615;0,119270;0,062655;
0,056845;0,555609;0,498765;
0,014162;0,546424;0,532262;
0,102607;0,448869;0,346262;
0,107091;0,475230;0,368140;
0,108635;0,480085;0,371450;
0,109292;0,483653;0,374361;
0,056759;0,120125;0,063366;
0,056828;0,120299;0,063471;
0,056850;0,120575;0,063726;
0,056886;0,120453;0,063566;
0,067222;0,548501;0,481279;
0,103765;0,457786;0,354021;
0,100942;0,442952;0,342010;
0,101401;0,441216;0,339815;
0,101401;0,441216;0,339815;
0,108837;0,483107;0,374270;
0,100760;0,438483;0,337723;
0,105711;0,467680;0,361969;
0,108757;0,481278;0,372521;
0,108757;0,481278;0,372521;
0,107146;0,473023;0,365877;
0,104348;0,462473;0,358125;
0,107458;0,480517;0,373058;
0,083680;0,556693;0,473013;
0,058379;0,421665;0,363286;
0,014582;0,568344;0,553762;
0,104915;0,461138;0,356224;
0,055825;0,112168;0,056343;
0,103296;0,457399;0,354104;
0,102962;0,450855;0,347893;
0,107795;0,462675;0,354880;
0,110920;0,495290;0,384370;
0,110920;0,495290;0,384370;
0,065606;0,195267;0,129660;
0,045548;0,420579;0,375031;
0,065643;0,195208;0,129565;
0,065104;0,195208;0,130104;
0,110429;0,491691;0,381263;
0,110429;0,491691;0,381263;
0,059369;0,556108;0,496739;
0,102581;0,448796;0,346215;
0,112481;0,501798;0,389316;
0,112481;0,501798;0,389316;
0,038139;0,426845;0,388706;
0,126410;0,569930;0,443521;
0,099528;0,432489;0,332961;
0,019853;0,483694;0,463841;
0,068770;0,575774;0,507005;
0,015992;0,570310;0,554319;
0,015992;0,570310;0,554319;
0,112363;0,498675;0,386312;
0,112363;0,498675;0,386312;
0,126007;0,568630;0,442623;
0,067324;0,299088;0,231764;
0,112327;0,500412;0,388084;
0,019747;0,569972;0,550226;
0,066645;0,570265;0,503620;
0,107265;0,474360;0,367095;
0,111232;0,496964;0,385733;
0,018183;0,555026;0,536843;
0,015589;0,435093;0,419505;
0,056812;0,117690;0,060877;
0,106516;0,475521;0,369005;
0,056875;0,120072;0,063197;
0,100195;0,435082;0,334888;
0,100195;0,435082;0,334888;
0,108168;0,479014;0,370846;
0,056585;0,116482;0,059897;
0,056582;0,117420;0,060838;
0,057234;0,116937;0,059703;
0,056442;0,116937;0,060495;
0,056490;0,117496;0,061006;
0,056910;0,121627;0,064717;
0,109136;0,489344;0,380208;
0,056650;0,119319;0,062669;
0,017836;0,119319;0,101483;
0,061124;0,000000;0,061124;
0,116898;0,528979;0,412080;
0,056728;0,119509;0,062781;
0,106825;0,470571;0,363746;
0,056574;0,118135;0,061561;
0,056574;0,118135;0,061561;
0,081678;0,317502;0,235824;
0,111717;0,497534;0,385817;
0,061226;0,531852;0,470626;
0,109814;0,490158;0,380344;
0,056809;0,119259;0,062451;
0,056809;0,119259;0,062451;
0,056936;0,119441;0,062506;
0,116559;0,521812;0,405254;
0,058107;0,434209;0,376102;
0,056694;0,118619;0,061925;
0,057534;0,125967;0,068433;
0,079485;0,310681;0,231196;
0,066668;0,203863;0,137195;
0,020411;0,573476;0,553065;
0,034352;0,577629;0,543277;
0,126931;0,575015;0,448084;
0,126931;0,575015;0,448084;
0,116637;0,527457;0,410820;
0,106545;0,474314;0,367769;
0,059757;0,518596;0,458838;
0,058025;0,130387;0,072362;
0,471510;0,131039;0,340472;
0,058681;0,136991;0,078310;
0,058453;0,137138;0,078684;
0,060287;0,130506;0,070218;
0,058467;0,132467;0,074000;
0,066857;0,206497;0,139641;
0,066857;0,206497;0,139641;
0,058643;0,135087;0,076444;
0,019090;0,132647;0,113557;
0,058491;0,132353;0,073861;
0,058584;0,132348;0,073764;
0,058025;0,130995;0,072970;
0,057938;0,129763;0,071825;
0,057940;0,131559;0,073619;
0,059469;0,143851;0,084381;
0,067030;0,208062;0,141032;
0,015969;0,137845;0,121876;
0,067185;0,210070;0,142885;
0,101642;0,441951;0,340309;
0,067173;0,208761;0,141589;
0,117126;0,516467;0,399340;
0,057373;0,125947;0,068573;
0,115956;0,513166;0,397210;
0,108254;0,494556;0,386302;
0,129933;0,585069;0,455136;
0,113961;0,509033;0,395072;
0,060507;0,152035;0,091528;
0,103744;0,459127;0,355383;
0,103744;0,459127;0,355383;
0,120472;0,538873;0,418402;
0,057345;0,133021;0,075675;
0,060391;0,151732;0,091341;
0,114950;0,516606;0,401656;
0,113600;0,506645;0,393045;
0,106935;0,474116;0,367181;
0,106935;0,474116;0,367181;
0,060506;0,153226;0,092720;
0,122812;0,554322;0,431510;
0,128686;0,577497;0,448811;
0,128686;0,577497;0,448811;
0,120737;0,543830;0,423093;
0,113332;0,499958;0,386627;
0,114954;0,512546;0,397591;
0,114954;0,512546;0,397591;
0,060255;0,149279;0,089024;
0,108831;0,484497;0,375666;
0,060451;0,152844;0,092393;
0,112044;0,503038;0,390994;
0,112044;0,503038;0,390994;
0,059348;0,146272;0,086924;
0,123040;0,556721;0,433681;
0,120500;0,544131;0,423631;
0,060695;0,155769;0,095074;
0,110850;0,493201;0,382350;
0,059546;0,141927;0,082380;
0,059743;0,145498;0,085755;
0,060886;0,147213;0,086327;
0,131544;0,597703;0,466159;
0,054341;0,490385;0,436044;
0,069201;0,228683;0,159482;
0,058914;0,141442;0,082528;
0,058805;0,136379;0,077574;
0,058766;0,134225;0,075459;
0,042004;0,484114;0,442110;
0,069219;0,597630;0,528411;
0,069219;0,597630;0,528411;
0,099613;0,430882;0,331269;
0,057369;0,129893;0,072525;
0,016685;0,595554;0,578869;
0,021666;0,221766;0,200099;
0,038182;0,488894;0,450712;
0,068826;0,220738;0,151912;
0,016418;0,612001;0,595583;
0,032419;0,511398;0,478979;
0,069029;0,221520;0,152491;
0,057681;0,130401;0,072720;
0,057149;0,123190;0,066040;
0,057133;0,122550;0,065417;
0,071064;0,219998;0,148934;
0,057265;0,124371;0,067105;
0,057265;0,124371;0,067105;
0,116392;0,529769;0,413376;
0,020617;0,607112;0,586494;
0,018307;0,499775;0,481468;
0,057282;0,117974;0,060692;
0,057282;0,117974;0,060692;
0,106728;0,469504;0,362776;
0,106728;0,469504;0,362776;
0,057177;0,123802;0,066625;
0,069160;0,218402;0,149242;
0,057496;0,118853;0,061357;
0,115409;0,520125;0,404717;
0,115901;0,522352;0,406451;
0,069085;0,221099;0,152014;
0,113057;0,509488;0,396431;
0,056897;0,117295;0,060398;
0,136777;0,614327;0,477550;
0,056985;0,118501;0,061515;
0,058540;0,130297;0,071757;
0,117527;0,525322;0,407794;
0,116953;0,125540;0,008587;
0,056665;0,119031;0,062366;
0,069327;0,223320;0,153993;
0,069268;0,222882;0,153614;
0,069511;0,223425;0,153914;
0,058636;0,135936;0,077300;
0,137800;0,618689;0,480889;
0,069472;0,224476;0,155004;
0,117835;0,529005;0,411170;
0,117835;0,529005;0,411170;
0,114119;0,510709;0,396590;
0,110597;0,494468;0,383872;
0,028382;0,223463;0,195081;
0,058688;0,139473;0,080785;
0,068739;0,607491;0,538751;
0,110753;0,490099;0,379345;
0,111040;0,496119;0,385079;
0,111040;0,496119;0,385079;
0,068717;0,219883;0,151166;
0,114074;0,513849;0,399775;
0,058832;0,138669;0,079837;
0,059139;0,139869;0,080730;
0,111510;0,493285;0,381775;
0,114125;0,512130;0,398006;
0,111497;0,498312;0,386815;
0,137571;0,623176;0,485605;
0,125434;0,563446;0,438012;
0,121767;0,531068;0,409301;
0,062272;0,197671;0,135399;
0,116896;0,526119;0,409223;
0,116896;0,526119;0,409223;
0,116896;0,526119;0,409223;
0,118898;0,536499;0,417601;
0,110698;0,492219;0,381521;
0,138308;0,621932;0,483624;
0,070231;0,615661;0,545430;
0,115174;0,503692;0,388519;
0,109397;0,488766;0,379369;
0,109397;0,488766;0,379369;
0,122896;0,544801;0,421905;
0,132251;0,596990;0,464739;
0,060145;0,156761;0,096616;
0,200035;0,523089;0,323054;
0,061219;0,523089;0,461870;
0,120321;0,543078;0,422757;
0,017835;0,499684;0,481849;
0,058985;0,147192;0,088206;
0,050323;0,533197;0,482873;
0,050327;0,533197;0,482870;
0,139547;0,625665;0,486118;
0,140707;0,619727;0,479019;
0,140707;0,619727;0,479019;
0,121642;0,545378;0,423736;
0,021384;0,617532;0,596148;
0,119590;0,537125;0,417535;
0,089289;0,368653;0,279365;
0,089289;0,368653;0,279365;
0,131769;0,591353;0,459584;
0,021572;0,619148;0,597575;
0,121186;0,546322;0,425136;
0,121186;0,546322;0,425136;
0,108212;0,478763;0,370551;
0,108212;0,478763;0,370551;
0,108212;0,478763;0,370551;
0,115101;0,521076;0,405975;
0,089542;0,370361;0,280819;
0,127578;0,592057;0,464479;
0,089719;0,369322;0,279603;
0,089719;0,369322;0,279603;
0,108010;0,479446;0,371435;
0,108010;0,479446;0,371435;
0,140022;0,633983;0,493962;
0,114993;0,515544;0,400551;
0,110654;0,499630;0,388976;
0,115143;0,511592;0,396450;
0,116314;0,513802;0,397488;
0,116314;0,513802;0,397488;
0,110388;0,486198;0,375809;
0,018277;0,497246;0,478969;
0,119342;0,537818;0,418476;
0,115571;0,521055;0,405484;
0,018459;0,499662;0,481203;
0,142206;0,634574;0,492368;
0,142206;0,634574;0,492368;
0,113435;0,505713;0,392279;
0,114372;0,516331;0,401958;
0,117285;0,521770;0,404485;
0,114729;0,511286;0,396556;
0,115088;0,518257;0,403168;
0,115294;0,514408;0,399114;
0,124801;0,560163;0,435362;
0,139715;0,629656;0,489941;
0,139715;0,629656;0,489941;
0,114319;0,509241;0,394923;
0,114319;0,509241;0,394923;
0,113448;0,505082;0,391633;
0,124100;0,558487;0,434387;
0,107593;0,633046;0,525453;
0,114817;0,503383;0,388566;
0,126542;0,570269;0,443727;
0,126542;0,570269;0,443727;
0,109330;0,491188;0,381859;
0,122714;0,549902;0,427189;
0,115936;0,518941;0,403004;
0,122020;0,546259;0,424239;
0,139672;0,625957;0,486286;
0,120223;0,541442;0,421218;
0,120223;0,541442;0,421218;
0,115677;0,492205;0,376528;
0,116507;0,528953;0,412446;
0,117018;0,532666;0,415649;
0,110630;0,494855;0,384225;
0,135681;0,606099;0,470419;
0,107367;0,478176;0,370808;
0,124072;0,560441;0,436370;
0,112496;0,503218;0,390722;
0,124812;0,558283;0,433471;
0,108695;0,478884;0,370188;
0,108695;0,478884;0,370188;
0,120224;0,544007;0,423784;
0,110482;0,490856;0,380374;
0,110482;0,490856;0,380374;
0,125258;0,571342;0,446084;
0,112573;0,501268;0,388695;
0,145590;0,651322;0,505731;
0,110814;0,493993;0,383179;
0,117753;0,529985;0,412232;
0,107593;0,479943;0,372350;
0,119070;0,535678;0,416608;
0,115836;0,518540;0,402704;
0,115836;0,518540;0,402704;
0,113475;0,511274;0,397800;
0,113475;0,511274;0,397800;
0,115136;0,513716;0,398581;
0,115136;0,513716;0,398581;
0,108115;0,480062;0,371947;
0,108115;0,480062;0,371947;
0,120754;0,543539;0,422785;
0,119520;0,536131;0,416612;
0,129962;0,585291;0,455329;
0,129962;0,585291;0,455329;
0,172105;0,590309;0,418204;
0,107578;0,482459;0,374881;
0,062073;0,161894;0,099821;
0,062073;0,161894;0,099821;
0,101182;0,645339;0,544156;
0,140257;0,631445;0,491188;
0,140257;0,631445;0,491188;
0,114685;0,514217;0,399532;
0,130608;0,586078;0,455470;
0,119199;0,533682;0,414483;
0,018499;0,481364;0,462865;
0,107736;0,481971;0,374235;
0,076283;0,471416;0,395133;
0,129175;0,582059;0,452884;
0,115609;0,519731;0,404123;
0,105395;0,460960;0,355565;
