Reconstruction Coord z;Map Coord z;Error z;
0,078221;0,290042;0,211820;
0,014372;0,300890;0,286518;
0,065451;0,163217;0,097766;
0,078952;0,298390;0,219438;
0,077519;0,290840;0,213321;
0,078658;0,294489;0,215831;
0,078783;0,292879;0,214096;
0,079076;0,295852;0,216776;
0,078450;0,292807;0,214357;
0,078890;0,296164;0,217275;
0,079409;0,302177;0,222768;
0,073106;0,244041;0,170935;
0,079362;0,300424;0,221062;
0,079217;0,302900;0,223683;
0,080326;0,299914;0,219589;
0,073037;0,244165;0,171128;
0,073037;0,244165;0,171128;
0,079726;0,301301;0,221575;
0,078673;0,283309;0,204636;
0,077953;0,285214;0,207261;
0,077953;0,285214;0,207261;
0,080229;0,000000;0,080229;
0,079663;0,302562;0,222899;
0,079663;0,302562;0,222899;
0,079773;0,304010;0,224237;
0,079773;0,304010;0,224237;
0,079073;0,298227;0,219154;
0,073513;0,246712;0,173199;
0,078672;0,296414;0,217743;
0,032751;0,296414;0,263663;
0,081545;0,306094;0,224549;
0,077555;0,290193;0,212638;
0,079932;0,311272;0,231340;
0,034977;0,295975;0,260998;
0,079588;0,303079;0,223491;
0,079946;0,309065;0,229119;
0,080372;0,311679;0,231307;
0,079446;0,295754;0,216309;
0,094358;0,419958;0,325599;
0,081161;0,312123;0,230962;
0,111744;0,597237;0,485494;
0,073280;0,247495;0,174214;
0,078036;0,293205;0,215169;
0,069904;0,299659;0,229755;
0,073246;0,248431;0,175185;
0,078939;0,297867;0,218928;
0,080697;0,314067;0,233370;
0,040418;0,301998;0,261580;
0,042242;0,293054;0,250812;
0,080503;0,302752;0,222249;
0,034431;0,315106;0,280675;
0,073425;0,251450;0,178025;
0,080088;0,307726;0,227637;
0,080088;0,307726;0,227637;
0,078956;0,301934;0,222978;
0,078956;0,301934;0,222978;
0,081060;0,316138;0,235078;
0,079790;0,303549;0,223759;
0,099688;0,454870;0,355183;
0,048067;0,300720;0,252652;
0,081511;0,317132;0,235621;
0,079240;0,301911;0,222671;
0,081081;0,317407;0,236325;
0,023189;0,297526;0,274337;
0,079254;0,306180;0,226926;
0,034143;0,317595;0,283451;
0,034143;0,317595;0,283451;
0,080594;0,310671;0,230077;
0,081344;0,317882;0,236538;
0,063728;0,304378;0,240650;
0,042034;0,304378;0,262344;
0,082331;0,308840;0,226509;
0,081359;0,317921;0,236562;
0,080006;0,307033;0,227027;
0,080967;0,609321;0,528354;
0,139115;0,609401;0,470286;
0,077579;0,309515;0,231936;
0,067970;0,193995;0,126025;
0,070609;0,306771;0,236162;
0,066946;0,306771;0,239824;
0,080612;0,312920;0,232308;
0,096718;0,438761;0,342043;
