Reconstruction Coord z;Map Coord z;Error z;
0,020771;0,396664;0,375893;
0,016072;0,231368;0,215296;
0,018364;0,000000;0,018364;
0,015974;0,220080;0,204106;
0,015974;0,220080;0,204106;
0,017081;0,267887;0,250806;
0,018934;-nan(ind);-nan(ind);
0,017200;0,267887;0,250688;
0,017369;0,364959;0,347590;
0,017935;0,287636;0,269701;
0,017798;0,354945;0,337147;
0,017032;0,246812;0,229780;
0,018682;0,404599;0,385916;
0,016910;0,244394;0,227484;
0,017042;0,256655;0,239613;
0,004134;0,256655;0,252521;
0,017168;0,257457;0,240289;
0,017871;0,407849;0,389978;
0,017122;0,256853;0,239731;
0,034452;0,338349;0,303897;
0,019837;0,461313;0,441475;
0,019166;0,313993;0,294827;
0,020455;0,000000;0,020455;
0,020555;0,000000;0,020555;
0,004913;0,086526;0,081613;
0,004913;0,086526;0,081613;
0,024523;0,473250;0,448727;
0,021774;0,000000;0,021774;
0,008002;0,075577;0,067575;
0,024370;0,449541;0,425172;
0,005140;0,563277;0,558137;
0,004184;0,562831;0,558647;
0,004193;0,570641;0,566448;
0,014906;0,150300;0,135394;
0,025484;0,504275;0,478791;
0,015047;0,031162;0,016115;
0,015047;0,031162;0,016115;
0,013375;0,562247;0,548871;
0,014661;0,000000;0,014661;
0,014474;0,000000;0,014474;
0,013846;0,520850;0,507005;
0,014548;0,000000;0,014548;
0,014548;0,000000;0,014548;
0,024919;0,497437;0,472518;
0,034776;0,679816;0,645040;
0,024963;0,684745;0,659782;
0,014157;0,074965;0,060808;
0,013548;0,153849;0,140301;
0,034571;0,680257;0,645686;
0,034571;0,680257;0,645686;
0,007674;0,279148;0,271474;
0,033878;0,665955;0,632077;
0,013873;0,449524;0,435651;
0,034050;0,670111;0,636062;
0,034050;0,670111;0,636062;
0,034343;0,673067;0,638724;
0,011465;0,457725;0,446260;
0,016187;0,348680;0,332493;
0,012211;0,061051;0,048840;
0,012049;0,162118;0,150069;
0,012423;0,058631;0,046208;
0,016988;0,242864;0,225876;
0,029549;0,590886;0,561337;
0,015732;0,334482;0,318751;
0,035156;0,686142;0,650987;
0,035914;0,687720;0,651806;
0,011294;0,008172;0,003121;
0,011294;0,008172;0,003121;
0,016424;0,236646;0,220221;
0,016490;0,236646;0,220156;
0,029109;0,580293;0,551185;
0,029109;0,580293;0,551185;
0,011583;0,473924;0,462342;
0,029920;0,596557;0,566637;
0,020920;0,577331;0,556411;
0,036441;0,705910;0,669469;
0,016957;0,262199;0,245243;
0,029762;0,590730;0,560968;
0,029519;0,587320;0,557801;
0,036027;0,730730;0,694702;
0,038607;0,735548;0,696942;
0,057942;0,594136;0,536194;
0,011543;0,448037;0,436494;
0,029923;0,596718;0,566795;
0,029923;0,596718;0,566795;
0,034951;0,684712;0,649761;
0,010450;0,453551;0,443100;
0,030114;0,600677;0,570563;
0,030169;0,602451;0,572282;
0,031204;0,630394;0,599189;
0,030682;0,609662;0,578981;
0,032817;0,651516;0,618699;
0,032817;0,651516;0,618699;
0,032817;0,651516;0,618699;
0,026965;0,534162;0,507197;
0,026965;0,534162;0,507197;
0,035258;0,000000;0,035258;
0,035069;0,753188;0,718119;
0,013005;0,092869;0,079864;
0,026220;0,540481;0,514261;
0,031042;0,612744;0,581702;
0,024616;0,500211;0,475595;
0,012857;0,090143;0,077287;
0,032002;0,638806;0,606804;
0,031557;0,627318;0,595761;
0,012936;0,091258;0,078322;
0,024533;0,458730;0,434198;
0,032570;0,641650;0,609081;
0,024787;0,488421;0,463634;
0,034256;0,660984;0,626728;
0,031374;0,629102;0,597728;
1,000000;0,104290;0,895710;
0,033947;0,667614;0,633666;
0,033947;0,667614;0,633666;
0,007891;0,620124;0,612233;
0,025971;0,000000;0,025971;
0,033063;0,653415;0,620353;
0,014765;0,166920;0,152155;
0,004290;0,000000;0,004290;
0,023369;0,451245;0,427876;
0,014780;0,159550;0,144770;
0,014780;0,159550;0,144770;
0,023921;0,464079;0,440158;
0,014379;0,293935;0,279556;
0,032002;0,000000;0,032002;
0,034175;0,786315;0,752140;
0,026764;0,527833;0,501069;
0,010680;0,242019;0,231338;
0,023644;0,461245;0,437601;
0,038083;0,786577;0,748494;
0,015215;0,112681;0,097467;
0,023918;0,461941;0,438023;
0,019439;0,532632;0,513193;
0,004415;0,466040;0,461625;
0,023964;0,467759;0,443795;
0,034772;0,000000;0,034772;
0,034772;0,000000;0,034772;
0,014791;0,204897;0,190106;
0,035691;0,000000;0,035691;
0,017254;0,504478;0,487223;
0,036068;0,698915;0,662846;
0,019088;0,510136;0,491048;
0,036176;0,000000;0,036176;
0,016880;0,255101;0,238221;
0,036384;0,701947;0,665563;
0,017041;0,255581;0,238539;
0,016667;0,277195;0,260527;
0,004688;0,807941;0,803253;
0,036446;0,703410;0,666964;
0,004566;0,000000;0,004566;
0,033822;0,687585;0,653763;
0,043808;0,818711;0,774903;
0,016026;0,213893;0,197868;
0,023422;0,497288;0,473866;
0,015360;0,263666;0,248306;
0,034944;0,686850;0,651906;
0,035253;0,692593;0,657340;
0,035253;0,692593;0,657340;
0,004776;0,331567;0,326791;
0,014916;0,000000;0,014916;
0,039229;0,000000;0,039229;
0,035930;0,000000;0,035930;
0,035783;0,699886;0,664103;
0,037660;0,000000;0,037660;
0,036227;0,707206;0,670978;
0,012077;0,222690;0,210613;
0,016278;0,327903;0,311625;
0,014660;0,578115;0,563455;
0,016337;0,226849;0,210512;
0,016337;0,226849;0,210512;
0,036599;0,726698;0,690099;
0,040131;0,732133;0,692003;
0,036391;-nan(ind);-nan(ind);
0,016281;0,229563;0,213281;
0,016131;0,225900;0,209769;
0,040280;0,755990;0,715711;
0,018729;0,214976;0,196247;
0,016454;0,237016;0,220562;
0,036890;0,000000;0,036890;
0,036890;0,000000;0,036890;
0,038303;0,737823;0,699520;
0,030611;0,216095;0,185484;
0,041764;0,736917;0,695153;
0,040227;0,752381;0,712154;
0,016401;0,240630;0,224229;
0,016419;0,000000;0,016419;
0,016419;0,000000;0,016419;
0,035612;0,758250;0,722638;
0,016649;0,000000;0,016649;
0,005839;0,379623;0,373784;
0,016398;0,230498;0,214100;
0,016398;0,230498;0,214100;
0,035746;0,910471;0,874726;
0,035402;0,000000;0,035402;
0,016648;0,223241;0,206593;
0,035739;0,694387;0,658648;
0,005849;0,160126;0,154277;
0,037434;0,716788;0,679354;
0,016604;0,271086;0,254482;
0,036503;0,782973;0,746471;
0,045547;0,870508;0,824961;
0,043964;0,000000;0,043964;
0,015471;0,190065;0,174594;
0,016385;0,229765;0,213380;
0,016385;0,229765;0,213380;
0,015175;0,189065;0,173890;
0,016095;0,313375;0,297280;
0,015129;0,182727;0,167598;
0,038803;0,836604;0,797802;
0,041149;0,774446;0,733297;
0,037065;0,776703;0,739638;
0,015227;0,187372;0,172145;
0,033879;0,664416;0,630537;
0,032585;0,000000;0,032585;
0,016635;0,221771;0,205136;
0,033696;0,658350;0,624654;
0,035309;0,690264;0,654954;
0,015038;0,177320;0,162283;
0,015041;0,179647;0,164606;
0,037255;0,712854;0,675599;
0,033143;0,652030;0,618887;
0,020968;0,870038;0,849070;
0,036418;0,704325;0,667907;
0,034687;0,678439;0,643751;
0,037473;0,716404;0,678931;
0,037473;0,716404;0,678931;
0,035349;0,682648;0,647299;
0,017416;0,313460;0,296044;
0,033533;0,653891;0,620358;
0,032187;0,636797;0,604609;
0,035176;0,682576;0,647399;
0,032345;0,644018;0,611673;
0,032101;0,638628;0,606526;
0,034434;0,657796;0,623362;
0,034434;0,657796;0,623362;
0,035778;0,683882;0,648104;
0,016934;0,245077;0,228143;
0,968545;0,369046;0,599500;
0,034237;0,682301;0,648063;
0,035483;0,666367;0,630884;
0,035817;0,695724;0,659907;
0,033177;0,659776;0,626599;
0,034285;0,673695;0,639410;
0,031761;0,635430;0,603669;
0,035274;0,690769;0,655495;
0,016041;0,416214;0,400174;
0,015317;0,187792;0,172475;
0,030635;0,611329;0,580694;
0,013219;0,670306;0,657086;
0,031952;0,628533;0,596581;
0,032707;0,645258;0,612552;
