Reconstruction Coord z;Map Coord z;Error z;
0,157362;0,169684;0,012322;
0,161062;0,281554;0,120492;
0,159891;0,177509;0,017618;
0,049001;0,234482;0,185481;
0,163026;0,187254;0,024227;
0,160872;0,211305;0,050433;
0,164958;0,214126;0,049169;
0,159740;0,206002;0,046262;
0,153651;0,110754;0,042897;
0,160563;0,190188;0,029626;
0,160563;0,190188;0,029626;
0,160226;0,188976;0,028749;
0,061691;0,181412;0,119722;
0,171107;0,257796;0,086688;
0,457739;0,112433;0,345306;
0,160133;0,177681;0,017548;
0,160133;0,177681;0,017548;
0,159333;0,211061;0,051728;
0,159333;0,211061;0,051728;
0,158260;0,177625;0,019365;
0,169862;0,256269;0,086407;
0,149692;0,116278;0,033413;
0,172028;0,257580;0,085552;
0,171770;0,259644;0,087875;
0,165032;0,227130;0,062098;
0,159319;0,185349;0,026030;
0,167401;0,242460;0,075059;
0,172534;0,343299;0,170764;
0,160129;0,186133;0,026005;
0,160129;0,186133;0,026005;
0,160429;0,193154;0,032725;
0,165694;0,337224;0,171530;
0,162085;0,194757;0,032672;
0,160160;0,201871;0,041711;
0,163045;0,216021;0,052976;
0,118570;0,204143;0,085573;
0,172518;0,360011;0,187493;
0,147512;0,199956;0,052444;
0,057350;0,199956;0,142605;
0,156711;0,206886;0,050175;
0,151127;0,128955;0,022172;
0,161603;0,203244;0,041641;
0,167534;0,207892;0,040358;
0,161556;0,203452;0,041895;
0,163955;0,213238;0,049283;
0,155834;0,167732;0,011899;
0,164438;0,217703;0,053266;
0,174701;0,205521;0,030820;
0,162076;0,000000;0,162076;
0,167083;0,220857;0,053774;
0,168406;0,000000;0,168406;
0,058902;0,207299;0,148397;
0,165242;0,223427;0,058185;
0,279010;0,212987;0,066023;
0,164928;0,209702;0,044774;
0,152945;0,224920;0,071975;
0,170029;0,000000;0,170029;
0,172665;0,246206;0,073541;
0,161926;0,209595;0,047669;
0,166114;0,227292;0,061177;
0,164329;0,215728;0,051399;
0,164101;0,214524;0,050422;
0,155350;0,000000;0,155350;
0,167569;0,222583;0,055014;
0,164923;0,217946;0,053023;
0,164172;0,223796;0,059624;
0,169427;0,000000;0,169427;
0,169427;0,000000;0,169427;
0,333411;0,141094;0,192318;
0,152921;0,139701;0,013220;
0,166129;0,230426;0,064297;
0,163223;0,223035;0,059812;
0,164766;0,217235;0,052470;
0,168530;0,247022;0,078492;
0,162570;0,206358;0,043788;
0,140914;0,219172;0,078258;
0,170784;0,000000;0,170784;
0,083743;0,223325;0,139582;
0,164212;0,219750;0,055538;
0,165913;0,223906;0,057993;
0,163807;0,000000;0,163807;
0,163807;0,000000;0,163807;
0,163002;0,209694;0,046691;
0,167964;0,377292;0,209328;
0,168212;0,000000;0,168212;
0,167841;0,237147;0,069306;
0,075265;0,000000;0,075265;
0,163177;0,234591;0,071414;
0,166951;0,235357;0,068406;
0,163838;0,211815;0,047977;
0,160821;0,189085;0,028264;
0,154187;0,149140;0,005047;
0,162842;0,194789;0,031947;
0,164805;0,383309;0,218503;
0,167774;0,234514;0,066740;
0,162369;0,187040;0,024671;
0,163630;0,194505;0,030875;
0,166872;0,236120;0,069248;
0,164351;0,208790;0,044439;
0,168862;0,239954;0,071091;
0,044391;0,262179;0,217788;
0,167056;0,241238;0,074182;
0,162624;0,000000;0,162624;
0,173191;0,263033;0,089842;
0,167158;0,241760;0,074602;
0,165480;0,000000;0,165480;
0,169676;0,249326;0,079650;
0,164466;0,216848;0,052381;
0,169588;0,246181;0,076594;
0,155572;0,223152;0,067581;
0,155572;0,223152;0,067581;
0,171796;0,231589;0,059793;
0,169206;0,251253;0,082047;
0,166796;0,226965;0,060170;
0,169894;0,250578;0,080684;
0,174408;0,271953;0,097545;
0,187378;0,349942;0,162564;
0,170822;0,252606;0,081784;
0,190442;0,000000;0,190442;
0,162863;0,209703;0,046840;
0,191252;0,363404;0,172152;
0,163651;0,209270;0,045620;
0,166748;0,217037;0,050289;
0,166748;0,217037;0,050289;
0,156726;0,179143;0,022417;
0,181293;0,275995;0,094701;
0,169237;0,231528;0,062290;
0,220108;0,273980;0,053872;
0,179903;0,421703;0,241801;
0,180222;0,425356;0,245134;
0,178608;0,275834;0,097226;
0,159947;0,173363;0,013416;
0,172227;0,260359;0,088132;
0,170284;0,242215;0,071930;
0,164006;0,221977;0,057971;
0,167504;0,228397;0,060893;
0,167901;0,228728;0,060827;
0,163346;0,205844;0,042498;
0,168685;0,229534;0,060849;
0,167589;0,235980;0,068391;
0,171387;0,259144;0,087757;
0,175069;0,274830;0,099761;
0,171654;0,257419;0,085766;
0,172355;0,000000;0,172355;
0,198552;0,256130;0,057578;
0,087429;0,258365;0,170936;
0,167518;0,209839;0,042321;
0,160454;0,191246;0,030793;
0,172000;0,267121;0,095122;
0,165367;0,233935;0,068567;
0,170610;0,340520;0,169910;
0,167178;0,235734;0,068556;
0,173158;0,270736;0,097578;
0,230085;0,182179;0,047906;
0,046152;0,252258;0,206105;
0,171691;0,263207;0,091516;
0,173501;0,264281;0,090780;
0,082896;0,261373;0,178478;
0,163040;0,205959;0,042919;
0,163040;0,205959;0,042919;
0,163125;0,205866;0,042741;
0,175636;0,277311;0,101676;
0,172995;0,275040;0,102045;
0,193037;0,000000;0,193037;
0,180978;0,000000;0,180978;
0,173526;0,275275;0,101749;
0,171363;0,259874;0,088511;
0,163491;0,216970;0,053479;
0,163491;0,216970;0,053479;
0,171292;0,260908;0,089616;
0,168441;0,256714;0,088274;
0,173085;0,266069;0,092984;
0,172497;0,271843;0,099347;
0,176450;0,272256;0,095807;
0,182092;0,256782;0,074690;
0,172156;0,269880;0,097724;
0,199666;0,000000;0,199666;
0,162020;0,218304;0,056284;
0,169891;0,000000;0,169891;
0,174863;0,284390;0,109528;
0,173227;0,277560;0,104333;
0,181964;0,330920;0,148957;
0,175150;0,280056;0,104906;
0,175150;0,280056;0,104906;
0,174330;0,269614;0,095285;
0,174330;0,269614;0,095285;
0,173252;0,270828;0,097575;
0,173252;0,270828;0,097575;
0,186060;0,342766;0,156707;
0,164569;0,217640;0,053071;
0,169531;0,268027;0,098496;
0,157900;0,000000;0,157900;
0,174439;0,275699;0,101260;
0,181930;0,000000;0,181930;
0,182394;0,000000;0,182394;
0,172452;0,278192;0,105740;
0,174686;0,282776;0,108090;
0,181508;0,315869;0,134361;
0,181508;0,315869;0,134361;
0,165864;0,000000;0,165864;
0,173141;0,278726;0,105585;
0,163745;0,226378;0,062634;
0,200077;0,000000;0,200077;
0,047620;0,320387;0,272767;
0,160077;0,186955;0,026878;
0,164277;0,227426;0,063149;
0,173272;0,282524;0,109252;
0,159041;0,123328;0,035714;
0,156619;0,123328;0,033292;
0,174896;0,276106;0,101210;
0,175214;0,276311;0,101097;
0,145719;0,105218;0,040501;
0,174280;0,284166;0,109885;
0,175666;0,283825;0,108159;
0,148759;0,111430;0,037329;
0,148169;0,110520;0,037649;
0,145440;0,090231;0,055209;
0,146247;0,089276;0,056971;
0,151422;0,000000;0,151422;
0,147722;0,000000;0,147722;
0,180512;0,515926;0,335413;
0,160506;0,231716;0,071210;
0,160506;0,231716;0,071210;
0,173176;0,286498;0,113322;
0,166709;0,234673;0,067964;
0,157633;0,227440;0,069807;
0,000000;0,228796;0,228796;
0,076588;0,282258;0,205670;
0,178572;0,310520;0,131948;
0,000556;0,310520;0,309964;
0,174865;0,283063;0,108198;
0,166304;0,236372;0,070067;
0,172663;0,282132;0,109469;
0,089047;0,289915;0,200868;
0,160996;0,273466;0,112470;
0,001173;0,273466;0,272294;
0,173976;0,245506;0,071530;
0,170129;0,247161;0,077033;
0,174342;0,274731;0,100389;
0,174342;0,274731;0,100389;
0,169954;0,000000;0,169954;
0,169954;0,000000;0,169954;
0,170204;0,263951;0,093747;
0,144717;0,298415;0,153698;
0,157549;0,291170;0,133621;
0,169223;0,240284;0,071061;
0,179345;0,297657;0,118312;
0,713515;0,300063;0,413452;
0,183989;0,000000;0,183989;
0,105062;0,294275;0,189212;
0,172461;0,477059;0,304598;
0,170601;0,216114;0,045513;
0,182249;0,313464;0,131216;
0,176655;0,283274;0,106619;
0,169490;0,295182;0,125693;
0,184276;0,274152;0,089876;
0,169665;0,000000;0,169665;
0,238139;0,300059;0,061920;
0,183299;0,324722;0,141423;
0,173747;0,271714;0,097967;
0,173747;0,271714;0,097967;
0,170429;0,253513;0,083083;
0,178395;0,301542;0,123148;
0,179127;0,301542;0,122415;
0,143482;0,303847;0,160365;
0,166877;0,250295;0,083418;
0,177684;0,305871;0,128186;
0,177162;0,303346;0,126184;
0,178557;0,301564;0,123007;
0,178557;0,301564;0,123007;
0,173666;0,251161;0,077495;
0,070448;0,251161;0,180713;
0,180651;0,305386;0,124734;
0,002749;0,231450;0,228701;
0,179831;0,310649;0,130818;
0,171770;0,298119;0,126349;
0,171770;0,298119;0,126349;
0,176982;0,308065;0,131082;
0,189638;0,366398;0,176760;
0,179269;0,000000;0,179269;
0,174579;0,294426;0,119847;
0,174579;0,294426;0,119847;
0,178399;0,315003;0,136604;
0,181823;0,310869;0,129047;
0,179725;0,470658;0,290933;
0,172522;0,270919;0,098397;
0,187540;0,318063;0,130523;
0,172281;0,259385;0,087104;
0,184552;0,316192;0,131640;
0,179276;0,479690;0,300414;
0,001764;0,313616;0,311852;
0,001764;0,313616;0,311852;
0,174825;0,276838;0,102013;
0,182860;0,325050;0,142190;
0,172326;0,259044;0,086718;
0,182279;0,324716;0,142437;
0,862588;0,567848;0,294740;
0,171706;0,259489;0,087783;
0,118736;0,279583;0,160847;
0,176647;0,294811;0,118164;
0,176757;0,293871;0,117114;
0,176757;0,293871;0,117114;
0,107821;0,273697;0,165876;
0,182355;0,328049;0,145693;
0,181854;0,323108;0,141254;
0,181854;0,323108;0,141254;
0,181854;0,323108;0,141254;
0,196344;0,330345;0,134002;
0,174905;0,280151;0,105247;
0,174542;0,278340;0,103799;
0,224156;0,332230;0,108074;
0,182121;0,331762;0,149641;
0,179056;0,288174;0,109119;
0,058557;0,283702;0,225145;
0,185520;0,490204;0,304684;
0,177309;0,293601;0,116292;
0,178952;0,303982;0,125030;
0,177705;0,298767;0,121062;
0,183707;0,000000;0,183707;
