Reconstruction Coord z;Map Coord z;Error z;
0,006462;0,919514;0,913052;
0,055843;0,000000;0,055843;
0,006993;0,000000;0,006993;
0,011861;0,000000;0,011861;
0,095752;0,936249;0,840497;
0,090246;0,936444;0,846198;
0,093734;0,937417;0,843683;
0,008046;0,000000;0,008046;
0,141218;0,983524;0,842306;
0,130779;0,983344;0,852565;
0,071945;0,981101;0,909156;
0,006812;0,935415;0,928603;
0,014455;0,987176;0,972721;
0,041646;0,000000;0,041646;
0,092005;0,937006;0,845001;
0,092005;0,937006;0,845001;
0,039688;0,750016;0,710327;
0,092807;0,939738;0,846931;
0,092807;0,939738;0,846931;
0,038307;0,737252;0,698945;
0,039417;0,746951;0,707534;
0,038089;0,736681;0,698592;
0,120172;0,973373;0,853201;
0,038817;0,742302;0,703484;
0,038817;0,742302;0,703484;
0,039196;0,746024;0,706828;
0,039454;0,747564;0,708110;
0,041110;0,000000;0,041110;
0,038864;0,742916;0,704052;
0,030955;0,000000;0,030955;
0,039409;0,747764;0,708355;
0,039409;0,747764;0,708355;
0,020428;0,741902;0,721474;
0,009909;0,683019;0,673109;
0,039143;0,745997;0,706854;
0,039219;0,000000;0,039219;
0,052224;0,820269;0,768044;
0,031231;0,000000;0,031231;
0,035422;0,776039;0,740617;
0,041860;0,701941;0,660081;
0,054542;0,000000;0,054542;
0,010391;0,000000;0,010391;
0,051696;0,824087;0,772391;
0,051728;0,824770;0,773042;
0,031900;0,676570;0,644671;
0,052176;0,000000;0,052176;
0,033453;0,693259;0,659806;
0,033393;0,692287;0,658894;
0,084560;0,000000;0,084560;
0,081374;0,000000;0,081374;
0,027776;0,881247;0,853471;
0,033428;0,697507;0,664080;
0,033428;0,697507;0,664080;
0,014612;0,835936;0,821323;
0,025962;0,714363;0,688401;
0,108802;0,965258;0,856457;
0,032900;0,688908;0,656008;
0,034436;0,708455;0,674019;
0,032867;0,688104;0,655237;
0,032867;0,688104;0,655237;
0,034104;0,700960;0,666856;
0,035369;0,712239;0,676870;
0,032302;0,692380;0,660078;
0,104431;0,985772;0,881340;
0,032930;0,688574;0,655645;
0,033968;0,698786;0,664818;
0,033902;0,697627;0,663726;
0,032152;0,682502;0,650350;
0,032152;0,682502;0,650350;
0,033772;0,696981;0,663209;
0,033772;0,696981;0,663209;
0,035267;0,711970;0,676703;
0,034225;0,699656;0,665431;
0,028858;0,690473;0,661615;
0,034306;0,699408;0,665102;
0,034162;0,700668;0,666506;
0,035582;0,711914;0,676333;
0,033716;0,696697;0,662981;
0,034346;0,701551;0,667205;
0,033696;0,695574;0,661878;
0,033696;0,695574;0,661878;
0,018767;0,963115;0,944348;
0,033528;0,689872;0,656343;
0,035052;0,710317;0,675265;
0,033888;0,697609;0,663721;
0,128417;0,901605;0,773188;
0,128417;0,901605;0,773188;
0,034685;0,701160;0,666475;
0,033810;0,697093;0,663283;
0,033133;0,689122;0,655989;
0,051085;0,822497;0,771413;
0,034238;0,700848;0,666610;
0,629723;0,985352;0,355629;
0,033489;0,699262;0,665774;
0,020234;0,823633;0,803398;
0,034244;0,700992;0,666748;
0,034087;0,699117;0,665030;
0,033812;0,697996;0,664184;
0,034014;0,699067;0,665054;
0,034014;0,699067;0,665054;
0,033977;0,698486;0,664509;
0,033277;0,689721;0,656444;
0,105151;0,892152;0,787001;
0,034441;0,702847;0,668406;
0,031746;0,701397;0,669651;
0,026564;0,701397;0,674833;
0,028567;0,690904;0,662337;
0,050968;0,821103;0,770135;
0,035535;0,713043;0,677508;
0,035535;0,713043;0,677508;
0,031004;0,708136;0,677132;
0,008076;0,701769;0,693693;
0,028932;0,000000;0,028932;
0,035278;0,709420;0,674142;
0,025881;0,591429;0,565547;
0,034915;0,702417;0,667501;
0,034301;0,702317;0,668016;
