Reconstruction Coord z;Map Coord z;Error z;
0,030343;0,358492;0,328149;
0,017195;0,358492;0,341297;
0,021474;0,526410;0,504936;
0,021428;0,007928;0,013499;
0,032479;0,514822;0,482344;
0,022908;0,082928;0,060020;
0,022908;0,082928;0,060020;
0,032892;0,527773;0,494881;
0,022936;0,654479;0,631544;
0,022773;0,079977;0,057204;
0,022773;0,079977;0,057204;
0,033176;0,524415;0,491239;
0,027698;0,278448;0,250750;
0,037299;0,548681;0,511382;
0,010680;0,282370;0,271690;
0,011003;0,285956;0,274953;
0,035187;0,485063;0,449877;
0,028064;0,288923;0,260859;
0,028064;0,288923;0,260859;
0,049841;0,753593;0,703752;
0,034292;0,461953;0,427660;
0,030677;0,552667;0,521990;
0,035150;0,479906;0,444756;
0,028339;0,368955;0,340616;
0,036400;0,564598;0,528198;
0,028647;0,000000;0,028647;
0,088232;0,550084;0,461851;
0,035819;0,536603;0,500784;
0,050732;0,712985;0,662252;
0,013602;0,435592;0,421989;
0,028983;0,000000;0,028983;
0,029228;0,358047;0,328819;
0,051644;0,723140;0,671496;
0,051644;0,723140;0,671496;
0,041717;0,662237;0,620520;
0,039943;0,599880;0,559937;
0,028961;0,321410;0,292449;
0,028961;0,321410;0,292449;
0,032397;0,416407;0,384010;
0,022887;0,079388;0,056501;
0,028448;0,328014;0,299566;
0,041234;0,583286;0,542053;
0,040572;0,582703;0,542131;
0,038278;0,612918;0,574640;
0,031817;0,502059;0,470242;
0,029830;0,437451;0,407622;
0,022292;0,051661;0,029369;
0,022292;0,051661;0,029369;
0,032049;0,407697;0,375647;
0,032049;0,407697;0,375647;
0,031404;0,438197;0,406793;
0,029600;0,341274;0,311674;
0,029682;0,344547;0,314865;
0,029986;0,356221;0,326235;
0,040048;0,571178;0,531130;
0,040934;0,578408;0,537474;
0,040160;0,560856;0,520696;
0,030733;0,354047;0,323314;
0,039504;0,560987;0,521483;
0,029617;0,528240;0,498623;
0,014140;0,330515;0,316376;
0,029398;0,763185;0,733788;
0,030948;0,516227;0,485279;
0,029386;0,334422;0,305036;
0,029386;0,334422;0,305036;
0,038552;0,547905;0,509353;
0,039415;0,566421;0,527006;
0,029880;0,411721;0,381841;
0,031081;0,368776;0,337696;
0,009622;0,081512;0,071890;
0,012684;0,539509;0,526825;
0,026551;0,767286;0,740735;
0,008889;0,000000;0,008889;
0,010317;0,633560;0,623243;
0,026809;0,815645;0,788836;
0,011129;0,573044;0,561915;
0,026776;0,246032;0,219256;
0,027027;0,253895;0,226868;
0,026602;0,243234;0,216632;
0,027010;0,251066;0,224056;
0,027343;0,254767;0,227424;
0,009112;0,717522;0,708410;
0,026476;0,248836;0,222360;
0,026476;0,248836;0,222360;
0,011197;0,567977;0,556780;
0,031368;0,540222;0,508854;
0,031368;0,540222;0,508854;
0,028180;0,280658;0,252478;
0,035095;0,481170;0,446075;
0,013054;0,550939;0,537885;
0,027005;0,260443;0,233438;
0,027040;0,259506;0,232466;
0,030714;0,379281;0,348567;
0,028626;0,455958;0,427332;
0,030128;0,361890;0,331762;
0,027397;0,253680;0,226283;
0,033667;0,701146;0,667479;
0,026703;0,247441;0,220738;
0,030952;0,381038;0,350085;
0,031650;0,392674;0,361024;
0,028661;0,304032;0,275371;
0,029564;0,377157;0,347593;
0,028808;0,313805;0,284997;
0,032502;0,713630;0,681127;
0,027161;0,262329;0,235167;
0,030994;0,085776;0,054781;
0,030994;0,085776;0,054781;
0,029770;0,287228;0,257458;
0,028815;0,314616;0,285801;
0,031022;0,382131;0,351110;
0,028988;0,319225;0,290237;
0,029405;0,362950;0,333545;
0,009125;0,714839;0,705713;
0,029994;0,354597;0,324603;
0,026614;0,622458;0,595845;
0,032708;0,421524;0,388816;
0,026921;0,581134;0,554213;
0,015243;0,581134;0,565891;
0,031014;0,378329;0,347315;
0,031251;0,390786;0,359535;
0,032307;0,414343;0,382036;
0,029943;0,349055;0,319112;
0,031163;0,381258;0,350095;
0,031163;0,381258;0,350095;
0,013976;0,351864;0,337888;
0,030270;0,353520;0,323249;
0,029194;0,316492;0,287299;
0,029194;0,316492;0,287299;
0,027516;0,273310;0,245794;
0,029231;0,331663;0,302431;
0,027498;0,270996;0,243498;
0,033088;0,432471;0,399384;
0,029118;0,325137;0,296018;
0,013711;0,350074;0,336362;
0,030676;0,332368;0,301692;
0,028771;0,315420;0,286649;
0,032156;0,115084;0,082928;
0,031361;0,390146;0,358785;
0,029251;0,332443;0,303192;
0,031951;0,408557;0,376606;
0,039614;0,421226;0,381612;
0,032439;0,411952;0,379513;
0,029920;0,349301;0,319381;
0,009161;0,413307;0,404146;
0,009693;0,329396;0,319703;
0,009693;0,329396;0,319703;
0,029538;0,433948;0,404409;
0,032763;0,719374;0,686612;
0,013536;0,784139;0,770603;
0,010287;0,094966;0,084679;
0,029630;0,389985;0,360355;
0,030027;0,545803;0,515777;
0,030092;0,352127;0,322034;
0,029613;0,792319;0,762706;
0,042159;0,631357;0,589198;
0,030633;0,412596;0,381962;
0,032239;0,475138;0,442899;
0,030135;0,355225;0,325090;
0,032309;0,414459;0,382150;
0,029152;0,692824;0,663672;
0,014863;0,105867;0,091003;
0,023474;0,107236;0,083762;
0,035365;0,482629;0,447264;
0,033011;0,428207;0,395196;
0,031800;0,664193;0,632392;
0,032360;0,408799;0,376439;
0,030583;0,562049;0,531465;
0,040080;0,570110;0,530029;
0,041344;0,599331;0,557987;
0,040330;0,573699;0,533369;
0,031835;0,645932;0,614097;
0,030282;0,360974;0,330693;
0,030282;0,360974;0,330693;
0,048562;0,681044;0,632481;
0,031466;0,389839;0,358373;
0,023671;0,122671;0,099000;
0,013420;0,122671;0,109251;
0,039543;0,562076;0,522533;
0,033327;0,438313;0,404986;
0,031025;0,383147;0,352122;
0,035631;0,533930;0,498298;
0,031117;0,376335;0,345218;
0,032792;0,432277;0,399485;
0,031116;0,387506;0,356391;
0,042387;0,602479;0,560092;
0,044441;0,631872;0,587431;
0,040129;0,578622;0,538494;
0,009363;0,350348;0,340985;
0,032672;0,423895;0,391223;
0,041920;0,597297;0,555377;
0,030473;0,404501;0,374028;
0,045541;0,674145;0,628604;
0,032497;0,420781;0,388283;
0,040505;0,572477;0,531972;
0,032297;0,491040;0,458743;
0,039897;0,674704;0,634808;
0,040062;0,576606;0,536545;
0,030080;0,359313;0,329233;
0,031873;0,405306;0,373433;
0,031873;0,405306;0,373433;
0,031814;0,402560;0,370746;
0,031814;0,402560;0,370746;
0,036219;0,625322;0,589103;
0,015800;0,625322;0,609522;
0,040117;0,570998;0,530881;
0,040046;0,566646;0,526600;
0,029237;0,403206;0,373968;
0,030440;0,366751;0,336312;
0,030440;0,366751;0,336312;
0,020848;0,561228;0,540379;
0,045868;0,644866;0,598998;
0,020904;0,560015;0,539111;
0,040966;0,679819;0,638852;
0,031538;0,396050;0,364511;
0,009212;0,566463;0,557251;
0,023644;0,120062;0,096418;
0,029690;0,352659;0,322970;
0,054072;0,742527;0,688455;
0,054072;0,742527;0,688455;
0,043357;0,000000;0,043357;
0,012098;0,611060;0,598963;
0,012478;0,397247;0,384769;
0,031172;0,530711;0,499539;
0,031172;0,530711;0,499539;
0,042855;0,613326;0,570472;
0,031789;0,689372;0,657582;
0,033043;0,498363;0,465320;
0,031348;0,393484;0,362136;
0,031348;0,393484;0,362136;
0,031938;0,215211;0,183273;
0,031938;0,215211;0,183273;
0,031331;0,389967;0,358637;
0,020467;0,789569;0,769101;
0,040902;0,583061;0,542159;
0,031375;0,380497;0,349122;
0,031375;0,380497;0,349122;
0,029631;0,347180;0,317550;
0,031275;0,541658;0,510383;
0,031786;0,431290;0,399504;
0,038958;0,579900;0,540942;
0,031996;0,547624;0,515629;
0,033297;0,434006;0,400709;
0,021916;0,687669;0,665752;
0,029649;0,344191;0,314542;
0,011404;0,126581;0,115177;
0,029481;0,341627;0,312146;
0,041697;0,599734;0,558036;
0,033428;0,438368;0,404940;
0,030413;0,368452;0,338040;
0,030964;0,384575;0,353611;
0,030173;0,359171;0,328998;
0,033347;0,496925;0,463578;
0,031388;0,390261;0,358872;
0,031388;0,390261;0,358872;
0,031983;0,477848;0,445865;
0,077393;0,128428;0,051035;
0,031079;0,426951;0,395872;
0,029594;0,327753;0,298159;
0,032866;0,382123;0,349257;
0,031349;0,390223;0,358874;
0,010989;0,129475;0,118486;
0,034102;0,446355;0,412252;
0,028990;0,318128;0,289138;
0,029167;0,419377;0,390210;
0,032329;0,415867;0,383538;
0,038534;0,565724;0,527189;
0,031463;0,555606;0,524144;
0,028942;0,320676;0,291734;
0,028942;0,320676;0,291734;
0,030674;0,513706;0,483032;
0,009983;0,485633;0,475649;
0,016730;0,410189;0,393459;
0,032187;0,414037;0,381849;
0,032187;0,414037;0,381849;
0,031679;0,393874;0,362195;
0,031511;0,390076;0,358565;
0,011633;0,130627;0,118995;
0,000765;0,465899;0,465134;
0,031466;0,390722;0,359256;
0,028888;0,316924;0,288036;
0,028888;0,316924;0,288036;
0,029214;0,351236;0,322022;
0,040703;0,598751;0,558047;
0,032597;0,427248;0,394651;
0,033232;0,700686;0,667454;
0,032180;0,574624;0,542444;
0,031349;0,387484;0,356136;
0,031349;0,387484;0,356136;
0,053289;0,582767;0,529478;
0,031200;0,388037;0,356837;
0,033981;0,709839;0,675858;
0,034293;0,462691;0,428398;
0,033679;0,687180;0,653501;
0,030795;0,512166;0,481371;
0,030781;0,416016;0,385235;
0,029545;0,413398;0,383853;
0,009451;0,447872;0,438421;
0,032625;0,592294;0,559669;
0,034892;0,372993;0,338101;
0,009507;0,447251;0,437744;
0,031459;0,134081;0,102622;
0,031207;0,368192;0,336984;
0,034645;0,461584;0,426939;
0,033683;0,449881;0,416198;
0,033145;0,391772;0,358627;
0,031282;0,435845;0,404563;
0,030299;0,364217;0,333918;
0,034796;0,473965;0,439169;
0,023703;0,483173;0,459470;
0,030307;0,447850;0,417543;
0,033197;0,448322;0,415125;
0,030539;0,359954;0,329415;
0,033741;0,458423;0,424682;
0,027749;0,476406;0,448657;
0,030310;0,358226;0,327916;
0,030616;0,395237;0,364622;
0,030039;0,356417;0,326378;
0,031157;0,757944;0,726787;
0,034282;0,697996;0,663714;
0,034282;0,697996;0,663714;
0,030840;0,402547;0,371706;
0,037066;0,522133;0,485066;
0,016353;0,434824;0,418470;
0,038226;0,540777;0,502551;
0,015149;0,497168;0,482019;
0,031963;0,403441;0,371478;
0,029731;0,348184;0,318453;
0,029731;0,348184;0,318453;
0,034188;0,459480;0,425292;
0,012189;0,397671;0,385482;
0,040958;0,582017;0,541059;
0,028228;0,608933;0,580705;
0,033941;0,456018;0,422078;
0,034749;0,444419;0,409671;
0,028878;0,335912;0,307034;
0,029338;0,336010;0,306672;
0,037367;0,527795;0,490428;
0,029760;0,340992;0,311232;
0,036065;0,501239;0,465174;
0,036065;0,501239;0,465174;
0,034023;0,460277;0,426253;
0,034690;0,446762;0,412072;
0,009658;0,370145;0,360487;
0,036392;0,519587;0,483195;
0,036392;0,519587;0,483195;
0,036392;0,519587;0,483195;
0,153921;0,455985;0,302064;
0,037128;0,520519;0,483391;
0,026901;0,260966;0,234065;
0,050222;0,698097;0,647875;
0,040257;0,578194;0,537937;
0,035970;0,498718;0,462747;
0,035970;0,498718;0,462747;
0,028976;0,321875;0,292899;
0,038784;0,520905;0,482121;
0,029049;0,346714;0,317665;
0,039319;0,583222;0,543903;
0,039319;0,583222;0,543903;
0,036181;0,502900;0,466719;
0,030351;0,371582;0,341230;
0,038822;0,000000;0,038822;
0,029531;0,000000;0,029531;
0,028875;0,320185;0,291310;
0,019018;0,748930;0,729912;
0,036755;0,517022;0,480267;
0,003281;0,441848;0,438567;
0,028818;0,193508;0,164690;
0,029557;0,351396;0,321839;
0,028582;0,310588;0,282006;
0,038074;0,538479;0,500406;
0,024392;0,155618;0,131226;
0,024392;0,155618;0,131226;
0,048061;0,672400;0,624339;
0,039587;0,605281;0,565694;
0,025235;0,414589;0,389354;
0,000000;0,516606;0,516606;
0,028532;0,419007;0,390475;
0,028274;0,419007;0,390733;
0,030363;0,493317;0,462954;
0,040612;0,583017;0,542405;
0,038248;0,526215;0,487967;
0,038013;0,532163;0,494149;
0,039832;0,611155;0,571323;
0,039832;0,611155;0,571323;
0,039299;0,590244;0,550945;
0,040052;0,577309;0,537257;
0,029483;0,338222;0,308739;
0,024405;0,152297;0,127892;
0,029129;0,334651;0,305522;
0,037103;0,526370;0,489268;
0,022416;0,713800;0,691384;
0,014802;0,290176;0,275374;
0,039638;0,569361;0,529723;
0,025996;0,153033;0,127037;
0,040942;0,527160;0,486218;
0,027555;0,464402;0,436847;
0,012535;0,546181;0,533647;
0,011756;0,290278;0,278523;
0,040705;0,578547;0,537842;
0,002021;0,277868;0,275847;
0,002021;0,277868;0,275847;
0,035062;0,671446;0,636384;
0,035951;0,451007;0,415057;
0,039832;0,574929;0,535097;
0,015103;0,529960;0,514857;
0,029592;0,268883;0,239291;
0,037655;0,531110;0,493455;
0,035636;0,486637;0,451000;
0,014955;0,498785;0,483830;
0,034166;0,487232;0,453066;
0,054120;0,576252;0,522132;
0,035322;0,488999;0,453677;
0,011073;0,262029;0,250956;
0,029188;0,605804;0,576616;
0,039648;0,564607;0,524959;
0,024401;0,153361;0,128960;
0,024350;0,153434;0,129083;
0,036065;0,497688;0,461623;
0,027049;0,598397;0,571348;
0,024978;0,579957;0,554979;
0,015106;0,575058;0,559952;
0,037064;0,000000;0,037064;
0,026212;0,224401;0,198188;
0,036024;0,500369;0,464345;
0,017081;0,500369;0,483288;
0,044042;0,632324;0,588282;
0,016137;0,534521;0,518384;
0,023796;0,158088;0,134292;
0,044455;0,637115;0,592659;
0,000881;0,575436;0,574554;
0,025613;0,206975;0,181362;
0,012179;0,569139;0,556961;
0,026675;0,391237;0,364562;
0,042998;0,613240;0,570241;
0,044041;0,631085;0,587044;
0,034741;0,496835;0,462094;
0,034741;0,496835;0,462094;
0,044247;0,636563;0,592316;
0,060428;0,790226;0,729798;
0,024605;0,161663;0,137059;
0,024276;0,147689;0,123413;
0,035711;0,489925;0,454214;
0,036701;0,590143;0,553442;
0,036701;0,590143;0,553442;
0,026565;0,504361;0,477796;
0,024666;0,164086;0,139420;
0,024493;0,156384;0,131891;
0,043903;0,630527;0,586624;
0,043903;0,630527;0,586624;
0,024800;0,167103;0,142304;
0,035180;0,619532;0,584352;
0,026465;0,237182;0,210717;
0,026465;0,237182;0,210717;
0,044101;0,629858;0,585757;
0,031664;0,426638;0,394973;
0,010547;0,685467;0,674920;
0,024577;0,160977;0,136400;
0,113465;0,563807;0,450342;
0,017672;0,587574;0,569902;
0,024625;0,163862;0,139237;
0,026059;0,000000;0,026059;
0,029425;0,449799;0,420374;
0,026277;0,483941;0,457664;
0,001793;0,699490;0,697697;
0,040977;0,000000;0,040977;
0,025967;0,482276;0,456310;
0,038421;0,543597;0,505176;
0,024665;0,168190;0,143525;
0,020659;0,559747;0,539088;
0,026083;0,217367;0,191284;
0,031002;0,380387;0,349385;
0,026292;0,230181;0,203889;
0,038352;0,544711;0,506359;
0,024932;0,175673;0,150741;
0,051500;0,440106;0,388606;
0,037343;0,589263;0,551920;
0,037343;0,589263;0,551920;
0,026039;0,216110;0,190071;
0,038368;0,555236;0,516868;
0,032420;0,439759;0,407339;
0,039331;0,000000;0,039331;
0,039331;0,000000;0,039331;
0,010400;0,509635;0,499235;
0,038714;0,544773;0,506059;
0,032023;0,409569;0,377546;
0,038863;0,557385;0,518522;
0,025450;0,176996;0,151546;
0,029096;0,455482;0,426386;
0,012520;0,438334;0,425814;
0,024970;0,176958;0,151988;
0,029518;0,335967;0,306449;
0,032714;0,427628;0,394914;
0,029725;0,343157;0,313431;
0,031316;0,442309;0,410993;
0,782130;0,635879;0,146251;
0,782130;0,635879;0,146251;
0,038330;0,545865;0,507535;
0,029497;0,341324;0,311826;
0,025847;0,407055;0,381208;
0,032351;0,411298;0,378948;
0,025192;0,365752;0,340560;
0,029337;0,452344;0,423007;
0,029337;0,452344;0,423007;
0,029472;0,452344;0,422872;
0,029472;0,452344;0,422872;
0,025252;0,184821;0,159569;
