Reconstruction Coord z;Map Coord z;Error z;
0,226669;0,063290;0,163379;
0,060166;0,010976;0,049190;
0,042432;0,804182;0,761750;
0,075833;0,066802;0,009032;
0,070408;0,010965;0,059443;
0,110506;0,229732;0,119226;
0,329670;0,657731;0,328061;
0,326792;0,652443;0,325652;
0,123914;0,659082;0,535168;
0,319236;0,654330;0,335094;
0,314490;0,655277;0,340787;
0,291845;0,658992;0,367147;
0,066315;0,009916;0,056400;
0,316134;0,655039;0,338904;
0,316134;0,655039;0,338904;
0,319459;0,654922;0,335462;
0,319459;0,654922;0,335462;
0,315475;0,654922;0,339447;
0,212711;0,561107;0,348396;
0,217332;0,561207;0,343874;
0,256307;0,658706;0,402399;
0,256307;0,658706;0,402399;
0,115780;0,249548;0,133767;
0,115780;0,249548;0,133767;
0,240995;0,564099;0,323104;
0,066095;0,008940;0,057154;
0,257480;0,571612;0,314133;
0,066085;0,008865;0,057220;
0,244257;0,567635;0,323378;
0,067078;0,008636;0,058442;
0,042424;0,008636;0,033788;
0,255277;0,568860;0,313583;
0,255392;0,565572;0,310180;
0,254839;0,573418;0,318579;
0,249685;0,000000;0,249685;
0,045157;0,000000;0,045157;
0,065898;0,007471;0,058427;
0,282376;0,655138;0,372762;
0,255889;0,580897;0,325008;
0,198574;0,306370;0,107796;
0,219070;0,008106;0,210964;
0,249892;0,650821;0,400929;
0,249892;0,650821;0,400929;
0,172289;0,611506;0,439217;
0,278074;0,604175;0,326101;
0,278632;0,608088;0,329456;
0,271870;0,648010;0,376140;
0,279454;0,609617;0,330163;
0,285855;0,615788;0,329933;
0,053630;0,006593;0,047037;
0,280585;0,609191;0,328607;
0,277710;0,608747;0,331036;
0,264243;0,650252;0,386009;
0,278518;0,608635;0,330117;
0,287357;0,610336;0,322979;
0,280399;0,610152;0,329753;
0,280399;0,610152;0,329753;
0,054833;0,005135;0,049698;
0,280998;0,000000;0,280998;
0,368664;0,617921;0,249256;
0,214596;0,535954;0,321359;
0,065199;0,002913;0,062286;
0,289269;0,643770;0,354501;
0,177124;0,003880;0,173243;
0,296187;0,636244;0,340056;
0,065117;0,002690;0,062427;
0,065258;0,004920;0,060338;
0,045838;0,004920;0,040918;
0,065262;0,003622;0,061640;
0,230409;0,541786;0,311377;
0,249472;0,000000;0,249472;
0,202058;0,566381;0,364323;
0,289251;0,000000;0,289251;
0,152971;0,000000;0,152971;
0,159903;0,375861;0,215958;
0,004511;0,000000;0,004511;
0,065592;0,005703;0,059889;
0,094146;0,380528;0,286382;
0,153157;0,375841;0,222684;
0,116355;0,379669;0,263314;
0,095992;0,380037;0,284045;
0,095992;0,380037;0,284045;
