Reconstruction Coord z;Map Coord z;Error z;
0,839718;0,951483;0,111765;
0,839718;0,951483;0,111765;
0,839718;0,951483;0,111765;
0,069195;0,968473;0,899278;
0,081047;0,735136;0,654089;
0,459737;0,724802;0,265065;
0,459737;0,724802;0,265065;
0,462644;0,724873;0,262229;
0,443885;0,717391;0,273506;
0,443885;0,717391;0,273506;
0,425713;0,696451;0,270738;
0,425713;0,696451;0,270738;
0,420685;0,689460;0,268775;
0,420685;0,689460;0,268775;
0,419988;0,688456;0,268468;
0,265523;0,000000;0,265523;
0,451557;0,686370;0,234813;
0,451557;0,686370;0,234813;
0,301775;0,682090;0,380315;
0,486268;0,680595;0,194327;
0,486268;0,680595;0,194327;
0,254156;0,385784;0,131628;
0,321139;0,673926;0,352787;
0,321139;0,673926;0,352787;
0,245067;0,330453;0,085386;
0,436486;0,671585;0,235099;
0,436486;0,671585;0,235099;
0,401684;0,666933;0,265249;
0,401684;0,666933;0,265249;
0,930300;0,976127;0,045827;
0,924499;0,976105;0,051606;
0,924499;0,976105;0,051606;
0,431798;0,663790;0,231992;
0,431798;0,663790;0,231992;
0,400814;0,663107;0,262293;
0,390183;0,966069;0,575886;
0,095902;0,000000;0,095902;
0,411832;0,965965;0,554132;
0,072542;0,965965;0,893423;
0,096003;0,000000;0,096003;
0,244771;0,331335;0,086564;
0,381874;0,635159;0,253285;
0,425370;0,000000;0,425370;
0,890409;0,975892;0,085483;
0,378683;0,606490;0,227807;
0,439883;0,647367;0,207484;
0,439883;0,647367;0,207484;
0,377002;0,627648;0,250646;
0,231514;0,335518;0,104004;
0,924139;0,976008;0,051869;
0,312953;0,000000;0,312953;
0,181488;0,000000;0,181488;
0,190411;0,086190;0,104221;
0,140275;0,102943;0,037331;
0,103275;0,485524;0,382249;
0,142469;0,360891;0,218422;
0,142469;0,360891;0,218422;
0,191345;0,472816;0,281471;
0,191345;0,472816;0,281471;
0,189171;0,366378;0,177207;
0,111397;0,488073;0,376675;
0,109379;0,499025;0,389646;
0,198093;0,000000;0,198093;
0,209725;0,393694;0,183968;
0,221417;0,366953;0,145537;
0,105329;0,366953;0,261624;
0,202724;0,218593;0,015869;
0,189932;0,085082;0,104849;
0,100052;0,130814;0,030763;
0,210196;0,132446;0,077750;
0,215924;0,127934;0,087990;
0,143657;0,127934;0,015723;
0,488711;0,558092;0,069381;
0,205936;0,380145;0,174209;
0,205936;0,380145;0,174209;
0,199553;0,541478;0,341925;
0,214017;0,547792;0,333775;
0,214017;0,547792;0,333775;
0,214017;0,547792;0,333775;
0,142995;0,346199;0,203204;
0,215751;0,576552;0,360801;
0,215751;0,576552;0,360801;
0,564220;0,976440;0,412219;
0,266665;0,000000;0,266665;
0,122860;0,000000;0,122860;
0,561051;0,000000;0,561051;
0,592347;0,219933;0,372414;
0,193393;0,089189;0,104204;
0,205541;0,119077;0,086465;
0,205541;0,119077;0,086465;
0,202829;0,103731;0,099098;
0,114372;0,134725;0,020353;
0,116686;0,132821;0,016136;
0,105420;0,574470;0,469050;
0,105898;0,000000;0,105898;
0,216847;0,139402;0,077445;
0,363941;0,960191;0,596250;
0,139999;0,000000;0,139999;
0,366225;0,727191;0,360966;
0,371106;0,958762;0,587656;
0,130561;0,969581;0,839020;
0,218120;0,000000;0,218120;
0,181376;0,000000;0,181376;
0,180863;0,000000;0,180863;
0,198164;0,000000;0,198164;
0,676670;0,439372;0,237298;
0,676670;0,439372;0,237298;
0,676670;0,439372;0,237298;
0,204235;0,968949;0,764713;
0,708261;0,659376;0,048884;
0,002536;0,137830;0,135294;
0,002536;0,137830;0,135294;
0,221303;0,973386;0,752084;
0,206193;0,978564;0,772372;
0,206193;0,978564;0,772372;
0,213871;0,000000;0,213871;
0,214018;0,945651;0,731633;
0,738042;0,714439;0,023602;
0,305034;0,000000;0,305034;
0,208094;0,215851;0,007757;
0,200644;0,000000;0,200644;
0,701359;0,959110;0,257751;
0,197059;0,143400;0,053660;
0,197064;0,107752;0,089313;
0,211356;0,136493;0,074863;
0,211356;0,136493;0,074863;
0,510167;0,959983;0,449816;
0,521149;0,402875;0,118273;
0,303390;0,953118;0,649728;
0,333160;0,837070;0,503909;
0,330737;0,837070;0,506333;
0,206346;0,114586;0,091760;
0,204060;0,000000;0,204060;
0,190431;0,971513;0,781082;
0,110837;0,207337;0,096499;
0,203367;0,398949;0,195582;
0,684093;0,836996;0,152904;
0,671950;0,836996;0,165047;
0,672530;0,718980;0,046450;
0,163465;0,367681;0,204216;
0,145049;0,965257;0,820208;
0,204112;0,139520;0,064592;
0,204112;0,139520;0,064592;
0,197030;0,118478;0,078552;
0,960550;0,984991;0,024441;
0,210591;0,322647;0,112056;
0,954670;0,984761;0,030091;
0,954670;0,984761;0,030091;
0,961064;0,985115;0,024051;
0,961064;0,985115;0,024051;
0,961064;0,985115;0,024051;
0,324822;0,311665;0,013157;
0,627012;0,357847;0,269165;
0,215706;0,964848;0,749143;
0,238318;0,313732;0,075414;
0,581647;0,237664;0,343983;
0,213541;0,296265;0,082724;
0,094512;0,343718;0,249205;
0,209137;0,120543;0,088593;
0,226221;0,134954;0,091267;
0,971726;0,988539;0,016813;
0,971726;0,988539;0,016813;
0,971726;0,988539;0,016813;
0,971726;0,988539;0,016813;
0,211090;0,143082;0,068007;
0,966876;0,989349;0,022473;
0,197372;0,968345;0,770972;
0,194791;0,292709;0,097918;
0,199830;0,000000;0,199830;
0,231338;0,000000;0,231338;
0,227557;0,274012;0,046454;
0,016671;0,274012;0,257340;
0,212391;0,620383;0,407992;
0,212391;0,620383;0,407992;
0,224390;0,964538;0,740148;
0,224390;0,964538;0,740148;
0,211284;0,152252;0,059032;
0,237515;0,202814;0,034701;
0,207880;0,000000;0,207880;
0,880835;0,983030;0,102195;
0,215870;0,152696;0,063174;
0,207263;0,000000;0,207263;
0,201973;0,373570;0,171597;
0,005648;0,000000;0,005648;
0,200995;0,246727;0,045731;
0,208882;0,247618;0,038736;
0,006923;0,000000;0,006923;
0,205637;0,000000;0,205637;
0,205637;0,000000;0,205637;
0,205637;0,000000;0,205637;
1,000000;0,583709;0,416291;
0,559748;0,264106;0,295642;
0,416798;0,000000;0,416798;
0,207952;0,228685;0,020733;
0,228336;0,631870;0,403534;
0,213188;0,232622;0,019433;
0,097073;0,632257;0,535185;
0,231452;0,486944;0,255492;
0,214994;0,216407;0,001413;
0,217834;0,237168;0,019334;
0,119879;0,638771;0,518892;
0,247558;0,597023;0,349464;
0,381529;0,637075;0,255546;
0,381529;0,637075;0,255546;
0,239455;0,237437;0,002018;
0,375411;0,628464;0,253053;
0,365961;0,625540;0,259579;
0,214994;0,217299;0,002305;
0,026178;0,446349;0,420171;
0,381011;0,637553;0,256542;
0,378896;0,633562;0,254666;
0,216841;0,217258;0,000417;
0,381171;0,636880;0,255709;
0,378954;0,636880;0,257926;
0,378954;0,636880;0,257926;
0,379830;0,638388;0,258558;
0,372253;0,975119;0,602865;
0,377069;0,976439;0,599369;
0,380661;0,624629;0,243967;
0,371947;0,624373;0,252426;
0,371947;0,624373;0,252426;
0,377806;0,630262;0,252457;
0,377806;0,630262;0,252457;
0,361061;0,623661;0,262600;
0,372576;0,624511;0,251934;
0,372576;0,624511;0,251934;
0,374134;0,627304;0,253170;
0,624834;0,644922;0,020089;
0,624834;0,644922;0,020089;
0,372658;0,624441;0,251784;
0,378465;0,633255;0,254790;
0,381878;0,638093;0,256214;
0,365889;0,621723;0,255833;
0,366079;0,610739;0,244660;
0,367152;0,614286;0,247135;
0,373412;0,629446;0,256035;
0,368575;0,619835;0,251261;
0,368575;0,619835;0,251261;
0,371139;0,623466;0,252327;
0,371139;0,623466;0,252327;
0,380401;0,638413;0,258013;
0,372834;0,625472;0,252637;
0,372834;0,625472;0,252637;
0,382455;0,636231;0,253776;
0,370601;0,000000;0,370601;
0,379464;0,634751;0,255287;
0,372707;0,623350;0,250643;
0,372707;0,623350;0,250643;
0,367105;0,000000;0,367105;
0,381556;0,636687;0,255131;
0,373642;0,622760;0,249117;
0,381340;0,634545;0,253205;
0,372326;0,624016;0,251690;
0,363239;0,611764;0,248525;
0,371193;0,618638;0,247446;
0,373291;0,621950;0,248658;
0,372377;0,622279;0,249902;
0,382318;0,635799;0,253481;
0,396407;0,609154;0,212747;
0,372030;0,630226;0,258196;
0,371119;0,623917;0,252797;
0,372155;0,622584;0,250429;
0,388748;0,638283;0,249534;
0,370878;0,622295;0,251417;
0,363806;0,633238;0,269432;
0,377619;0,632698;0,255080;
0,378874;0,634719;0,255846;
0,373116;0,628031;0,254915;
0,374124;0,625517;0,251393;
0,014711;0,973361;0,958650;
0,014731;0,972443;0,957712;
0,014738;0,972775;0,958037;
0,374221;0,973897;0,599675;
0,384430;0,973864;0,589434;
0,371437;0,975597;0,604160;
0,384803;0,978862;0,594058;
0,375763;0,974105;0,598343;
0,317340;0,533881;0,216542;
0,428017;0,972719;0,544703;
