Reconstruction Coord z;Map Coord z;Error z;
0,213328;0,398664;0,185336;
0,142129;0,118143;0,023986;
0,142286;0,109886;0,032400;
0,142286;0,109886;0,032400;
0,215744;0,404464;0,188720;
0,144392;0,420417;0,276025;
0,075509;0,419597;0,344088;
0,130158;0,420109;0,289951;
0,167695;0,113290;0,054405;
0,220128;0,422411;0,202283;
0,129007;0,047378;0,081629;
0,129007;0,047378;0,081629;
0,127774;0,045743;0,082031;
0,024597;0,045743;0,021146;
0,236723;0,471865;0,235141;
0,236723;0,471865;0,235141;
0,237704;0,477754;0,240050;
0,237704;0,477754;0,240050;
0,241108;0,628128;0,387020;
0,120994;0,440038;0,319043;
0,133253;0,442447;0,309194;
0,191252;0,454637;0,263385;
0,195169;0,462103;0,266934;
0,236753;0,464727;0,227974;
0,032379;0,464558;0,432178;
0,235023;0,464300;0,229277;
0,235023;0,464300;0,229277;
0,237236;0,000000;0,237236;
0,255221;0,673828;0,418607;
0,287506;0,677092;0,389586;
0,299011;0,803802;0,504791;
0,062525;0,809945;0,747420;
0,131179;0,059797;0,071382;
0,131179;0,059797;0,071382;
0,073833;0,821896;0,748063;
0,130873;0,828541;0,697668;
0,103410;0,834457;0,731046;
0,191302;0,849941;0,658639;
0,217783;0,861736;0,643952;
0,142042;0,889301;0,747259;
0,215388;0,904645;0,689257;
0,389946;0,803614;0,413667;
0,389946;0,803614;0,413667;
0,189910;0,327673;0,137763;
0,296735;0,852787;0,556052;
0,291825;0,000000;0,291825;
0,299042;0,606611;0,307569;
0,299042;0,606611;0,307569;
0,192703;0,373574;0,180871;
0,204026;0,372175;0,168149;
0,402765;0,603439;0,200674;
0,402765;0,603439;0,200674;
0,300653;0,854270;0,553617;
0,204763;0,376704;0,171941;
0,338262;0,000000;0,338262;
0,347595;0,000000;0,347595;
0,185891;0,372977;0,187086;
0,204379;0,371701;0,167322;
0,175671;0,371701;0,196030;
0,283817;0,856651;0,572834;
0,283817;0,856651;0,572834;
0,199168;0,000000;0,199168;
0,302042;0,857962;0,555920;
0,207481;0,382277;0,174795;
0,208091;0,378345;0,170254;
0,205109;0,376025;0,170916;
0,205109;0,376025;0,170916;
0,308312;0,857884;0,549571;
0,308312;0,857884;0,549571;
0,215598;0,375587;0,159988;
0,197361;0,375587;0,178226;
0,204466;0,386132;0,181666;
0,284293;0,000000;0,284293;
0,298107;0,861812;0,563705;
0,418278;0,861479;0,443201;
0,155341;0,873643;0,718302;
0,173690;0,388915;0,215225;
0,197025;0,345610;0,148585;
0,196422;0,390429;0,194007;
0,194224;0,000000;0,194224;
0,184227;0,381782;0,197556;
0,148787;0,000000;0,148787;
0,172424;0,286393;0,113969;
0,188859;0,000000;0,188859;
0,188859;0,000000;0,188859;
0,183613;0,000000;0,183613;
0,186029;0,000000;0,186029;
0,186029;0,000000;0,186029;
0,102896;0,402144;0,299248;
0,181007;0,000000;0,181007;
0,174544;0,384473;0,209929;
0,174544;0,384473;0,209929;
0,182523;0,384872;0,202348;
0,182523;0,384872;0,202348;
0,181830;0,000000;0,181830;
0,181612;0,403032;0,221420;
0,182228;0,401742;0,219514;
0,182228;0,401742;0,219514;
0,199215;0,304057;0,104842;
0,175563;0,000000;0,175563;
0,180205;0,401947;0,221742;
0,181427;0,283280;0,101853;
0,180897;0,000000;0,180897;
0,181083;0,279356;0,098273;
0,180299;0,000000;0,180299;
0,180299;0,000000;0,180299;
0,180023;0,000000;0,180023;
0,190002;0,399865;0,209863;
0,182151;0,401046;0,218895;
0,177433;0,265729;0,088296;
0,177960;0,402816;0,224856;
0,180425;0,402863;0,222438;
0,262779;0,000000;0,262779;
0,174462;0,000000;0,174462;
0,198481;0,391786;0,193305;
0,000000;0,389176;0,389176;
0,243843;0,566642;0,322800;
0,257835;0,390164;0,132329;
0,234552;0,749301;0,514748;
0,271487;0,746039;0,474553;
0,300045;0,000000;0,300045;
0,088347;0,713150;0,624803;
0,273164;0,000000;0,273164;
0,338950;0,000000;0,338950;
0,343213;0,000000;0,343213;
0,287176;0,724301;0,437126;
0,343717;0,721929;0,378212;
0,279984;0,000000;0,279984;
0,364257;0,943890;0,579632;
0,291001;0,000000;0,291001;
0,139674;0,000000;0,139674;
0,341558;0,722153;0,380595;
0,479793;0,000000;0,479793;
0,289194;0,651961;0,362767;
0,294744;0,000000;0,294744;
0,294744;0,000000;0,294744;
0,294744;0,000000;0,294744;
0,137482;0,092044;0,045438;
0,459642;0,907710;0,448067;
0,217683;0,907710;0,690027;
0,343338;0,722311;0,378973;
0,295255;0,693929;0,398674;
0,331332;0,000000;0,331332;
0,468338;0,957301;0,488963;
0,074979;0,000000;0,074979;
0,174479;0,642272;0,467793;
0,352774;0,741932;0,389158;
0,299103;0,000000;0,299103;
0,299103;0,000000;0,299103;
0,336669;0,000000;0,336669;
0,354606;0,745882;0,391276;
0,176098;0,970541;0,794443;
0,348725;0,000000;0,348725;
0,295722;0,629763;0,334041;
0,332528;0,000000;0,332528;
0,331488;0,701133;0,369645;
0,336645;0,000000;0,336645;
0,144684;0,688491;0,543806;
0,318647;0,000000;0,318647;
0,294044;0,676174;0,382131;
0,344442;0,000000;0,344442;
0,291756;0,616109;0,324353;
0,318160;0,667805;0,349645;
0,294459;0,000000;0,294459;
0,327021;0,694226;0,367205;
0,292791;0,620556;0,327765;
0,434986;0,982541;0,547555;
0,207856;0,383748;0,175892;
0,315209;0,654675;0,339466;
0,002302;0,653508;0,651206;
0,288430;0,618254;0,329825;
0,325556;0,696278;0,370722;
0,278793;0,618955;0,340162;
0,326372;0,000000;0,326372;
0,313417;0,000000;0,313417;
0,321165;0,000000;0,321165;
0,183172;0,992917;0,809744;
0,275564;0,569951;0,294387;
0,209851;0,000000;0,209851;
0,126482;0,032661;0,093821;
0,125038;0,029709;0,095329;
0,271419;0,569549;0,298130;
0,219419;0,667683;0,448265;
0,265242;0,560395;0,295153;
0,254357;0,000000;0,254357;
0,192975;0,329657;0,136682;
0,192346;0,328453;0,136107;
0,263984;0,575290;0,311307;
0,263984;0,575290;0,311307;
0,242341;0,498041;0,255700;
0,250379;0,560005;0,309626;
0,247314;0,924666;0,677352;
1,000000;0,730221;0,269779;
0,004855;0,830351;0,825496;
0,414112;0,890820;0,476708;
0,481942;0,888235;0,406294;
