Reconstruction Coord z;Map Coord z;Error z;
0,028449;0,777297;0,748849;
0,003291;0,777209;0,773918;
0,029292;0,785677;0,756385;
0,028881;0,787494;0,758613;
0,029735;0,791651;0,761916;
0,018686;0,792795;0,774108;
0,032078;0,828508;0,796431;
0,000067;0,834065;0,833997;
0,004279;0,330797;0,326518;
0,007137;0,000000;0,007137;
0,015737;0,426750;0,411014;
0,004301;0,323274;0,318973;
0,003569;0,583420;0,579850;
0,003659;0,818958;0,815299;
0,003630;0,822020;0,818389;
0,008912;0,511296;0,502384;
0,003689;0,511296;0,507607;
0,003276;0,000000;0,003276;
0,009687;0,412423;0,402736;
0,003876;0,815379;0,811503;
0,013134;0,231575;0,218442;
0,003702;0,194548;0,190846;
0,012229;0,831293;0,819064;
0,003545;0,214542;0,210997;
0,012410;0,830768;0,818358;
0,003547;0,215045;0,211498;
0,005011;0,000000;0,005011;
0,004660;0,000000;0,004660;
0,014139;0,258292;0,244153;
0,003858;0,258292;0,254434;
0,003750;0,211551;0,207801;
0,012094;0,212922;0,200828;
0,003839;0,000000;0,003839;
0,003790;0,000000;0,003790;
0,012338;0,221299;0,208962;
0,012319;0,222056;0,209737;
0,009761;0,000000;0,009761;
0,011951;0,205544;0,193593;
0,007209;0,177409;0,170200;
0,012304;0,218531;0,206226;
0,003691;0,219780;0,216090;
0,011926;0,183868;0,171942;
0,012448;0,210831;0,198383;
0,003316;0,181748;0,178432;
0,531738;0,224868;0,306870;
0,012229;0,224868;0,212638;
0,006044;0,224868;0,218824;
0,012314;0,218501;0,206186;
0,011640;0,175171;0,163531;
0,011894;0,000000;0,011894;
0,011750;0,178219;0,166469;
0,012429;0,212103;0,199674;
0,012689;0,248154;0,235465;
0,012632;0,245620;0,232988;
0,004270;0,197412;0,193141;
0,004899;0,247006;0,242107;
0,011921;0,194344;0,182424;
0,011921;0,194344;0,182424;
0,012567;0,237271;0,224704;
0,011734;0,000000;0,011734;
0,009839;0,219969;0,210130;
0,005374;0,244701;0,239326;
0,012832;0,257465;0,244633;
0,003464;0,194375;0,190911;
0,012183;0,193045;0,180862;
0,005632;0,222229;0,216597;
0,012065;0,215403;0,203339;
0,010909;0,000000;0,010909;
0,011120;0,102280;0,091160;
0,011840;0,183620;0,171781;
0,011840;0,183620;0,171781;
0,010840;0,101751;0,090912;
0,010840;0,101751;0,090912;
0,012683;0,239239;0,226556;
0,012102;0,215988;0,203886;
0,008544;0,202301;0,193757;
