Reconstruction Coord z;Map Coord z;Error z;
0,006619;0,029881;0,023262;
0,007764;0,210001;0,202238;
0,004641;0,395931;0,391289;
0,012984;0,000000;0,012984;
0,012128;0,198964;0,186835;
0,005482;0,200956;0,195474;
0,005157;0,185747;0,180590;
0,045622;0,301984;0,256361;
0,014626;0,180332;0,165705;
0,010130;0,434013;0,423883;
0,006048;0,203167;0,197119;
0,005912;0,328841;0,322929;
0,005590;0,328841;0,323251;
0,006345;0,168476;0,162132;
0,012019;0,200686;0,188667;
0,006624;0,000000;0,006624;
0,006915;0,314587;0,307672;
0,006104;0,000000;0,006104;
0,006085;0,000000;0,006085;
0,008572;0,171405;0,162833;
0,011894;0,175346;0,163452;
0,005809;0,175346;0,169537;
0,005445;0,025449;0,020003;
0,012394;0,211337;0,198943;
0,012394;0,211337;0,198943;
0,011415;0,000000;0,011415;
0,011766;0,169183;0,157417;
0,011775;0,168750;0,156975;
0,005368;0,925954;0,920586;
0,011342;0,171358;0,160017;
0,011699;0,163098;0,151399;
0,012376;0,216193;0,203817;
0,007643;0,216193;0,208549;
0,007816;0,127276;0,119460;
0,011706;0,169168;0,157462;
0,010479;0,171702;0,161223;
0,011845;0,129040;0,117196;
0,005070;0,169861;0,164792;
0,007797;0,211755;0,203958;
0,004670;0,167219;0,162549;
0,011545;0,163791;0,152246;
0,011875;0,162107;0,150231;
0,011642;0,155859;0,144216;
0,006394;0,162632;0,156238;
0,008261;0,000000;0,008261;
0,011575;0,162657;0,151082;
0,005017;0,126606;0,121589;
0,011982;0,192304;0,180322;
0,005176;0,166666;0,161490;
0,005731;0,250704;0,244973;
0,006873;0,171157;0,164283;
0,012421;0,219342;0,206921;
0,006112;0,000000;0,006112;
0,020977;0,691501;0,670524;
0,008606;0,691501;0,682895;
0,011481;0,139328;0,127847;
0,005674;0,174906;0,169232;
0,005438;0,241596;0,236157;
0,012761;0,948592;0,935831;
0,009766;0,229911;0,220145;
0,005964;0,937746;0,931782;
0,005304;0,323056;0,317751;
0,011702;0,242805;0,231103;
0,005686;0,195943;0,190257;
0,005145;0,000000;0,005145;
0,011688;0,168848;0,157160;
0,006904;0,175675;0,168771;
