Reconstruction Coord z;Map Coord z;Error z;
0,018682;0,379423;0,360741;
0,018473;0,382020;0,363547;
0,002328;0,380482;0,378153;
0,018647;0,382807;0,364160;
0,018629;0,383930;0,365301;
0,011973;0,384857;0,372884;
0,019017;0,383860;0,364842;
0,018860;0,383924;0,365065;
0,020114;0,383913;0,363799;
0,020803;0,384221;0,363418;
0,018838;0,384578;0,365740;
0,012104;0,000000;0,012104;
0,018789;0,385137;0,366348;
0,018604;0,385408;0,366805;
0,018846;0,385408;0,366562;
0,038439;0,005749;0,032690;
0,004510;0,132453;0,127943;
0,006747;0,145672;0,138925;
0,003478;0,385567;0,382089;
0,011841;0,146141;0,134300;
0,018771;0,386161;0,367390;
0,003800;0,386161;0,382361;
0,002948;0,000000;0,002948;
0,002841;0,000000;0,002841;
0,018893;0,387044;0,368151;
0,018903;0,386678;0,367775;
0,018940;0,386637;0,367697;
0,018906;0,386786;0,367879;
0,012853;0,186018;0,173166;
0,003044;0,009188;0,006144;
0,002365;0,009188;0,006823;
0,018978;0,388448;0,369470;
0,018984;0,388434;0,369450;
0,016050;0,388471;0,372421;
0,015470;0,282305;0,266835;
0,015549;0,275516;0,259967;
0,019017;0,389929;0,370911;
0,019029;0,389772;0,370743;
0,015560;0,279088;0,263528;
0,015673;0,279088;0,263415;
0,002455;0,000000;0,002455;
0,002482;0,268303;0,265821;
0,002521;0,250209;0,247688;
0,014772;0,000000;0,014772;
0,018994;0,389718;0,370724;
0,009900;0,389227;0,379327;
0,003040;0,245248;0,242208;
0,019067;0,390530;0,371464;
0,012189;0,246715;0,234526;
0,019104;0,390598;0,371494;
0,019040;0,390833;0,371792;
0,019040;0,390833;0,371792;
0,019121;0,391605;0,372484;
0,019121;0,391605;0,372484;
0,006899;0,389702;0,382803;
0,019106;0,391047;0,371940;
0,012239;0,244974;0,232735;
0,004283;0,391738;0,387455;
0,016918;0,333381;0,316463;
0,014157;0,390363;0,376207;
0,019145;0,391553;0,372408;
0,017619;0,334616;0,316997;
0,012243;0,251847;0,239604;
0,011548;0,153288;0,141741;
0,003025;0,153288;0,150263;
0,002396;0,153288;0,150892;
0,009479;0,127560;0,118081;
0,007830;0,390977;0,383147;
0,019116;0,391833;0,372717;
0,011852;0,133948;0,122096;
0,003062;0,252797;0,249735;
0,019094;0,392929;0,373835;
0,011864;0,136112;0,124249;
0,003065;0,252797;0,249732;
0,002383;0,344674;0,342292;
0,019174;0,391247;0,372073;
0,002531;0,337098;0,334567;
0,012418;0,336922;0,324504;
0,019165;0,392878;0,373712;
0,017518;0,341173;0,323655;
0,004059;0,389998;0,385939;
0,012166;0,156221;0,144056;
0,002422;0,392921;0,390498;
0,019048;0,392241;0,373192;
0,003888;0,373811;0,369923;
0,018453;0,373810;0,355357;
0,019244;0,393665;0,374421;
0,019090;0,392434;0,373344;
0,002851;0,392434;0,389584;
0,019146;0,393935;0,374790;
0,019146;0,393935;0,374790;
0,019095;0,394301;0,375206;
0,005926;0,163077;0,157151;
0,019202;0,393693;0,374491;
0,018945;0,394011;0,375066;
0,019437;0,393584;0,374146;
0,019359;0,393821;0,374462;
0,019127;0,013825;0,005302;
0,004666;0,393865;0,389199;
0,003217;0,393553;0,390336;
0,019535;0,395628;0,376093;
0,005500;0,000000;0,005500;
0,005205;0,395868;0,390663;
0,002723;0,000000;0,002723;
0,015730;0,373812;0,358082;
0,005403;0,373812;0,368409;
0,005626;0,000000;0,005626;
0,002644;0,000000;0,002644;
0,019339;0,395599;0,376260;
0,007382;0,000000;0,007382;
0,019005;0,394345;0,375340;
0,006318;0,394804;0,388487;
0,004331;0,015038;0,010707;
0,007171;0,396920;0,389749;
0,019298;0,396581;0,377283;
0,018787;0,394245;0,375458;
0,002455;0,015061;0,012606;
0,019480;0,397526;0,378046;
0,015555;0,323658;0,308102;
0,019274;0,398417;0,379143;
0,003463;0,016541;0,013078;
0,019304;0,398221;0,378917;
0,004603;0,397361;0,392758;
0,004718;0,017484;0,012766;
0,003807;0,017484;0,013677;
0,019515;0,397946;0,378431;
0,019421;0,399668;0,380247;
0,005471;0,399060;0,393589;
0,019340;0,399456;0,380116;
0,009483;0,018329;0,008846;
0,002567;0,018329;0,015762;
0,009433;0,017718;0,008286;
0,002611;0,017487;0,014876;
0,004223;0,398031;0,393809;
0,019545;0,400078;0,380533;
0,019545;0,400078;0,380533;
0,006573;0,399545;0,392972;
0,009451;0,017362;0,007911;
0,007528;0,399189;0,391661;
0,002909;0,399189;0,396281;
0,019355;0,401194;0,381838;
0,019399;0,401265;0,381866;
0,019399;0,401265;0,381866;
0,019442;0,400751;0,381309;
0,019523;0,401418;0,381895;
0,019523;0,401418;0,381895;
0,019436;0,402156;0,382719;
0,019504;0,401773;0,382268;
0,019433;0,402114;0,382681;
0,019516;0,402072;0,382557;
0,019628;0,403410;0,383781;
0,019673;0,403080;0,383407;
0,019812;0,402950;0,383138;
0,019459;0,402989;0,383530;
0,019943;0,402716;0,382773;
0,019501;0,403503;0,384002;
0,019534;0,402054;0,382520;
0,019534;0,402054;0,382520;
0,002885;0,401853;0,398968;
0,002886;0,401760;0,398874;
0,009456;0,021085;0,011629;
0,020163;0,415828;0,395664;
0,052083;0,175101;0,123018;
0,020073;0,414943;0,394870;
0,013573;0,022147;0,008575;
0,013585;0,421526;0,407941;
0,002817;0,000000;0,002817;
0,004472;0,021384;0,016912;
0,005746;0,022874;0,017128;
0,002853;0,190515;0,187662;
0,021215;0,444014;0,422799;
0,000328;0,440106;0,439778;
0,002664;0,440641;0,437977;
0,009656;0,000000;0,009656;
0,011536;0,000000;0,011536;
0,014444;0,022199;0,007755;
0,002818;0,022153;0,019335;
0,004398;0,484743;0,480344;
0,003534;0,000000;0,003534;
0,023912;0,502834;0,478921;
0,002801;0,023806;0,021005;
0,002741;0,024606;0,021865;
0,009559;0,023842;0,014283;
0,003118;0,543314;0,540196;
0,003068;0,234946;0,231879;
0,007999;0,586180;0,578181;
0,008145;0,623525;0,615381;
0,007943;0,623525;0,615583;
0,012293;0,167761;0,155468;
0,006077;0,624632;0,618555;
0,057282;0,000000;0,057282;
0,003075;0,000000;0,003075;
0,012259;0,152104;0,139845;
0,033503;0,659657;0,626154;
0,006594;0,268203;0,261609;
0,006632;0,268257;0,261624;
0,015510;0,272266;0,256756;
0,015198;0,294737;0,279539;
0,015869;0,295259;0,279390;
0,005674;0,554111;0,548437;
0,033482;0,660360;0,626878;
0,022180;0,425987;0,403808;
0,002862;0,435765;0,432904;
0,033894;0,661159;0,627266;
0,034111;0,661042;0,626931;
0,014802;0,661391;0,646589;
0,003067;0,661391;0,658324;
0,033730;0,659865;0,626135;
0,033660;0,662763;0,629104;
0,000000;0,661116;0,661116;
0,017535;0,396853;0,379318;
0,030734;0,642831;0,612098;
0,010627;0,634296;0,623669;
0,050550;0,662494;0,611944;
0,033585;0,663227;0,629642;
0,015760;0,396101;0,380341;
0,013006;0,265300;0,252294;
0,018183;0,396206;0,378023;
0,033578;0,662346;0,628768;
0,013804;0,153493;0,139689;
0,033389;0,662912;0,629522;
0,033879;0,664555;0,630676;
0,015799;0,293485;0,277686;
0,021194;0,508747;0,487552;
0,015243;0,270301;0,255058;
0,000356;0,300896;0,300540;
0,005405;0,650587;0,645182;
0,003310;0,659470;0,656160;
0,000508;0,663645;0,663137;
0,003577;0,325063;0,321485;
0,000242;0,664273;0,664030;
0,000235;0,665038;0,664803;
0,019258;0,419897;0,400639;
0,003394;0,527390;0,523996;
0,033532;0,665226;0,631693;
0,033798;0,664788;0,630990;
0,033798;0,664788;0,630990;
0,000648;0,664873;0,664224;
0,034210;0,665973;0,631762;
0,034220;0,665927;0,631708;
0,004525;0,662695;0,658170;
0,034049;0,666550;0,632501;
0,093123;0,664266;0,571142;
