Reconstruction Coord z;Map Coord z;Error z;
0,006365;0,639286;0,632921;
0,007580;0,639406;0,631826;
0,007583;0,639290;0,631707;
0,006424;0,639290;0,632867;
0,006291;0,638607;0,632316;
0,038446;0,811584;0,773137;
0,006289;0,638030;0,631742;
0,006304;0,638607;0,632303;
0,006341;0,637589;0,631248;
0,006360;0,637671;0,631311;
0,006399;0,637926;0,631527;
0,004579;0,637926;0,633347;
0,024452;0,636817;0,612365;
0,007694;0,637749;0,630055;
0,007098;0,637749;0,630650;
0,006311;0,636129;0,629818;
0,006486;0,636154;0,629668;
0,050282;0,811032;0,760750;
0,006565;0,636109;0,629543;
0,006483;0,635260;0,628777;
0,024261;0,633002;0,608740;
0,004594;0,266932;0,262338;
0,005740;0,807341;0,801600;
0,012570;0,271587;0,259017;
0,009886;0,271587;0,261700;
0,006017;0,634159;0,628142;
0,008306;0,271131;0,262825;
0,006072;0,271131;0,265059;
0,006059;0,271131;0,265072;
0,005385;0,271131;0,265746;
0,084461;0,994506;0,910045;
0,009952;0,568495;0,558543;
0,012596;0,270507;0,257911;
0,012596;0,270507;0,257911;
0,012014;0,238442;0,226428;
0,085424;0,992235;0,906811;
0,005476;0,498245;0,492770;
0,012628;0,286315;0,273687;
0,011945;0,234900;0,222955;
0,005898;0,000000;0,005898;
0,004977;0,634268;0,629290;
0,013597;0,268428;0,254831;
0,006394;0,270358;0,263964;
0,038871;0,808058;0,769187;
0,012491;0,266050;0,253559;
0,014849;0,266284;0,251434;
0,005009;0,266284;0,261275;
0,022710;0,630119;0,607409;
0,011880;0,231248;0,219368;
0,004744;0,263005;0,258261;
0,012493;0,265491;0,252998;
0,022013;0,807153;0,785140;
0,155966;0,628267;0,472300;
0,006175;0,628267;0,622092;
0,012525;0,273639;0,261114;
0,024090;0,627140;0,603050;
0,012401;0,259531;0,247130;
0,012617;0,265224;0,252606;
0,006508;0,259870;0,253362;
0,006724;0,627402;0,620678;
0,006696;0,627402;0,620706;
0,012383;0,263960;0,251577;
0,006028;0,626327;0,620299;
0,005020;0,626099;0,621079;
0,012567;0,263796;0,251229;
0,023859;0,624971;0,601112;
0,071856;0,240923;0,169067;
0,150655;0,258750;0,108095;
0,007689;0,625182;0,617493;
0,006790;0,625182;0,618392;
0,012526;0,270067;0,257541;
0,089793;0,988941;0,899147;
0,012592;0,000000;0,012592;
0,038546;0,806034;0,767488;
0,027046;0,623446;0,596400;
0,012121;0,235305;0,223185;
0,011941;0,235854;0,223914;
0,012081;0,236208;0,224127;
0,004951;0,621907;0,616957;
0,004835;0,805159;0,800324;
0,009085;0,621159;0,612073;
0,012400;0,263569;0,251169;
0,012597;0,268192;0,255595;
0,004911;0,621347;0,616436;
0,012543;0,267760;0,255217;
0,005210;0,000000;0,005210;
0,066099;0,804391;0,738293;
0,012036;0,795877;0,783841;
0,004716;0,795485;0,790769;
0,016177;0,618567;0,602391;
0,007339;0,618817;0,611479;
0,005153;0,617904;0,612751;
0,007192;0,618385;0,611193;
0,007168;0,618385;0,611217;
0,007956;0,811092;0,803136;
0,007100;0,616782;0,609681;
0,005510;0,615776;0,610266;
0,007337;0,617135;0,609799;
0,023374;0,615636;0,592262;
0,007774;0,616570;0,608796;
0,005597;0,560972;0,555374;
0,005167;0,702852;0,697685;
0,007263;0,616530;0,609268;
0,005114;0,552656;0,547542;
0,007271;0,615733;0,608462;
0,007462;0,615499;0,608037;
0,023312;0,613317;0,590005;
0,007306;0,615263;0,607957;
0,005913;0,615263;0,609350;
0,007484;0,615118;0,607635;
0,007741;0,614220;0,606478;
0,005689;0,614393;0,608704;
0,009032;0,613147;0,604115;
0,005110;0,613386;0,608276;
0,006842;0,612865;0,606023;
0,038666;0,802663;0,763997;
0,007489;0,612910;0,605422;
0,028876;0,612978;0,584102;
0,040148;0,711750;0,671602;
0,004978;0,612091;0,607113;
0,006503;0,609617;0,603114;
0,040626;0,818781;0,778155;
0,021635;0,609239;0,587604;
0,023062;0,610092;0,587030;
0,039702;0,982777;0,943075;
0,039653;0,810416;0,770763;
0,005692;0,800696;0,795004;
0,005683;0,687466;0,681782;
0,004771;0,799313;0,794542;
0,005328;0,559806;0,554479;
0,037493;0,798692;0,761199;
0,032916;0,808355;0,775440;
0,032065;0,739621;0,707556;
0,009463;0,797798;0,788336;
0,033351;0,806244;0,772893;
0,005090;0,744999;0,739909;
0,037613;0,797192;0,759579;
0,005010;0,744478;0,739469;
0,006728;0,620173;0,613445;
0,006432;0,416389;0,409957;
0,005193;0,415385;0,410192;
0,015991;0,419118;0,403127;
0,027391;0,682821;0,655430;
0,006409;0,589968;0,583559;
0,011563;0,582433;0,570870;
0,006748;0,738038;0,731289;
0,015355;0,394252;0,378898;
0,015355;0,394252;0,378898;
0,010938;0,581187;0,570250;
0,027521;0,719755;0,692233;
0,005345;0,719755;0,714409;
0,029757;0,665256;0,635500;
0,021677;0,578849;0,557172;
0,015002;0,380433;0,365431;
0,014944;0,376703;0,361759;
0,014760;0,371128;0,356368;
0,009712;0,371128;0,361416;
0,037277;0,790425;0,753148;
0,021689;0,582625;0,560936;
0,014521;0,358679;0,344158;
0,037855;0,799719;0,761864;
0,014460;0,363100;0,348640;
0,014460;0,363100;0,348640;
0,014368;0,356681;0,342313;
0,027071;0,794198;0,767127;
0,014364;0,355321;0,340957;
0,014357;0,354226;0,339869;
0,014357;0,354226;0,339869;
0,014325;0,353502;0,339178;
0,021470;0,574234;0,552764;
0,014343;0,354100;0,339757;
0,007887;0,350495;0,342608;
0,005507;0,350495;0,344988;
0,014242;0,348307;0,334065;
0,014242;0,348307;0,334065;
0,021599;0,668343;0,646744;
0,006747;0,668343;0,661597;
0,012563;0,346845;0,334282;
0,051587;0,793691;0,742104;
0,014192;0,345996;0,331805;
0,021219;0,573274;0,552054;
0,037193;0,793008;0,755815;
0,014235;0,349043;0,334808;
0,005548;0,572539;0,566991;
0,005353;0,663067;0,657715;
0,021175;0,572273;0,551098;
0,021211;0,573178;0,551967;
0,021343;0,701680;0,680337;
0,014216;0,348462;0,334247;
0,014293;0,348308;0,334015;
0,021122;0,567599;0,546477;
0,037239;0,792255;0,755016;
0,037701;0,797126;0,759426;
0,021120;0,565992;0,544872;
0,012583;0,471432;0,458848;
0,021028;0,565118;0,544090;
0,021059;0,565440;0,544381;
0,021314;0,659933;0,638619;
0,021462;0,666479;0,645017;
