Reconstruction Coord z;Map Coord z;Error z;
0,004911;0,838951;0,834041;
0,002681;0,758518;0,755836;
0,004606;0,843403;0,838798;
0,040410;0,833325;0,792915;
0,004646;0,848982;0,844336;
0,000730;0,848982;0,848252;
0,004471;0,832993;0,828523;
0,000589;0,651726;0,651138;
0,002881;0,650121;0,647240;
0,001058;0,837459;0,836401;
0,004549;0,839363;0,834814;
0,001021;0,839363;0,838342;
0,002855;0,654450;0,651595;
0,002855;0,654450;0,651595;
0,004469;0,834304;0,829835;
0,000816;0,834304;0,833488;
0,004582;0,841675;0,837093;
0,004655;0,844174;0,839518;
0,002720;0,635420;0,632700;
0,002843;0,652723;0,649880;
0,001081;0,832843;0,831763;
0,009362;0,835904;0,826542;
0,007012;0,835904;0,828892;
0,004475;0,835904;0,831429;
0,003386;0,838521;0,835134;
0,004847;0,000000;0,004847;
0,000685;0,661084;0,660398;
0,000658;0,780019;0,779361;
0,000719;0,768582;0,767863;
0,000632;0,651256;0,650624;
0,000635;0,651968;0,651334;
0,005145;0,884085;0,878940;
0,004517;0,835374;0,830857;
0,003075;0,684119;0,681045;
0,004830;0,832239;0,827408;
0,001131;0,837632;0,836501;
0,000693;0,653133;0,652440;
0,000660;0,651435;0,650775;
0,002532;0,650406;0,647875;
0,002842;0,651960;0,649117;
0,002817;0,650691;0,647874;
0,004458;0,832269;0,827811;
0,004468;0,834125;0,829657;
0,004501;0,836308;0,831808;
0,002087;0,881135;0,879048;
0,004471;0,835465;0,830994;
0,003361;0,802456;0,799095;
0,002984;0,674423;0,671439;
0,004541;0,839352;0,834811;
0,004541;0,839352;0,834811;
0,000641;0,706227;0,705587;
0,242315;0,841261;0,598946;
0,004533;0,841261;0,836727;
0,002813;0,650453;0,647640;
0,002832;0,650909;0,648078;
0,002832;0,650909;0,648078;
0,004490;0,833774;0,829284;
0,004451;0,832360;0,827910;
0,004450;0,832081;0,827631;
0,004450;0,832081;0,827631;
0,004452;0,831969;0,827517;
0,004452;0,831969;0,827517;
0,002823;0,650412;0,647590;
0,004455;0,831610;0,827155;
0,004502;0,834906;0,830404;
0,000687;0,685481;0,684794;
0,000823;0,847210;0,846387;
0,005163;0,000000;0,005163;
0,004457;0,832289;0,827832;
0,004490;0,834297;0,829807;
0,004469;0,832027;0,827558;
0,002827;0,651136;0,648309;
0,003176;0,705807;0,702631;
0,003002;0,676544;0,673542;
0,004549;0,839952;0,835403;
0,004549;0,839952;0,835403;
0,004476;0,831949;0,827472;
0,004817;0,864781;0,859964;
0,003123;0,690905;0,687782;
0,004461;0,833404;0,828943;
0,004462;0,831986;0,827525;
0,005588;0,649890;0,644302;
0,002825;0,649890;0,647065;
0,005076;0,841083;0,836007;
0,002829;0,650927;0,648098;
0,000762;0,702536;0,701774;
0,004429;0,831501;0,827072;
0,004429;0,831501;0,827072;
0,001277;0,832890;0,831613;
0,001277;0,832890;0,831613;
0,003123;0,691886;0,688763;
0,004508;0,835732;0,831224;
0,004508;0,835732;0,831224;
0,002846;0,649739;0,646893;
0,004450;0,832639;0,828189;
0,004450;0,832639;0,828189;
0,003203;0,703449;0,700246;
0,003203;0,703449;0,700246;
0,004530;0,839070;0,834541;
0,005009;0,000000;0,005009;
0,000677;0,650060;0,649383;
0,003184;0,000000;0,003184;
0,001639;0,000000;0,001639;
0,003511;0,733355;0,729844;
0,002359;0,563840;0,561481;
0,002359;0,563840;0,561481;
0,002382;0,567887;0,565504;
0,003883;0,780696;0,776813;
0,003367;0,714872;0,711505;
0,000939;0,585767;0,584828;
0,004474;0,834460;0,829986;
0,005146;0,000000;0,005146;
0,002783;0,649188;0,646405;
0,003614;0,755892;0,752278;
0,002418;0,577079;0,574661;
0,002361;0,564447;0,562085;
0,002361;0,564447;0,562085;
0,002439;0,589873;0,587434;
0,002468;0,588899;0,586431;
0,002944;0,000000;0,002944;
0,001863;0,000000;0,001863;
0,002459;0,584775;0,582316;
0,002402;0,573611;0,571209;
0,000676;0,668895;0,668219;
0,000615;0,668895;0,668280;
0,000869;0,000000;0,000869;
0,000748;0,000000;0,000748;
0,003015;0,679165;0,676150;
0,001193;0,679165;0,677972;
0,002378;0,568281;0,565903;
0,002436;0,580155;0,577719;
0,004438;0,780901;0,776464;
0,002948;0,661213;0,658264;
0,002712;0,632082;0,629370;
0,002483;0,589159;0,586676;
0,002791;0,648703;0,645912;
0,002530;0,625629;0,623100;
0,003129;0,696874;0,693745;
0,002457;0,584247;0,581789;
0,002809;0,648124;0,645315;
0,002692;0,627460;0,624768;
0,000920;0,627460;0,626540;
