Reconstruction Coord z;Map Coord z;Error z;
0,006978;0,124996;0,118019;
0,006190;0,344348;0,338158;
0,007567;0,000000;0,007567;
0,017876;0,351910;0,334033;
0,012119;0,355437;0,343317;
0,006752;0,126268;0,119516;
0,008661;0,000000;0,008661;
0,009152;0,357580;0,348428;
0,004284;0,358114;0,353831;
0,003502;0,990608;0,987107;
0,006410;0,130743;0,124333;
0,005974;0,130743;0,124769;
0,005974;0,130743;0,124769;
0,011863;0,362472;0,350609;
0,002901;0,359494;0,356593;
0,009059;0,359055;0,349997;
0,005508;0,359055;0,353547;
0,008159;0,278802;0,270643;
0,013995;0,466877;0,452882;
0,031989;0,468292;0,436303;
0,008541;0,364216;0,355674;
0,003252;0,365247;0,361995;
0,010656;0,467167;0,456511;
0,003319;0,133373;0,130054;
0,003515;0,282983;0,279467;
0,003515;0,282983;0,279467;
0,010680;0,466645;0,455965;
0,009489;0,334584;0,325095;
0,006643;0,334584;0,327941;
0,003257;0,466670;0,463413;
0,019032;0,468100;0,449068;
0,003403;0,462617;0,459213;
0,013366;0,972355;0,958990;
0,013556;0,972682;0,959126;
0,010179;0,463357;0,453178;
0,011987;0,468562;0,456575;
0,004802;0,138458;0,133656;
0,014368;0,972604;0,958236;
0,022226;0,466299;0,444073;
0,006737;0,140528;0,133790;
0,003309;0,000000;0,003309;
0,014613;0,971496;0,956883;
0,012524;0,559593;0,547069;
0,003045;0,560874;0,557828;
0,003225;0,564800;0,561575;
0,003214;0,371331;0,368117;
0,003047;0,558130;0,555082;
0,015053;0,971480;0,956427;
0,012735;0,565470;0,552735;
0,003272;0,560276;0,557004;
0,006859;0,000000;0,006859;
0,012751;0,565773;0,553022;
0,011226;0,464690;0,453464;
0,003264;0,561936;0,558672;
0,012609;0,562948;0,550340;
0,015565;0,968753;0,953188;
0,002882;0,566327;0,563445;
0,003425;0,562476;0,559051;
0,003376;0,562476;0,559099;
0,012575;0,557812;0,545237;
0,012575;0,557812;0,545237;
0,012653;0,564597;0,551944;
0,012606;0,558830;0,546223;
0,012613;0,563715;0,551101;
0,012622;0,563908;0,551286;
0,011056;0,465423;0,454367;
0,012708;0,566575;0,553867;
0,012465;0,556672;0,544207;
0,012038;0,000000;0,012038;
0,006147;0,563392;0,557244;
0,012496;0,559877;0,547381;
0,012662;0,566127;0,553465;
0,012640;0,565364;0,552724;
0,012640;0,565364;0,552724;
0,003339;0,564509;0,561169;
0,012529;0,559430;0,546901;
0,012603;0,563955;0,551352;
0,003340;0,563955;0,560615;
0,003222;0,561347;0,558125;
0,012474;0,556835;0,544361;
0,012581;0,563036;0,550455;
0,012590;0,563036;0,550447;
0,003081;0,566618;0,563537;
0,011411;0,962192;0,950781;
0,012677;0,566718;0,554041;
0,025286;0,466094;0,440808;
0,011170;0,464118;0,452948;
0,010246;0,440510;0,430263;
0,008132;0,953011;0,944879;
0,012683;0,566462;0,553779;
0,003127;0,559539;0,556412;
0,012593;0,562445;0,549852;
0,012693;0,566189;0,553496;
0,009308;0,376168;0,366860;
0,012524;0,565408;0,552885;
0,006746;0,153070;0,146324;
0,012643;0,565088;0,552445;
0,012643;0,565088;0,552445;
0,012594;0,564307;0,551713;
0,012594;0,564307;0,551713;
0,006922;0,147720;0,140798;
0,010961;0,462970;0,452009;
0,009057;0,442620;0,433562;
0,012517;0,559368;0,546851;
0,012575;0,562758;0,550183;
0,012575;0,562758;0,550183;
0,007360;0,557574;0,550214;
0,006909;0,563579;0,556670;
0,012679;0,566272;0,553594;
0,004679;0,557034;0,552354;
0,003152;0,557034;0,553881;
0,003105;0,557034;0,553928;
0,003105;0,557034;0,553928;
0,064533;0,443899;0,379366;
0,003163;0,953329;0,950166;
0,012853;0,563980;0,551127;
0,012495;0,559413;0,546919;
0,003022;0,556818;0,553795;
0,012479;0,558210;0,545731;
0,012664;0,565985;0,553321;
0,011443;0,463602;0,452159;
0,011378;0,563369;0,551991;
0,012651;0,565536;0,552885;
0,012432;0,556275;0,543843;
0,012451;0,556732;0,544281;
0,012451;0,556732;0,544281;
0,012592;0,563250;0,550658;
0,005005;0,440395;0,435390;
0,012575;0,562631;0,550055;
0,012597;0,563800;0,551202;
0,003896;0,563800;0,559904;
0,003469;0,559541;0,556073;
0,003122;0,559541;0,556419;
0,003122;0,559541;0,556419;
0,012658;0,565884;0,553227;
0,010454;0,465185;0,454731;
0,003392;0,565227;0,561834;
0,003216;0,565227;0,562010;
0,062009;0,466265;0,404256;
0,012635;0,565638;0,553003;
0,012642;0,565418;0,552776;
0,007717;0,565459;0,557742;
0,010287;0,444463;0,434175;
0,016419;0,305507;0,289088;
0,018088;0,466345;0,448257;
0,018816;0,556229;0,537412;
0,012639;0,564531;0,551892;
0,012639;0,564531;0,551892;
0,012575;0,563172;0,550597;
0,012612;0,563669;0,551056;
0,012567;0,562856;0,550289;
0,012567;0,562856;0,550289;
0,012588;0,562304;0,549715;
0,008047;0,562304;0,554256;
0,012435;0,556978;0,544544;
0,012527;0,559269;0,546742;
0,003510;0,447106;0,443595;
0,009422;0,381820;0,372398;
0,018951;0,566023;0,547072;
0,010965;0,448090;0,437125;
0,012625;0,564459;0,551834;
0,007364;0,563430;0,556066;
0,012647;0,565580;0,552934;
0,003113;0,565580;0,562467;
0,012638;0,565269;0,552630;
0,004448;0,559027;0,554579;
0,012639;0,564761;0,552122;
0,008130;0,562258;0,554129;
0,012538;0,561762;0,549223;
0,007973;0,562595;0,554622;
0,012614;0,564187;0,551573;
0,012609;0,563027;0,550418;
0,004336;0,466404;0,462067;
0,012841;0,559232;0,546391;
0,012698;0,565366;0,552668;
0,009389;0,384503;0,375114;
0,003405;0,562257;0,558851;
0,012592;0,564428;0,551836;
0,012688;0,564669;0,551982;
0,019725;0,447803;0,428078;
0,012649;0,565348;0,552698;
0,012649;0,565348;0,552698;
0,012587;0,562528;0,549942;
0,012662;0,565238;0,552576;
0,008066;0,562866;0,554800;
0,008066;0,562866;0,554800;
0,016223;0,451545;0,435321;
0,004976;0,446543;0,441567;
0,010279;0,444003;0,433724;
0,012402;0,555716;0,543313;
0,076750;0,956922;0,880172;
0,012654;0,565142;0,552488;
0,007021;0,168931;0,161910;
0,010829;0,450720;0,439891;
0,012633;0,563682;0,551049;
0,012633;0,563682;0,551049;
0,012616;0,563151;0,550535;
0,012616;0,563151;0,550535;
0,007753;0,240285;0,232532;
0,009477;0,388732;0,379256;
0,010420;0,450601;0,440181;
0,003074;0,446712;0,443638;
0,007037;0,162270;0,155234;
0,013185;0,694908;0,681723;
0,185109;0,705157;0,520048;
0,010422;0,449728;0,439306;
0,005373;0,562262;0,556889;
0,003237;0,454119;0,450882;
0,030886;0,564050;0,533164;
0,003666;0,558641;0,554975;
0,010434;0,452659;0,442224;
0,012777;0,470841;0,458064;
0,003246;0,465364;0,462118;
0,012416;0,555397;0,542981;
0,007295;0,448010;0,440715;
0,007060;0,166517;0,159458;
0,010434;0,453993;0,443559;
0,007074;0,166021;0,158947;
0,012719;0,564731;0,552013;
0,047500;0,471326;0,423826;
0,004180;0,230442;0,226261;
0,002987;0,230442;0,227455;
0,007051;0,563799;0,556748;
0,003040;0,498910;0,495870;
0,036851;0,450480;0,413629;
0,003095;0,451980;0,448885;
0,007022;0,152302;0,145280;
0,004308;0,152302;0,147994;
0,007776;0,238568;0,230792;
0,036608;0,465101;0,428494;
0,010593;0,454198;0,443605;
0,003678;0,143812;0,140133;
0,070849;0,559163;0,488314;
0,004161;0,164764;0,160603;
0,010721;0,395497;0,384776;
0,004560;0,451145;0,446585;
0,003859;0,150917;0,147058;
0,007036;0,167371;0,160336;
0,003896;0,167371;0,163475;
0,007147;0,223813;0,216666;
