Reconstruction Coord z;Map Coord z;Error z;
0,001522;0,021436;0,019914;
0,002972;0,000000;0,002972;
0,001408;0,055756;0,054348;
0,001583;0,058007;0,056424;
0,002853;0,030792;0,027939;
0,001545;0,030792;0,029247;
0,002831;0,038358;0,035527;
0,002806;0,020375;0,017569;
0,001407;0,039567;0,038160;
0,002852;0,029969;0,027117;
0,002866;0,037916;0,035050;
0,002832;0,024903;0,022071;
0,003008;0,060814;0,057806;
0,001486;0,060814;0,059328;
0,001801;0,044143;0,042342;
0,002785;0,017508;0,014723;
0,001457;0,038615;0,037158;
0,001402;0,038615;0,037214;
0,001502;0,019971;0,018468;
0,001702;0,060644;0,058943;
0,001473;0,063279;0,061806;
0,003124;0,818636;0,815512;
0,002846;0,029134;0,026288;
0,002846;0,029134;0,026288;
0,002958;0,035538;0,032581;
0,002794;0,019210;0,016416;
0,002787;0,016972;0,014185;
0,002857;0,031171;0,028314;
0,003006;0,040654;0,037648;
0,002928;0,025133;0,022206;
0,002306;0,025133;0,022827;
0,001507;0,000000;0,001507;
0,002899;0,039404;0,036504;
0,001391;0,064494;0,063103;
0,003142;0,029845;0,026702;
0,002968;0,029845;0,026877;
0,001951;0,018794;0,016843;
0,001470;0,039922;0,038452;
0,001899;0,018953;0,017054;
0,002049;0,000000;0,002049;
0,001913;0,000000;0,001913;
0,001794;0,823394;0,821600;
0,002790;0,017393;0,014603;
0,002840;0,027858;0,025017;
0,002373;0,017900;0,015527;
0,002373;0,017900;0,015527;
0,002114;0,017900;0,015786;
0,002756;0,065450;0,062695;
0,002537;0,065881;0,063344;
0,001410;0,065881;0,064471;
0,002799;0,026094;0,023295;
0,002866;0,033568;0,030702;
0,002866;0,033568;0,030702;
0,002794;0,018724;0,015930;
0,003029;0,065735;0,062706;
0,003037;0,068580;0,065543;
0,004820;0,017637;0,012817;
0,001823;0,017637;0,015814;
0,002215;0,040001;0,037786;
0,001899;0,036077;0,034177;
0,003037;0,069429;0,066392;
0,002494;0,036567;0,034074;
0,001395;0,036567;0,035172;
0,002944;0,067496;0,064552;
0,002145;0,067075;0,064930;
0,003036;0,068179;0,065144;
0,001391;0,068179;0,066788;
0,002791;0,017530;0,014739;
0,002881;0,036122;0,033242;
0,001393;0,819563;0,818170;
0,002851;0,031059;0,028208;
0,002793;0,016681;0,013888;
0,002834;0,026475;0,023641;
0,003485;0,027575;0,024090;
0,001409;0,027575;0,026165;
0,001452;0,000000;0,001452;
0,001818;0,070134;0,068316;
0,003034;0,000000;0,003034;
0,001438;0,000000;0,001438;
0,001391;0,000000;0,001391;
0,001411;0,068157;0,066746;
0,003038;0,068955;0,065916;
0,002838;0,016368;0,013529;
0,002880;0,036687;0,033807;
0,001676;0,000000;0,001676;
0,002852;0,030070;0,027217;
0,003047;0,070519;0,067472;
0,002864;0,017063;0,014199;
0,001871;0,069835;0,067964;
0,001522;0,025792;0,024270;
0,001903;0,822567;0,820664;
0,003044;0,069261;0,066217;
0,002840;0,028338;0,025498;
0,001931;0,028338;0,026407;
0,002555;0,819171;0,816616;
0,002892;0,038019;0,035127;
0,003056;0,167291;0,164235;
0,002782;0,015125;0,012344;
0,003054;0,071510;0,068456;
0,003054;0,071510;0,068456;
0,002133;0,000000;0,002133;
0,002804;0,016309;0,013505;
0,003055;0,071321;0,068266;
0,001618;0,033320;0,031702;
0,003509;0,000000;0,003509;
0,003055;0,000000;0,003055;
0,003054;0,072421;0,069367;
0,003062;0,072278;0,069216;
0,001427;0,027602;0,026175;
0,002168;0,035783;0,033615;
0,001484;0,035783;0,034299;
0,003059;0,073203;0,070143;
0,003058;0,103433;0,100375;
0,002260;0,019183;0,016923;
0,002787;0,016180;0,013393;
0,002850;0,029240;0,026391;
0,001563;0,039205;0,037642;
0,007733;0,017689;0,009956;
0,007733;0,017689;0,009956;
