Reconstruction Coord z;Map Coord z;Error z;
0,008351;0,582425;0,574075;
0,052482;0,492318;0,439836;
0,007498;0,562574;0,555076;
0,062142;0,000000;0,062142;
0,057608;0,557421;0,499813;
0,009024;0,503034;0,494010;
0,057864;0,557272;0,499408;
0,008049;0,508814;0,500765;
0,008954;0,491798;0,482844;
0,052928;0,508791;0,455863;
0,058403;0,557979;0,499575;
0,058403;0,557979;0,499575;
0,058403;0,557979;0,499575;
0,054311;0,509102;0,454791;
0,058613;0,558860;0,500246;
0,060489;0,579736;0,519247;
0,009154;0,607663;0,598510;
0,007945;0,000000;0,007945;
0,060122;0,578437;0,518315;
0,060122;0,578437;0,518315;
0,008746;0,559172;0,550426;
0,025892;0,558768;0,532877;
0,009290;0,558768;0,549478;
0,022190;0,559926;0,537736;
0,022190;0,559926;0,537736;
0,008747;0,561300;0,552553;
0,058336;0,559735;0,501399;
0,009057;0,557329;0,548272;
0,058955;0,556199;0,497244;
0,051217;0,487215;0,435999;
0,053047;0,506215;0,453168;
0,053047;0,506215;0,453168;
0,009605;0,589759;0,580154;
0,051405;0,484726;0,433321;
0,052348;0,504007;0,451659;
0,009258;0,561286;0,552028;
0,007749;0,561286;0,553537;
0,012920;0,579265;0,566346;
0,011778;0,559831;0,548053;
0,008052;0,559831;0,551779;
0,059249;0,576674;0,517426;
0,059015;0,576343;0,517328;
0,058041;0,559080;0,501039;
0,058041;0,559080;0,501039;
0,058626;0,577675;0,519050;
0,059829;0,577828;0,517998;
0,059897;0,000000;0,059897;
0,060012;0,000000;0,060012;
0,061702;0,607222;0,545520;
0,058499;0,000000;0,058499;
0,046084;0,000000;0,046084;
0,052075;0,575878;0,523803;
0,011248;0,560920;0,549672;
0,008939;0,560920;0,551981;
0,062646;0,620790;0,558144;
0,076072;0,561112;0,485039;
0,050686;0,488803;0,438116;
0,058378;0,560385;0,502007;
0,059393;0,000000;0,059393;
0,059764;0,576091;0,516327;
0,060007;0,000000;0,060007;
0,127999;0,522495;0,394496;
0,011334;0,561068;0,549734;
0,007607;0,433510;0,425904;
0,060164;0,572240;0,512077;
0,010116;0,576962;0,566846;
0,008152;0,000000;0,008152;
0,047103;0,436844;0,389741;
0,058847;0,570555;0,511709;
0,008318;0,439926;0,431608;
0,009124;0,432457;0,423333;
0,008011;0,432457;0,424447;
0,058878;0,568938;0,510060;
0,053533;0,574223;0,520690;
0,031454;0,434913;0,403459;
0,035309;0,499954;0,464645;
0,052048;0,492163;0,440115;
0,052048;0,492163;0,440115;
0,060497;0,574052;0,513556;
0,007474;0,582172;0,574697;
0,046995;0,437780;0,390785;
0,008439;0,565339;0,556900;
0,007844;0,453114;0,445271;
0,754238;0,583802;0,170435;
0,007979;0,583802;0,575823;
0,007789;0,450893;0,443104;
0,051558;0,496359;0,444802;
0,009972;0,586229;0,576257;
0,008816;0,586229;0,577413;
0,045433;0,561643;0,516210;
0,054001;0,532900;0,478898;
0,007684;0,532900;0,525216;
0,058704;0,561887;0,503183;
0,032808;0,461658;0,428850;
0,007488;0,456592;0,449104;
0,057881;0,562209;0,504328;
0,060281;0,562287;0,502006;
0,049415;0,464116;0,414702;
0,049281;0,459104;0,409823;
0,008581;0,583215;0,574634;
0,051839;0,496804;0,444965;
0,049591;0,553545;0,503954;
0,058415;0,563896;0,505481;
0,049243;0,465104;0,415861;
0,049202;0,461967;0,412765;
0,058752;0,569419;0,510666;
0,008487;0,454659;0,446172;
0,050212;0,472488;0,422275;
0,048985;0,459856;0,410870;
0,058489;0,565480;0,506991;
0,048491;0,474164;0,425674;
0,049816;0,471330;0,421513;
0,059127;0,567873;0,508746;
0,054479;0,517699;0,463219;
0,058960;0,568178;0,509217;
0,007863;0,479254;0,471391;
0,008855;0,567415;0,558559;
0,050070;0,474272;0,424202;
0,041199;0,474272;0,433073;
0,007769;0,583385;0,575616;
0,012397;0,525665;0,513268;
0,007513;0,525665;0,518152;
0,007750;0,564720;0,556970;
0,057198;0,551327;0,494128;
0,057198;0,551327;0,494128;
0,007757;0,585735;0,577978;
0,010932;0,543535;0,532603;
0,092659;0,593231;0,500571;
0,053480;0,510173;0,456693;
0,042344;0,575462;0,533118;
0,013594;0,575462;0,561868;
0,051256;0,484899;0,433642;
0,008314;0,550915;0,542601;
0,008742;0,487151;0,478409;
0,049782;0,470740;0,420959;
0,049782;0,470740;0,420959;
0,080225;0,594647;0,514422;
0,051373;0,000000;0,051373;
0,039098;0,000000;0,039098;
0,060858;0,599333;0,538475;
0,050206;0,471455;0,421249;
0,023168;0,000000;0,023168;
0,008835;0,601010;0,592175;
0,051566;0,494794;0,443228;
0,050053;0,471383;0,421331;
0,052050;0,494786;0,442736;
0,051530;0,488357;0,436827;
0,052425;0,498315;0,445890;
0,007476;0,520017;0,512541;
0,011298;0,571535;0,560237;
0,052097;0,497712;0,445616;
0,009306;0,505958;0,496653;
0,053115;0,500582;0,447467;
0,008296;0,000000;0,008296;
0,049871;0,500333;0,450462;
0,010505;0,541551;0,531047;
0,053484;0,503371;0,449887;
