Reconstruction Coord z;Map Coord z;Error z;
0,002130;0,000000;0,002130;
0,016672;0,005543;0,011129;
0,010498;0,000000;0,010498;
0,010851;0,355507;0,344656;
0,003856;0,355507;0,351650;
0,002411;0,202946;0,200535;
0,002262;0,202946;0,200684;
0,002752;0,197737;0,194984;
0,004268;0,403790;0,399521;
0,007767;0,095190;0,087423;
0,002141;0,008889;0,006748;
0,008914;0,205190;0,196276;
0,002751;0,205190;0,202439;
0,008411;0,204756;0,196345;
0,008710;0,184304;0,175594;
0,010010;0,434958;0,424949;
0,008986;0,000000;0,008986;
0,008150;0,095195;0,087044;
0,005766;0,188183;0,182417;
0,007760;0,093554;0,085794;
0,005842;0,436025;0,430183;
0,006970;0,008528;0,001558;
0,004172;0,278945;0,274773;
0,010976;0,000000;0,010976;
0,008527;0,168800;0,160274;
0,006975;0,011323;0,004348;
0,006975;0,011323;0,004348;
0,008954;0,200045;0,191091;
0,002617;0,000000;0,002617;
0,002222;0,445181;0,442959;
0,003167;0,090545;0,087378;
0,827388;0,098446;0,728942;
1,000000;0,098446;0,901554;
0,011008;0,098446;0,087438;
0,002658;0,000000;0,002658;
0,008306;0,149910;0,141603;
0,003578;0,150283;0,146705;
0,002154;0,174796;0,172642;
0,006474;0,447711;0,441237;
0,005409;0,165191;0,159782;
0,008748;0,197223;0,188476;
0,007745;0,091364;0,083620;
0,002543;0,091364;0,088821;
0,006400;0,443492;0,437092;
0,006179;0,443492;0,437313;
0,008445;0,175469;0,167024;
0,002830;0,175469;0,172639;
0,008602;0,173306;0,164705;
0,002717;0,458016;0,455300;
0,008505;0,163577;0,155072;
0,008505;0,163577;0,155072;
0,008301;0,149509;0,141207;
0,009637;0,000000;0,009637;
0,008307;0,091963;0,083656;
0,007379;0,000000;0,007379;
0,009753;0,094737;0,084984;
0,008480;0,162466;0,153985;
0,003659;0,162466;0,158807;
0,009179;0,228789;0,219610;
0,011615;0,000000;0,011615;
0,002718;0,163883;0,161165;
0,007973;0,113902;0,105930;
0,004183;0,135165;0,130981;
0,007751;0,460514;0,452763;
0,006791;0,177984;0,171193;
0,002448;0,096441;0,093993;
0,003865;0,000000;0,003865;
0,002285;0,000000;0,002285;
0,008081;0,114442;0,106361;
0,003537;0,129979;0,126442;
0,002499;0,000000;0,002499;
0,006925;0,097321;0,090395;
0,002823;0,000000;0,002823;
0,003396;0,462689;0,459293;
