Reconstruction Coord z;Map Coord z;Error z;
0,010604;0,290042;0,279437;
0,002994;0,300890;0,297896;
0,002005;0,300890;0,298886;
0,008884;0,163217;0,154332;
0,002244;0,163217;0,160973;
0,005786;0,443883;0,438097;
0,003926;0,292836;0,288910;
0,010878;0,000000;0,010878;
0,010703;0,298390;0,287688;
0,002752;0,240146;0,237394;
0,005981;0,244031;0,238050;
0,010510;0,290840;0,280331;
0,010663;0,294489;0,283826;
0,010680;0,292879;0,282199;
0,003397;0,291515;0,288118;
0,003337;0,175340;0,172003;
0,010719;0,295852;0,285133;
0,010635;0,292807;0,282172;
0,007335;0,292807;0,285472;
0,010694;0,296164;0,285470;
0,010764;0,302177;0,291413;
0,002416;0,302177;0,299760;
0,009915;0,244041;0,234126;
0,010758;0,300424;0,289667;
0,010738;0,302900;0,292162;
0,010888;0,299914;0,289027;
0,009906;0,244165;0,234259;
0,009906;0,244165;0,234259;
0,006984;0,303995;0,297011;
0,010807;0,301301;0,290494;
0,002492;0,426238;0,423746;
0,002373;0,426238;0,423865;
0,010665;0,283309;0,272644;
0,003253;0,292877;0,289624;
0,010568;0,285214;0,274646;
0,010568;0,285214;0,274646;
0,010875;0,000000;0,010875;
0,010798;0,302562;0,291764;
0,010798;0,302562;0,291764;
0,010813;0,304010;0,293197;
0,010813;0,304010;0,293197;
0,004641;0,590263;0,585622;
0,002138;0,599591;0,597453;
0,002929;0,457238;0,454309;
0,010719;0,298227;0,287508;
0,009970;0,246712;0,236742;
0,010665;0,296414;0,285749;
0,004480;0,296414;0,291934;
0,011052;0,306094;0,295042;
0,003017;0,304864;0,301847;
0,010515;0,290193;0,279679;
0,012107;0,457430;0,445322;
0,010835;0,311272;0,300438;
0,003545;0,303387;0,299842;
0,002913;0,303387;0,300474;
0,003503;0,293885;0,290382;
0,002984;0,293885;0,290901;
0,003009;0,594032;0,591024;
0,004780;0,295975;0,291195;
0,010788;0,303079;0,292291;
0,010836;0,309065;0,298228;
0,006259;0,306057;0,299798;
0,010894;0,311679;0,300785;
0,010769;0,295754;0,284985;
0,002436;0,428667;0,426230;
0,012778;0,419958;0,407180;
0,011000;0,312123;0,301123;
0,015119;0,597237;0,582118;
0,003465;0,594737;0,591272;
0,009939;0,247495;0,237556;
0,010579;0,293205;0,282626;
0,004312;0,201906;0,197595;
0,009484;0,299659;0,290175;
0,009934;0,248431;0,238497;
0,004676;0,248431;0,243755;
0,010701;0,297867;0,287166;
0,003656;0,248952;0,245296;
0,006042;0,451052;0,445010;
0,010938;0,314067;0,303129;
0,005513;0,301998;0,296486;
0,005758;0,293054;0,287296;
0,010912;0,302752;0,291841;
0,002383;0,421860;0,419477;
0,006466;0,420169;0,413703;
0,004706;0,315106;0,310400;
0,009958;0,251450;0,241492;
0,010856;0,307726;0,296870;
0,010856;0,307726;0,296870;
0,010703;0,301934;0,291231;
0,010703;0,301934;0,291231;
0,010987;0,316138;0,305152;
0,010816;0,303549;0,292734;
0,002060;0,303549;0,301489;
0,013495;0,454870;0,441375;
0,006543;0,300720;0,294177;
0,009291;0,139037;0,129747;
0,002341;0,139037;0,136696;
0,011047;0,317132;0,306085;
0,019695;0,444057;0,424362;
0,010741;0,301911;0,291169;
0,010989;0,317407;0,306417;
0,002253;0,314208;0,311955;
0,003192;0,297526;0,294334;
0,010743;0,306180;0,295437;
0,004667;0,317595;0,312927;
0,004667;0,317595;0,312927;
0,010924;0,310671;0,299747;
0,011025;0,317882;0,306857;
0,008652;0,304378;0,295725;
0,005730;0,304378;0,298647;
0,002372;0,455320;0,452948;
0,003025;0,318832;0,315806;
0,011158;0,308840;0,297682;
0,011027;0,317921;0,306894;
0,010845;0,307033;0,296188;
0,010974;0,609321;0,598347;
0,018991;0,610502;0,591512;
0,004311;0,610137;0,605826;
0,018806;0,609401;0,590595;
0,010518;0,309515;0,298998;
0,009224;0,193995;0,184771;
0,009579;0,306771;0,297192;
0,009086;0,306771;0,297685;
