Reconstruction Coord z;Map Coord z;Error z;
0,309193;0,605912;0,296719;
0,252963;0,480994;0,228031;
0,264170;0,507723;0,243553;
0,269144;0,523673;0,254529;
0,245235;0,439694;0,194459;
0,046824;0,613793;0,566969;
0,204015;0,564971;0,360956;
0,295771;0,569999;0,274227;
0,257454;0,569999;0,312545;
0,282127;0,551032;0,268905;
0,297322;0,570403;0,273081;
0,294690;0,575680;0,280990;
0,257414;0,500728;0,243314;
0,243409;0,441238;0,197829;
0,117232;0,610294;0,493062;
0,226885;0,470709;0,243824;
0,256696;0,477128;0,220432;
0,292134;0,469849;0,177714;
0,047742;0,522228;0,474486;
0,249457;0,554618;0,305161;
0,255223;0,553860;0,298637;
0,187426;0,591251;0,403825;
0,304026;0,588868;0,284842;
0,257876;0,482847;0,224971;
0,266495;0,503111;0,236616;
0,258172;0,481134;0,222962;
0,285508;0,000000;0,285508;
0,258990;0,480419;0,221429;
0,267474;0,502533;0,235060;
0,048972;0,540237;0,491265;
0,047663;0,475153;0,427491;
0,262144;0,540318;0,278174;
0,264433;0,538815;0,274382;
0,046748;0,482198;0,435450;
0,046760;0,481999;0,435239;
0,047559;0,507715;0,460156;
0,048314;0,442994;0,394680;
0,226955;0,417392;0,190437;
0,255694;0,467059;0,211365;
0,232428;0,403085;0,170657;
0,062301;0,403085;0,340785;
0,048039;0,380155;0,332116;
0,047883;0,457950;0,410066;
0,219547;0,377689;0,158142;
0,231928;0,404676;0,172748;
0,048925;0,404676;0,355751;
0,047955;0,426402;0,378447;
0,095387;0,403686;0,308299;
0,049189;0,815097;0,765907;
0,053237;0,403472;0,350235;
0,064829;0,401284;0,336456;
0,049086;0,349875;0,300789;
0,049152;0,414405;0,365253;
0,049514;0,852729;0,803216;
0,295659;0,829412;0,533753;
0,104099;0,701270;0,597171;
0,426109;0,705445;0,279337;
0,101707;0,676070;0,574363;
0,201575;0,000000;0,201575;
0,206388;0,000000;0,206388;
0,335425;0,673958;0,338533;
0,336567;0,657116;0,320549;
0,354868;0,701617;0,346749;
0,255305;0,436388;0,181083;
0,049365;0,501706;0,452341;
0,285481;0,880634;0,595153;
0,142617;0,482039;0,339421;
0,073558;0,482039;0,408480;
0,284792;0,901720;0,616928;
0,052232;0,883775;0,831543;
0,057229;0,869756;0,812526;
0,271958;0,000000;0,271958;
0,054786;0,708782;0,653996;
0,058477;0,000000;0,058477;
0,056487;0,532815;0,476328;
0,147753;0,868541;0,720788;
0,267871;0,504988;0,237117;
0,049794;0,851168;0,801374;
0,051716;0,726993;0,675277;
0,337181;0,672044;0,334864;
0,350362;0,290502;0,059859;
0,231520;0,427943;0,196423;
0,225065;0,000000;0,225065;
0,691227;0,000000;0,691227;
0,051517;0,000000;0,051517;
0,400897;0,378222;0,022675;
0,231107;0,431733;0,200627;
0,281186;0,432897;0,151711;
0,252148;0,464477;0,212329;
0,240322;0,856366;0,616044;
0,066266;0,258778;0,192511;
0,212078;0,381823;0,169745;
0,212078;0,381823;0,169745;
0,240823;0,428854;0,188031;
0,061398;0,889445;0,828047;
0,069129;0,617784;0,548655;
0,053285;0,783240;0,729955;
0,164796;0,874829;0,710033;
0,233164;0,384602;0,151438;
0,233164;0,384602;0,151438;
0,052031;0,728747;0,676716;
0,053310;0,806892;0,753582;
0,293512;0,000000;0,293512;
0,168913;0,874502;0,705588;
0,242065;0,529386;0,287321;
0,065958;0,000000;0,065958;
0,143469;0,386297;0,242829;
0,069334;0,386297;0,316963;
0,010634;0,000000;0,010634;
0,057973;0,391831;0,333858;
0,053852;0,391831;0,337979;
0,052163;0,391831;0,339669;
0,228782;0,391202;0,162419;
0,230411;0,000000;0,230411;
0,070810;0,489065;0,418254;
0,127813;0,172448;0,044636;
0,072445;0,481024;0,408579;
0,333822;0,000000;0,333822;
0,253405;0,471126;0,217721;
0,251973;0,467270;0,215297;
0,270700;0,000000;0,270700;
0,052410;0,000000;0,052410;
0,001423;0,670011;0,668588;
0,198926;0,314371;0,115445;
0,251605;0,465679;0,214074;
0,202929;0,319417;0,116488;
0,000855;0,319417;0,318562;
0,067647;0,497443;0,429796;
0,252347;0,457101;0,204755;
0,252347;0,457101;0,204755;
0,258031;0,417756;0,159725;
0,272326;0,452190;0,179864;
0,257730;0,483051;0,225321;
0,175976;0,433049;0,257073;
