Reconstruction Coord z;Map Coord z;Error z;
0,003128;0,000000;0,003128;
0,002446;0,919514;0,917067;
0,006004;0,738082;0,732078;
0,005222;0,738082;0,732860;
0,003173;0,748381;0,745208;
0,002451;0,714040;0,711589;
0,005055;0,991951;0,986896;
0,003074;0,991982;0,988908;
0,020207;0,000000;0,020207;
0,003285;0,000000;0,003285;
0,002637;0,000000;0,002637;
0,003015;0,991885;0,988871;
0,003068;0,991950;0,988882;
0,002976;0,991550;0,988574;
0,002955;0,990933;0,987979;
0,003395;0,990899;0,987504;
0,003978;0,990350;0,986373;
0,003264;0,937458;0,934194;
0,005961;0,988602;0,982641;
0,012051;0,938148;0,926097;
0,004388;0,000000;0,004388;
0,002523;0,939050;0,936527;
0,034561;0,936249;0,901687;
0,032581;0,936444;0,903863;
0,002629;0,936444;0,933815;
0,011633;0,779752;0,768119;
0,033836;0,937417;0,903581;
0,003016;0,000000;0,003016;
0,020774;0,983464;0,962690;
0,006173;0,759821;0,753648;
0,050914;0,983524;0,932610;
0,047160;0,983344;0,936184;
0,025999;0,981101;0,955102;
0,002546;0,937838;0,935293;
0,018544;0,000000;0,018544;
0,008208;0,000000;0,008208;
0,003074;0,784486;0,781412;
0,002994;0,784486;0,781492;
0,002543;0,000000;0,002543;
0,002542;0,000000;0,002542;
0,002572;0,935415;0,932843;
0,005321;0,987176;0,981855;
0,002614;0,783695;0,781082;
0,015101;0,000000;0,015101;
0,033214;0,937006;0,903792;
0,033214;0,937006;0,903792;
0,003075;0,989870;0,986795;
0,016072;0,680993;0,664921;
0,002990;0,938150;0,935161;
0,003454;0,749095;0,745641;
0,014397;0,750016;0,735619;
0,033502;0,939738;0,906236;
0,033502;0,939738;0,906236;
0,002519;0,743095;0,740576;
0,122019;0,741432;0,619413;
0,039612;0,000000;0,039612;
0,013900;0,737252;0,723352;
0,002762;0,737252;0,734490;
0,087552;0,000000;0,087552;
0,003230;0,716432;0,713202;
0,004729;0,975386;0,970656;
0,002794;0,739345;0,736551;
0,002762;0,748762;0,746000;
0,014299;0,746951;0,732651;
0,013822;0,736681;0,722859;
0,003029;0,736681;0,733651;
0,043345;0,973373;0,930028;
0,002643;0,750248;0,747605;
0,014084;0,742302;0,728218;
0,014084;0,742302;0,728218;
0,014220;0,746024;0,731804;
0,003291;0,738141;0,734850;
0,007946;0,987826;0,979880;
0,005680;0,940703;0,935024;
0,005123;0,825864;0,820741;
0,008302;0,825864;0,817562;
0,014313;0,747564;0,733251;
0,002535;0,732874;0,730339;
0,014908;0,000000;0,014908;
0,006900;0,941503;0,934603;
0,014101;0,742916;0,728815;
0,011256;0,000000;0,011256;
0,002829;0,987218;0,984389;
0,002633;0,971474;0,968841;
0,014297;0,747764;0,733468;
0,014297;0,747764;0,733468;
0,003614;0,742606;0,738992;
0,006794;0,750239;0,743445;
0,002600;0,742384;0,739784;
0,007470;0,741902;0,734432;
0,003686;0,683019;0,679332;
0,002850;0,752326;0,749476;
0,014201;0,745997;0,731796;
0,014228;0,000000;0,014228;
0,294760;0,751760;0,457000;
0,004943;0,828253;0,823310;
0,007711;0,820435;0,812724;
0,007591;0,820435;0,812843;
0,018906;0,820269;0,801363;
0,002667;0,820781;0,818113;
0,002667;0,820781;0,818113;
0,011355;0,000000;0,011355;
0,002739;0,000000;0,002739;
0,012863;0,776039;0,763177;
0,002797;0,776039;0,773242;
0,002590;0,782147;0,779558;
0,002616;0,000000;0,002616;
0,002879;0,000000;0,002879;
0,006424;0,781622;0,775198;
0,005489;0,664886;0,659396;
0,014796;0,000000;0,014796;
0,015178;0,701941;0,686763;
0,019740;0,000000;0,019740;
0,003860;0,000000;0,003860;
0,009276;0,000000;0,009276;
0,002748;0,000000;0,002748;
0,018716;0,824087;0,805371;
0,018728;0,824770;0,806042;
0,008105;0,000000;0,008105;
0,002632;0,000000;0,002632;
0,011596;0,676570;0,664975;
0,018889;0,000000;0,018889;
0,004314;0,000000;0,004314;
0,005742;0,690911;0,685169;
0,008284;0,690736;0,682453;
0,015326;0,934269;0,918943;
0,026279;0,000000;0,026279;
0,012154;0,693259;0,681104;
0,012133;0,692287;0,680154;
0,016050;0,935644;0,919594;
0,030536;0,000000;0,030536;
0,029390;0,000000;0,029390;
