Reconstruction Coord z;Map Coord z;Error z;
0,022255;0,011588;0,010667;
0,097825;0,063290;0,034535;
0,026133;0,010976;0,015157;
0,018497;0,804182;0,785685;
0,018495;0,225691;0,207196;
0,026866;0,066355;0,039489;
0,022697;0,010663;0,012034;
0,026913;0,066759;0,039845;
0,032879;0,066802;0,033923;
0,030543;0,010965;0,019578;
0,022750;0,010965;0,011785;
0,020617;0,227896;0,207279;
0,020617;0,227896;0,207279;
0,047808;0,229732;0,181924;
0,142176;0,657731;0,515556;
0,018827;0,657731;0,638904;
0,021613;0,661159;0,639546;
0,021614;0,661181;0,639567;
0,018839;0,659586;0,640747;
0,018645;0,654281;0,635636;
0,140936;0,652443;0,511507;
0,053582;0,659082;0,605501;
0,035961;0,660250;0,624289;
0,036675;0,660313;0,623638;
0,062519;0,010098;0,052421;
0,137683;0,654330;0,516647;
0,135639;0,655277;0,519638;
0,135231;0,654187;0,518955;
0,033277;0,654187;0,620910;
0,023641;0,658659;0,635018;
0,023534;0,658659;0,635125;
0,125889;0,658992;0,533103;
0,018691;0,660176;0,641484;
0,028781;0,009916;0,018865;
0,023648;0,655054;0,631406;
0,023843;0,009807;0,014036;
0,065316;0,654136;0,588820;
0,019014;0,654136;0,635122;
0,136347;0,655039;0,518691;
0,136347;0,655039;0,518691;
0,137779;0,654922;0,517143;
0,137779;0,654922;0,517143;
0,136063;0,654922;0,518858;
0,091815;0,561107;0,469292;
0,093805;0,561207;0,467401;
0,110587;0,658706;0,548119;
0,110587;0,658706;0,548119;
0,050079;0,249548;0,199468;
0,050079;0,249548;0,199468;
0,103994;0,564099;0,460105;
0,028686;0,008940;0,019745;
0,059729;0,008882;0,050847;
0,111092;0,571612;0,460520;
0,028682;0,008865;0,019817;
0,105398;0,567635;0,462237;
0,029109;0,008636;0,020473;
0,018494;0,008636;0,009857;
0,110143;0,568860;0,458717;
0,110193;0,565572;0,455379;
0,036392;0,565572;0,529181;
0,615751;0,573418;0,042333;
0,109955;0,573418;0,463463;
0,107736;0,000000;0,107736;
0,019670;0,000000;0,019670;
