Reconstruction Coord z;Map Coord z;Error z;
0,004624;0,396946;0,392322;
0,024134;0,398664;0,374530;
0,004662;0,398742;0,394080;
0,016831;0,118143;0,101312;
0,016847;0,109886;0,093038;
0,016847;0,109886;0,093038;
0,024382;0,404464;0,380082;
0,004695;0,000000;0,004695;
0,017063;0,420417;0,403354;
0,007483;0,418313;0,410830;
0,009998;0,419597;0,409599;
0,006946;0,418889;0,411943;
0,015603;0,420109;0,404505;
0,024012;0,423399;0,399387;
0,004730;0,423251;0,418521;
0,024256;0,423894;0,399638;
0,019454;0,113290;0,093836;
0,024832;0,422411;0,397579;
0,004901;0,423490;0,418589;
0,004758;0,423490;0,418732;
0,008583;0,521511;0,512928;
0,004955;0,521511;0,516556;
0,004587;0,155483;0,150896;
0,015485;0,047378;0,031893;
0,015485;0,047378;0,031893;
0,015359;0,045743;0,030384;
0,004776;0,045743;0,040967;
0,006728;0,468244;0,461515;
0,004606;0,187500;0,182893;
0,026534;0,471865;0,445331;
0,026534;0,471865;0,445331;
0,004548;0,477795;0,473247;
0,004611;0,152724;0,148113;
0,026635;0,477754;0,451120;
0,026635;0,477754;0,451120;
0,026984;0,628128;0,601144;
0,014663;0,440038;0,425374;
0,015921;0,442447;0,426526;
0,021870;0,454637;0,432767;
0,022272;0,462103;0,439832;
0,026537;0,464727;0,438190;
0,005574;0,464558;0,458984;
0,026360;0,464300;0,437940;
0,026360;0,464300;0,437940;
0,026587;0,000000;0,026587;
0,004949;0,000000;0,004949;
0,028431;0,673828;0,645397;
0,031743;0,677092;0,645349;
0,032923;0,803802;0,770879;
0,008666;0,809945;0,801279;
0,007069;0,817429;0,810360;
0,015708;0,059797;0,044089;
0,015708;0,059797;0,044089;
0,009826;0,821896;0,812070;
0,005860;0,025045;0,019185;
0,015677;0,828541;0,812864;
0,012860;0,834457;0,821597;
0,021875;0,849941;0,828066;
0,024591;0,861736;0,837144;
0,016822;0,889301;0,872479;
0,024346;0,904645;0,880300;
0,005623;0,204400;0,198777;
0,042251;0,803614;0,761363;
0,042251;0,803614;0,761363;
0,021732;0,327673;0,305941;
0,000008;0,000000;0,000008;
0,006299;0,130156;0,123857;
0,053464;0,958848;0,905384;
0,054647;0,959500;0,904854;
0,000000;0,000000;0,000000;
0,006761;0,293554;0,286792;
0,001981;0,349539;0,347558;
0,018607;0,266201;0,247594;
0,032690;0,852787;0,820098;
0,032186;0,000000;0,032186;
0,032926;0,606611;0,573685;
0,032926;0,606611;0,573685;
0,010092;0,322986;0,312894;
0,022019;0,373574;0,351555;
0,023180;0,372175;0,348995;
0,043565;0,603439;0,559874;
0,043565;0,603439;0,559874;
0,000685;0,856295;0,855610;
0,033091;0,854270;0,821179;
0,023256;0,376704;0,353448;
0,036949;0,000000;0,036949;
0,001636;0,000000;0,001636;
0,037906;0,000000;0,037906;
0,021320;0,372977;0,351657;
0,023216;0,371701;0,348485;
0,020272;0,371701;0,351429;
0,031365;0,856651;0,825286;
0,031365;0,856651;0,825286;
0,025958;0,000000;0,025958;
0,022682;0,000000;0,022682;
0,033234;0,857962;0,824728;
0,002225;0,857962;0,855737;
0,023535;0,382277;0,358742;
0,023597;0,378345;0,354748;
0,023291;0,376025;0,352733;
0,023291;0,376025;0,352733;
