Reconstruction Coord z;Map Coord z;Error z;
0,003317;0,593951;0,590634;
0,003091;0,593951;0,590859;
0,004162;0,811769;0,807607;
0,003504;0,811769;0,808266;
0,003270;0,812192;0,808922;
0,003271;0,620665;0,617394;
0,003083;0,620665;0,617582;
0,021296;0,606803;0,585507;
0,011635;0,275707;0,264072;
0,011635;0,275707;0,264072;
0,004310;0,622855;0,618544;
0,016089;0,273029;0,256941;
0,004059;0,544170;0,540111;
0,003273;0,815864;0,812591;
0,003273;0,815864;0,812591;
0,012987;0,286374;0,273387;
0,012987;0,286374;0,273387;
0,019470;0,000000;0,019470;
0,013603;0,814170;0,800567;
0,019399;0,000000;0,019399;
0,004431;0,597564;0,593133;
0,003422;0,597564;0,594142;
0,004281;0,000000;0,004281;
0,003394;0,000000;0,003394;
0,020127;0,575580;0,555453;
0,020127;0,575580;0,555453;
0,013585;0,751619;0,738034;
0,013585;0,751619;0,738034;
0,017895;0,815904;0,798009;
0,014045;0,334643;0,320598;
0,016294;0,428689;0,412395;
0,016341;0,427204;0,410863;
0,013889;0,354170;0,340281;
0,018710;0,555794;0,537083;
0,018426;0,290342;0,271916;
0,019330;0,289999;0,270670;
0,004849;0,570093;0,565244;
0,004849;0,570093;0,565244;
0,015742;0,414604;0,398862;
0,004868;0,610959;0,606091;
0,004868;0,610959;0,606091;
0,027457;0,725645;0,698188;
0,028373;0,726758;0,698384;
0,102445;0,682672;0,580227;
0,003518;0,776910;0,773393;
0,003519;0,786296;0,782777;
0,003519;0,786296;0,782777;
0,025450;0,757900;0,732450;
0,025450;0,757900;0,732450;
0,005298;0,724381;0,719084;
0,016823;0,517328;0,500505;
0,007916;0,163814;0,155898;
0,007916;0,163814;0,155898;
0,003680;0,176431;0,172751;
0,007671;0,159931;0,152260;
0,006860;0,167209;0,160348;
0,007700;0,162407;0,154707;
0,007445;0,160989;0,153544;
0,007445;0,160989;0,153544;
0,028457;0,765934;0,737476;
0,003426;0,765934;0,762507;
0,007587;0,573550;0,565963;
0,028239;0,760850;0,732611;
0,008844;0,124906;0,116062;
0,003794;0,775489;0,771695;
0,003768;0,765840;0,762072;
0,003306;0,772835;0,769529;
0,028174;0,758859;0,730685;
0,003797;0,772889;0,769092;
0,003563;0,778169;0,774606;
0,005977;0,771083;0,765105;
0,003634;0,771083;0,767448;
0,005554;0,775541;0,769987;
0,003772;0,775541;0,771769;
0,003235;0,761596;0,758360;
0,003235;0,761596;0,758360;
0,006493;0,783643;0,777150;
0,006062;0,779019;0,772957;
0,028061;0,769776;0,741715;
0,005666;0,769776;0,764110;
0,003526;0,774090;0,770563;
0,003613;0,784033;0,780420;
0,006518;0,784848;0,778330;
0,006519;0,777978;0,771459;
0,003860;0,777978;0,774118;
0,011212;0,793389;0,782176;
0,003594;0,793389;0,789795;
0,029539;0,770419;0,740880;
0,026275;0,768719;0,742444;
0,030718;0,779558;0,748840;
0,003485;0,803002;0,799518;
0,003419;0,802428;0,799009;
0,003926;0,768453;0,764527;
0,029545;0,781560;0,752015;
0,005806;0,808235;0,802429;
0,004465;0,808235;0,803770;
0,009320;0,106644;0,097324;
0,007370;0,809314;0,801945;
0,004781;0,809314;0,804533;
0,005026;0,809402;0,804375;
0,003420;0,809402;0,805982;
0,003969;0,809402;0,805432;
0,007773;0,791372;0,783599;
0,030226;0,779700;0,749474;
0,007831;0,796119;0,788287;
0,007831;0,796119;0,788287;
0,030778;0,777990;0,747212;
0,005678;0,795712;0,790034;
0,003632;0,795712;0,792080;
0,003560;0,811170;0,807610;
0,003991;0,813405;0,809414;
0,008486;0,099724;0,091237;
0,003916;0,817773;0,813856;
0,027141;0,819564;0,792424;
0,003265;0,806424;0,803159;
0,071155;0,796894;0,725739;
0,005430;0,812629;0,807199;
0,003614;0,812629;0,809016;
0,004000;0,108239;0,104239;
0,003777;0,820265;0,816487;
0,011524;0,819920;0,808396;
0,003606;0,819920;0,816313;
0,003565;0,819920;0,816354;
0,021154;0,820423;0,799270;
0,003668;0,820423;0,816756;
0,030669;0,820733;0,790064;
0,003361;0,820733;0,817372;
0,005281;0,808309;0,803028;
0,005281;0,808309;0,803028;
0,024623;0,798144;0,773521;
0,023313;0,798144;0,774831;
0,005139;0,821403;0,816265;
0,005139;0,821403;0,816265;
0,015041;0,799799;0,784758;
0,003454;0,809086;0,805633;
0,007521;0,807069;0,799548;
0,003470;0,821656;0,818186;
0,018168;0,803681;0,785513;
0,005166;0,817409;0,812243;
0,003747;0,817409;0,813662;
0,032621;0,821130;0,788509;
0,003638;0,821130;0,817493;
0,031955;0,815127;0,783172;
0,003577;0,819396;0,815819;
0,032179;0,811849;0,779670;
0,008337;0,811849;0,803511;
0,032314;0,824114;0,791800;
0,008074;0,816668;0,808594;
