Reconstruction Coord z;Map Coord z;Error z;
0,000333;0,706944;0,706611;
0,000270;0,779375;0,779105;
0,000249;0,779375;0,779126;
0,000252;0,793360;0,793108;
0,000252;0,808097;0,807845;
0,000272;0,789045;0,788772;
0,000356;0,791512;0,791156;
0,000275;0,747073;0,746798;
0,000258;0,754640;0,754382;
0,001049;0,307730;0,306681;
0,001049;0,307730;0,306681;
0,000766;0,759060;0,758295;
0,000650;0,759060;0,758410;
0,001164;0,817154;0,815990;
0,000254;0,817154;0,816900;
0,000257;0,224026;0,223769;
0,000000;0,495783;0,495783;
0,001079;0,580565;0,579485;
0,001145;0,405255;0,404110;
0,000286;0,239302;0,239015;
0,000361;0,183161;0,182800;
0,000271;0,190658;0,190387;
0,000366;0,186119;0,185753;
0,000900;0,184002;0,183101;
0,000900;0,184002;0,183101;
0,000282;0,184002;0,183720;
0,000000;0,712496;0,712496;
0,001847;0,701989;0,700142;
0,001903;0,693980;0,692077;
0,000745;0,155948;0,155203;
0,000351;0,095510;0,095159;
0,000269;0,044843;0,044573;
0,000408;0,054024;0,053616;
0,000273;0,225332;0,225059;
0,000706;0,097375;0,096669;
0,000689;0,097375;0,096686;
0,000724;0,098708;0,097984;
0,000361;0,098708;0,098347;
0,000295;0,118551;0,118256;
0,000295;0,118551;0,118256;
0,000299;0,107627;0,107328;
0,000297;0,107627;0,107330;
0,000090;0,117336;0,117247;
0,001952;0,733498;0,731545;
0,001952;0,733498;0,731545;
0,000774;0,731026;0,730252;
0,000805;0,107873;0,107068;
0,000340;0,113654;0,113314;
0,000308;0,000000;0,000308;
0,000079;0,000000;0,000079;
0,000807;0,104638;0,103831;
0,000807;0,104638;0,103831;
0,000085;0,104638;0,104553;
0,000823;0,098493;0,097670;
0,000865;0,109816;0,108951;
0,000865;0,109816;0,108951;
0,000824;0,111572;0,110748;
0,000800;0,111010;0,110211;
0,000065;0,111010;0,110945;
0,000926;0,059022;0,058096;
0,000842;0,059022;0,058180;
0,000846;0,110856;0,110010;
0,000350;0,064562;0,064212;
0,000842;0,107592;0,106750;
0,000319;0,115437;0,115118;
0,000280;0,115437;0,115156;
0,000854;0,110892;0,110037;
0,000851;0,111727;0,110876;
0,000085;0,111727;0,111642;
0,000901;0,111737;0,110836;
0,001095;0,112498;0,111402;
0,001095;0,112498;0,111402;
0,000841;0,108476;0,107634;
0,000320;0,111501;0,111181;
0,000638;0,107817;0,107179;
0,000842;0,110695;0,109852;
0,000842;0,110695;0,109852;
0,000842;0,111566;0,110724;
0,000844;0,110695;0,109850;
0,000315;0,111853;0,111538;
0,000839;0,111331;0,110492;
0,000517;0,122154;0,121638;
0,000320;0,122154;0,121834;
0,000839;0,116414;0,115575;
0,000102;0,116414;0,116312;
0,000026;0,744184;0,744158;
0,000321;0,065541;0,065220;
0,000415;0,120206;0,119791;
0,000414;0,120206;0,119791;
0,000854;0,125717;0,124863;
0,000838;0,127973;0,127135;
0,000353;0,118754;0,118401;
0,000322;0,118754;0,118432;
0,000325;0,067526;0,067201;
0,000327;0,134843;0,134516;
0,000104;0,747064;0,746960;
0,000087;0,747064;0,746977;
0,000392;0,133108;0,132716;
0,000104;0,137159;0,137055;
0,000092;0,135299;0,135207;
0,000845;0,127486;0,126642;
0,000401;0,116483;0,116082;
0,000835;0,122495;0,121660;
0,000835;0,122495;0,121660;
0,000024;0,746793;0,746768;
0,001424;0,116109;0,114685;
0,000331;0,116109;0,115779;
0,000087;0,747975;0,747889;
0,000305;0,141039;0,140734;
0,000302;0,141039;0,140737;
0,000851;0,121600;0,120749;
0,000301;0,121600;0,121299;
0,000106;0,747448;0,747342;
0,003425;0,744049;0,740623;
0,003501;0,744357;0,740856;
0,000352;0,138389;0,138038;
0,000446;0,128009;0,127563;
0,000284;0,145367;0,145083;
0,000094;0,145367;0,145273;
0,001168;0,733102;0,731934;
0,000100;0,145150;0,145050;
0,000446;0,119514;0,119068;
0,000864;0,137174;0,136310;
0,000864;0,137174;0,136310;
0,002007;0,745044;0,743038;
0,000021;0,745044;0,745024;
0,001057;0,137414;0,136357;
0,001057;0,137414;0,136357;
0,000293;0,075540;0,075247;
0,000408;0,148253;0,147845;
0,000099;0,748996;0,748897;
0,000513;0,149873;0,149360;
0,000732;0,191365;0,190633;
0,000285;0,075104;0,074819;
0,000095;0,075104;0,075010;
0,004207;0,153873;0,149666;
0,001549;0,142845;0,141297;
0,000296;0,758985;0,758688;
0,003157;0,135192;0,132035;
0,005586;0,078501;0,072915;
0,000967;0,770030;0,769063;
0,000823;0,172418;0,171595;
0,000027;0,778783;0,778756;
0,000014;0,778783;0,778769;
0,000897;0,173160;0,172263;
0,000120;0,198406;0,198286;
0,000371;0,095415;0,095044;
0,000450;0,107413;0,106963;
0,000713;0,661679;0,660966;
0,000898;0,662305;0,661407;
0,000532;0,664173;0,663641;
0,000119;0,665461;0,665343;
0,000040;0,665461;0,665421;
0,003296;0,663277;0,659981;
0,000112;0,671910;0,671797;
0,000080;0,666758;0,666678;
0,000054;0,665886;0,665832;
0,000540;0,103000;0,102459;
0,000539;0,667000;0,666461;
0,000105;0,667497;0,667392;
0,000080;0,667497;0,667417;
0,000106;0,664628;0,664521;
0,000056;0,664628;0,664572;
0,000014;0,664382;0,664368;
0,000889;0,662603;0,661715;
0,000369;0,662603;0,662234;
0,001076;0,668143;0,667067;
0,000047;0,668143;0,668097;
0,000395;0,648735;0,648340;
0,000060;0,666743;0,666683;
0,000060;0,666743;0,666683;
0,000906;0,163784;0,162879;
0,000655;0,160779;0,160124;
0,001011;0,669092;0,668081;
0,000470;0,667484;0,667015;
0,000064;0,667484;0,667420;
0,000037;0,665781;0,665744;
0,000483;0,913154;0,912671;
0,000081;0,913154;0,913074;
0,000045;0,666331;0,666286;
0,001236;0,667015;0,665779;
0,000081;0,667015;0,666934;
0,000071;0,667955;0,667884;
0,000701;0,629442;0,628741;
0,000373;0,629442;0,629070;
0,000121;0,110152;0,110031;
0,000449;0,666442;0,665993;
0,011043;0,670373;0,659330;
0,000360;0,670373;0,670013;
0,000889;0,165453;0,164564;
0,000478;0,165453;0,164976;
0,000478;0,165453;0,164976;
0,000111;0,670234;0,670123;
0,000032;0,670234;0,670201;
0,000478;0,668520;0,668042;
0,000119;0,670549;0,670430;
0,000098;0,670549;0,670451;
0,001128;0,666609;0,665482;
0,001128;0,666609;0,665482;
0,000389;0,666609;0,666220;
0,000381;0,666609;0,666228;
0,000654;0,167004;0,166350;
0,000485;0,167004;0,166519;
0,000747;0,655784;0,655038;
0,000656;0,655784;0,655129;
0,000603;0,655784;0,655181;
0,001344;0,668973;0,667629;
0,000592;0,608955;0,608362;
0,000424;0,608955;0,608531;
0,000424;0,608955;0,608531;
0,000356;0,340361;0,340005;
0,001343;0,674255;0,672913;
0,000622;0,673385;0,672762;
0,000596;0,673385;0,672788;
0,000445;0,168203;0,167758;
0,000397;0,168203;0,167807;
