Reconstruction Coord z;Map Coord z;Error z;
0,001378;0,799731;0,798354;
0,000757;0,810007;0,809250;
0,001140;0,802610;0,801470;
0,001140;0,802610;0,801470;
0,004228;0,796998;0,792770;
0,004228;0,796998;0,792770;
0,000876;0,812662;0,811786;
0,004077;0,816956;0,812879;
0,000794;0,805234;0,804440;
0,003949;0,796528;0,792579;
0,004036;0,813015;0,808979;
0,005460;0,822359;0,816899;
0,002863;0,822359;0,819496;
0,002118;0,796388;0,794270;
0,000799;0,799039;0,798240;
0,002922;0,822218;0,819296;
0,001660;0,828958;0,827298;
0,000920;0,821306;0,820385;
0,000548;0,807311;0,806763;
0,000548;0,807311;0,806763;
0,004082;0,829888;0,825806;
0,003822;0,797659;0,793836;
0,003786;0,799844;0,796058;
0,001522;0,804211;0,802689;
0,000543;0,804211;0,803667;
0,000527;0,796528;0,796001;
0,004015;0,837616;0,833600;
0,000553;0,837616;0,837063;
0,001053;0,834227;0,833174;
0,003967;0,808408;0,804441;
0,003793;0,807987;0,804193;
0,001868;0,807987;0,806119;
0,002546;0,823162;0,820615;
0,000517;0,863372;0,862855;
0,002572;0,858038;0,855466;
0,000515;0,858038;0,857523;
0,000509;0,858038;0,857529;
0,003807;0,854812;0,851005;
0,003807;0,854812;0,851005;
0,004001;0,858440;0,854438;
0,004001;0,858440;0,854438;
0,004006;0,858440;0,854433;
0,004006;0,858440;0,854433;
0,001106;0,817512;0,816406;
0,004106;0,819786;0,815680;
0,004106;0,819786;0,815680;
0,002971;0,824530;0,821559;
0,001314;0,824530;0,823216;
0,000484;0,809191;0,808707;
0,003500;0,849428;0,845928;
0,000588;0,849428;0,848840;
0,002640;0,833331;0,830691;
0,002640;0,833331;0,830691;
0,004158;0,870711;0,866553;
0,000511;0,870711;0,870200;
0,002153;0,842685;0,840532;
0,003203;0,827581;0,824378;
0,003203;0,827581;0,824378;
0,000516;0,844739;0,844223;
0,003842;0,753431;0,749590;
0,002560;0,753671;0,751111;
0,000531;0,847127;0,846596;
0,001216;0,872011;0,870795;
0,000623;0,831653;0,831030;
0,000487;0,831653;0,831166;
0,000567;0,677901;0,677334;
0,003915;0,856803;0,852888;
0,003915;0,856803;0,852888;
0,003266;0,818538;0,815273;
0,004001;0,831932;0,827931;
0,000604;0,834732;0,834128;
0,003620;0,842334;0,838714;
0,003620;0,842334;0,838714;
0,000565;0,871141;0,870576;
0,003746;0,845331;0,841585;
0,006055;0,749286;0,743232;
0,004016;0,749286;0,745270;
0,002045;0,807798;0,805752;
0,000965;0,807798;0,806832;
0,000490;0,807798;0,807308;
0,003506;0,867024;0,863518;
0,003506;0,867024;0,863518;
0,001521;0,835204;0,833683;
0,000488;0,835204;0,834716;
0,003796;0,852145;0,848349;
0,000599;0,866566;0,865966;
0,001382;0,840868;0,839486;
0,002833;0,866141;0,863308;
0,000768;0,768155;0,767387;
0,000473;0,768155;0,767681;
0,001572;0,835120;0,833548;
0,000475;0,864056;0,863581;
0,000748;0,870836;0,870088;
0,002941;0,865253;0,862312;
0,007666;0,847597;0,839931;
0,001596;0,847597;0,846001;
0,002287;0,839213;0,836926;
0,004019;0,855012;0,850993;
0,000540;0,875796;0,875256;
0,001260;0,837957;0,836697;
