Reconstruction Coord z;Map Coord z;Error z;
0,001860;0,200955;0,199095;
0,001860;0,200955;0,199095;
0,001615;0,226886;0,225271;
0,001443;0,175607;0,174164;
0,001866;0,008686;0,006821;
0,001594;0,218734;0,217139;
0,001699;0,198970;0,197271;
0,001381;0,028888;0,027507;
0,001757;0,332283;0,330527;
0,001658;0,332283;0,330626;
0,003504;0,199271;0,195767;
0,003504;0,199271;0,195767;
0,003906;0,342689;0,338783;
0,002993;0,181431;0,178438;
0,002993;0,181431;0,178438;
0,003996;0,311249;0,307253;
0,002540;0,311249;0,308708;
0,001667;0,315391;0,313725;
0,004615;0,331119;0,326504;
0,002325;0,331119;0,328794;
0,001886;0,201529;0,199643;
0,002483;0,313073;0,310590;
0,002273;0,341550;0,339277;
0,001378;0,341550;0,340172;
0,002523;0,320157;0,317634;
0,001613;0,320157;0,318545;
0,003274;0,315095;0,311822;
0,001377;0,215243;0,213866;
0,001720;0,163527;0,161807;
0,002989;0,162367;0,159378;
0,001364;0,162367;0,161003;
0,001893;0,025183;0,023291;
0,003000;0,000000;0,003000;
0,001726;0,000000;0,001726;
0,003219;0,179781;0,176562;
0,001931;0,167507;0,165576;
0,001649;0,141844;0,140194;
0,003348;0,180361;0,177013;
0,003737;0,162202;0,158465;
0,003450;0,171112;0,167662;
0,003615;0,213933;0,210318;
0,003615;0,213933;0,210318;
0,003615;0,213933;0,210318;
0,002768;0,125791;0,123023;
0,001471;0,125791;0,124319;
0,219775;0,147541;0,072234;
0,001675;0,147541;0,145867;
0,003287;0,122555;0,119268;
0,001536;0,122555;0,121019;
0,003347;0,162275;0,158928;
0,003397;0,162657;0,159260;
0,002147;0,162657;0,160510;
0,001402;0,018143;0,016741;
0,001689;0,163839;0,162150;
0,042421;0,228419;0,185998;
0,001783;0,000000;0,001783;
0,003030;0,172474;0,169444;
0,001530;0,172474;0,170944;
0,006989;0,168420;0,161430;
0,004893;0,232545;0,227651;
0,003455;0,232545;0,229090;
0,001687;0,165282;0,163594;
0,001477;0,165282;0,163804;
0,001930;0,161345;0,159416;
0,001477;0,163249;0,161772;
0,001479;0,000000;0,001479;
0,006860;0,000000;0,006860;
0,005425;0,000000;0,005425;
0,001543;0,224707;0,223164;
0,001671;0,141006;0,139335;
0,001385;0,161302;0,159918;
0,003460;0,185446;0,181986;
0,003460;0,185446;0,181986;
0,003428;0,183479;0,180050;
0,002513;0,000000;0,002513;
0,001932;0,203922;0,201990;
0,090178;0,196991;0,106814;
0,001640;0,196820;0,195180;
0,003503;0,224610;0,221107;
0,003608;0,236023;0,232415;
0,001499;0,154509;0,153010;
0,001497;0,193823;0,192326;
0,003514;0,183243;0,179730;
0,003478;0,184608;0,181130;
0,003478;0,184608;0,181130;
0,003691;0,190915;0,187224;
0,023066;0,187047;0,163981;
0,001429;0,242323;0,240894;
0,001642;0,192084;0,190442;
0,002043;0,175265;0,173222;
0,001719;0,175265;0,173546;
0,003394;0,151612;0,148217;
0,002019;0,160571;0,158552;
0,060633;0,183264;0,122632;
0,003382;0,152462;0,149080;
0,003382;0,152462;0,149080;
0,003740;0,245241;0,241501;
0,003740;0,245241;0,241501;
0,003357;0,193686;0,190328;
0,001434;0,148434;0,147000;
0,003445;0,193096;0,189651;
0,005235;0,198619;0,193384;
0,003221;0,198619;0,195398;
0,002353;0,180810;0,178457;
0,001805;0,180810;0,179005;
0,003114;0,000000;0,003114;
0,003381;0,167913;0,164532;
0,001629;0,207281;0,205652;
0,001386;0,000000;0,001386;
0,003478;0,195709;0,192231;
0,002016;0,195709;0,193693;
0,001997;0,415129;0,413132;
0,001997;0,415129;0,413132;
0,003497;0,195467;0,191970;
0,002144;0,195467;0,193323;
0,001618;0,211230;0,209612;
0,003536;0,214920;0,211384;
0,002430;0,214920;0,212490;
0,001689;0,170247;0,168558;
0,001532;0,415401;0,413869;
0,002054;0,000000;0,002054;
0,001449;0,060654;0,059205;
0,001948;0,416006;0,414058;
0,001426;0,441283;0,439857;
0,001431;0,127416;0,125984;
0,003362;0,487256;0,483894;
0,001428;0,485266;0,483838;
0,001428;0,485266;0,483838;
0,002054;0,173938;0,171884;
0,003105;0,169368;0,166263;
0,003557;0,485958;0,482401;
0,003557;0,485958;0,482401;
0,003738;0,430332;0,426594;
0,004207;0,419990;0,415783;
0,003722;0,487428;0,483706;
0,003722;0,487428;0,483706;
0,003295;0,168634;0,165339;
0,003896;0,488439;0,484543;
0,003896;0,488439;0,484543;
0,003563;0,167602;0,164039;
0,001573;0,579601;0,578028;
0,004128;0,488468;0,484340;
0,004128;0,488468;0,484340;
0,003216;0,168630;0,165414;
0,002178;0,168630;0,166453;
0,004685;0,302391;0,297707;
0,003252;0,044339;0,041087;
0,002045;0,602006;0,599961;
0,004363;0,490343;0,485980;
0,004363;0,490343;0,485980;
0,008459;0,278360;0,269902;
0,002910;0,278360;0,275450;
0,001385;0,287574;0,286189;
0,003922;0,281917;0,277995;
0,004016;0,289557;0,285542;
0,002760;0,289557;0,286797;
0,003237;0,168167;0,164930;
0,003101;0,168225;0,165123;
0,004336;0,489578;0,485241;
0,004336;0,489578;0,485241;
0,001714;0,283648;0,281934;
0,003001;0,166688;0,163686;
0,003145;0,139058;0,135913;
0,002572;0,293316;0,290745;
0,002572;0,293316;0,290745;
0,003641;0,860783;0,857142;
0,002619;0,293861;0,291241;
0,002619;0,293861;0,291241;
0,003253;0,167715;0,164462;
0,004248;0,490942;0,486694;
0,004248;0,490942;0,486694;
0,003276;0,441838;0,438563;
0,001845;0,301012;0,299167;
0,002287;0,291888;0,289602;
0,126653;0,302502;0,175849;
0,002318;0,302502;0,300183;
0,003368;0,491558;0,488191;
0,003243;0,039698;0,036455;
0,004616;0,489588;0,484971;
0,004616;0,489588;0,484971;
0,003434;0,183838;0,180404;
0,003873;0,291776;0,287904;
0,003202;0,291776;0,288575;
0,002782;0,187513;0,184731;
0,002559;0,187513;0,184954;
0,002037;0,495320;0,493283;
0,001817;0,495320;0,493502;
0,004967;0,167459;0,162492;
0,003242;0,039452;0,036211;
0,004022;0,168093;0,164072;
0,004843;0,443034;0,438191;
0,005112;0,489142;0,484030;
0,003238;0,055025;0,051787;
0,005083;0,168831;0,163748;
0,003999;0,168333;0,164334;
0,003999;0,168333;0,164334;
0,005253;0,309753;0,304500;
0,006248;0,177957;0,171709;
0,004501;0,488846;0,484345;
0,002293;0,488846;0,486553;
0,002022;0,018970;0,016948;
0,002348;0,062846;0,060498;
0,001704;0,062846;0,061142;
0,002039;0,314815;0,312776;
0,003247;0,038242;0,034995;
0,005332;0,325644;0,320312;
0,005130;0,487213;0,482083;
0,002968;0,311622;0,308654;
0,003702;0,000000;0,003702;
0,002885;0,000000;0,002885;
0,005141;0,486994;0,481853;
0,002366;0,486994;0,484628;
0,003741;0,436876;0,433134;
0,002037;0,000000;0,002037;
0,003987;0,036065;0,032079;
0,001963;0,488484;0,486520;
0,005092;0,483458;0,478366;
0,004632;0,429328;0,424696;
0,005831;0,308680;0,302849;
0,003880;0,308680;0,304800;
0,004047;0,313380;0,309334;
0,003406;0,172474;0,169068;
0,002794;0,066562;0,063768;
0,002794;0,066562;0,063768;
0,002004;0,484715;0,482711;
0,002147;0,429352;0,427205;
