Reconstruction Coord z;Map Coord z;Error z;
1,000000;0,825113;0,174887;
0,002361;0,825113;0,822752;
0,002316;0,637689;0,635373;
0,001735;0,636535;0,634800;
0,002496;0,636018;0,633522;
0,002496;0,636018;0,633522;
0,002500;0,636237;0,633737;
0,014416;0,811032;0,796616;
0,014416;0,811032;0,796616;
0,009809;0,635086;0,625277;
0,002325;0,991894;0,989569;
0,014475;0,810570;0,796095;
0,012192;0,632975;0,620783;
0,008714;0,633389;0,624676;
0,001854;0,633389;0,631535;
0,001909;0,242738;0,240829;
0,002367;0,631413;0,629046;
0,001910;0,246389;0,244479;
0,001911;0,250286;0,248374;
0,001913;0,254799;0,252886;
0,029990;0,823542;0,793552;
0,001914;0,258591;0,256677;
0,004743;0,991447;0,986704;
0,027742;0,632063;0,604321;
0,027742;0,632063;0,604321;
0,001915;0,262200;0,260284;
0,030164;0,821914;0,791750;
0,001917;0,265959;0,264042;
0,003984;0,992845;0,988862;
0,001742;0,992845;0,991103;
0,001840;0,265383;0,263543;
0,001840;0,265383;0,263543;
0,002686;0,991996;0,989311;
0,002748;0,989505;0,986756;
0,001842;0,991493;0,989652;
0,001842;0,991493;0,989652;
0,009236;0,627950;0,618714;
0,005018;0,987542;0,982524;
0,006850;0,989037;0,982187;
0,006850;0,989037;0,982187;
0,004465;0,234147;0,229683;
0,004465;0,234147;0,229683;
0,004584;0,259803;0,255219;
0,002690;0,624243;0,621553;
0,004425;0,233023;0,228598;
0,002595;0,991082;0,988487;
0,004644;0,258670;0,254026;
0,004644;0,258670;0,254026;
0,002175;0,989555;0,987380;
0,002255;0,806394;0,804139;
0,001905;0,990586;0,988681;
0,001762;0,990586;0,988824;
0,003609;0,623014;0,619405;
0,002229;0,623014;0,620786;
0,002072;0,623137;0,621065;
0,002072;0,623137;0,621065;
0,002208;0,623652;0,621444;
0,001722;0,623652;0,621930;
0,002677;0,989673;0,986996;
0,002490;0,989673;0,987182;
0,008692;0,621914;0,613222;
0,006657;0,621914;0,615257;
0,002662;0,619782;0,617120;
0,002842;0,236423;0,233582;
0,002842;0,236423;0,233582;
0,006662;0,240223;0,233561;
0,002664;0,988925;0,986261;
0,001796;0,988925;0,987128;
0,006731;0,244452;0,237721;
0,002629;0,621766;0,619136;
0,002550;0,621766;0,619216;
0,004633;0,263569;0,258936;
0,004633;0,263569;0,258936;
0,006808;0,248708;0,241900;
0,003411;0,618735;0,615324;
0,002556;0,621159;0,618603;
0,006882;0,252731;0,245848;
0,006957;0,257330;0,250373;
0,007031;0,262636;0,255605;
0,007674;0,621718;0,614044;
0,007674;0,621718;0,614044;
0,002513;0,620211;0,617698;
0,001846;0,618191;0,616345;
0,001804;0,618191;0,616387;
0,002429;0,618000;0,615571;
0,002895;0,617629;0,614734;
0,002895;0,617629;0,614734;
0,002671;0,618759;0,616088;
0,002212;0,987048;0,984836;
0,002212;0,987048;0,984836;
0,002451;0,616802;0,614351;
0,003220;0,616952;0,613731;
0,008641;0,615551;0,606910;
0,014007;0,804245;0,790239;
0,008620;0,614875;0,606255;
0,008620;0,614875;0,606255;
0,008610;0,615877;0,607267;
0,002122;0,986153;0,984031;
0,008543;0,614949;0,606406;
0,013936;0,802996;0,789060;
0,018757;0,711750;0,692993;
0,004624;0,711750;0,707126;
0,002264;0,985369;0,983104;
0,012637;0,819250;0,806614;
0,008638;0,610765;0,602126;
0,004010;0,810962;0,806952;
0,004174;0,984652;0,980478;
0,004174;0,984652;0,980478;
0,002147;0,810630;0,808483;
0,003386;0,818024;0,814638;
0,004517;0,608806;0,604288;
0,002949;0,809306;0,806357;
0,003061;0,982731;0,979670;
0,008971;0,603376;0,594405;
0,002854;0,605023;0,602169;
0,014183;0,810839;0,796657;
0,003897;0,603818;0,599921;
0,002133;0,601898;0,599765;
0,023076;0,598329;0,575253;
0,010136;0,598329;0,588193;
0,008172;0,599028;0,590856;
0,002685;0,601386;0,598701;
0,017215;0,808890;0,791674;
0,003458;0,598981;0,595523;
0,001887;0,806696;0,804809;
0,002051;0,806131;0,804081;
0,002045;0,806131;0,804087;
0,244896;0,808182;0,563286;
0,244896;0,808182;0,563286;
0,007497;0,590507;0,583010;
0,010544;0,684976;0,674432;
0,008258;0,589285;0,581028;
0,007960;0,584353;0,576393;
0,008236;0,583474;0,575238;
0,010204;0,681352;0,671148;
0,002429;0,582433;0,580004;
