Reconstruction Coord z;Map Coord z;Error z;
0,012938;0,025280;0,012342;
0,009247;0,025280;0,016033;
0,008039;0,821898;0,813860;
0,007460;0,821898;0,814438;
0,011013;0,063517;0,052504;
0,011308;0,058236;0,046928;
0,007533;0,055013;0,047479;
0,007533;0,055013;0,047479;
0,008961;0,028833;0,019872;
0,008395;0,028833;0,020438;
0,007621;0,025597;0,017976;
0,007585;0,025597;0,018012;
0,009102;0,029533;0,020431;
0,015336;0,023936;0,008600;
0,015336;0,023936;0,008600;
0,015321;0,026370;0,011049;
0,008237;0,026370;0,018133;
0,015430;0,028345;0,012915;
0,015430;0,028345;0,012915;
0,007505;0,024335;0,016831;
0,007505;0,024335;0,016831;
0,015219;0,823071;0,807852;
0,007648;0,029683;0,022034;
0,007648;0,029683;0,022034;
0,015350;0,023692;0,008342;
0,015350;0,023692;0,008342;
0,015379;0,026545;0,011166;
0,015442;0,029376;0,013934;
0,015480;0,028876;0,013396;
0,008327;0,027782;0,019455;
0,008327;0,027782;0,019455;
0,015369;0,025792;0,010423;
0,015350;0,024654;0,009304;
0,013339;0,026491;0,013153;
0,015443;0,028338;0,012894;
0,012330;0,028338;0,016008;
0,007907;0,027328;0,019421;
0,007781;0,817928;0,810147;
0,009266;0,816865;0,807599;
0,017386;0,037234;0,019848;
0,007628;0,821223;0,813596;
0,018717;0,821223;0,802506;
0,011460;0,000000;0,011460;
0,039322;0,827587;0,788266;
0,013722;0,018490;0,004768;
0,042896;0,825287;0,782391;
0,020326;0,827925;0,807599;
0,010228;0,827925;0,817697;
0,010653;0,629825;0,619172;
0,007909;0,828820;0,820911;
0,007826;0,829990;0,822164;
0,009263;0,080177;0,070914;
0,007905;0,282304;0,274399;
0,007904;0,282304;0,274401;
0,034620;0,610956;0,576335;
0,008009;0,610956;0,602947;
0,007909;0,283431;0,275522;
0,008762;0,225413;0,216651;
0,007998;0,177177;0,169179;
0,007998;0,177177;0,169179;
0,007824;0,177177;0,169353;
0,054407;0,778550;0,724143;
0,054620;0,787615;0,732995;
0,007872;0,226635;0,218763;
0,008211;0,753858;0,745647;
0,019689;0,221776;0,202087;
0,009043;0,215461;0,206418;
0,008980;0,215461;0,206481;
0,008353;0,000000;0,008353;
0,012955;0,676977;0,664022;
0,008039;0,401465;0,393426;
0,021375;0,224527;0,203152;
0,009030;0,179921;0,170891;
0,016825;0,174031;0,157206;
0,010940;0,184105;0,173165;
0,007853;0,184105;0,176252;
0,008985;0,186211;0,177226;
0,037821;0,183086;0,145265;
0,008005;0,188064;0,180059;
0,007944;0,188064;0,180119;
0,009545;0,000000;0,009545;
0,008080;0,183774;0,175693;
0,012410;0,024663;0,012252;
0,019805;0,187442;0,167637;
0,009885;0,187442;0,177557;
0,020921;0,711940;0,691018;
0,773627;0,209240;0,564387;
0,009908;0,209240;0,199332;
0,012408;0,217046;0,204638;
0,008149;0,000000;0,008149;
0,010540;0,000000;0,010540;
0,012220;0,204747;0,192528;
0,011726;0,204747;0,193021;
0,021263;0,216062;0,194799;
0,021263;0,216062;0,194799;
0,008135;0,214577;0,206443;
0,009441;0,222183;0,212743;
0,009180;0,222183;0,213003;
0,009491;0,220411;0,210920;
0,008152;0,220411;0,212259;
0,008172;0,213673;0,205501;
0,021521;0,000000;0,021521;
0,022301;0,813204;0,790903;
0,011738;0,000000;0,011738;
0,011584;0,000000;0,011584;
0,011770;0,000000;0,011770;
0,011770;0,000000;0,011770;
0,013814;0,210388;0,196574;
0,056759;0,818578;0,761819;
0,008858;0,211423;0,202565;
0,021286;0,219389;0,198104;
0,021286;0,219389;0,198104;
0,008349;0,217138;0,208789;
0,020375;0,215617;0,195241;
0,021178;0,213229;0,192052;
0,021178;0,213229;0,192052;
0,009241;0,218162;0,208921;
0,009911;0,214551;0,204640;
0,008865;0,212903;0,204038;
0,008783;0,220427;0,211644;
0,015728;0,030334;0,014607;
0,009016;0,222195;0,213178;
0,008320;0,229449;0,221129;
0,010455;0,000000;0,010455;
0,015950;0,172245;0,156295;
0,008017;0,225173;0,217156;
0,008017;0,225173;0,217156;
0,016355;0,231978;0,215623;
0,016355;0,231978;0,215623;
0,008147;0,081640;0,073493;
0,016342;0,818815;0,802473;
0,007985;0,818815;0,810829;
0,008288;0,086087;0,077799;
0,008312;0,159239;0,150928;
0,026279;0,086413;0,060135;
0,016340;0,177720;0,161380;
0,008287;0,000000;0,008287;
0,008277;0,000000;0,008277;
0,009870;0,099453;0,089584;
0,008936;0,099453;0,090517;
0,016114;0,051328;0,035213;
0,010174;0,000000;0,010174;
0,060860;0,821517;0,760656;
0,009680;0,000000;0,009680;
0,016055;0,050016;0,033961;
0,008074;0,822419;0,814344;
0,008074;0,822419;0,814344;
0,014987;0,214695;0,199708;
0,059032;0,000000;0,059032;
0,010793;0,279463;0,268670;
0,021049;0,213279;0,192230;
0,021049;0,213279;0,192230;
0,008655;0,000000;0,008655;
0,031843;0,000000;0,031843;
0,009479;0,000000;0,009479;
0,010887;0,209426;0,198539;
0,010887;0,209426;0,198539;
0,008299;0,304934;0,296635;
0,010914;0,209561;0,198647;
0,016331;0,073890;0,057558;
0,016331;0,073890;0,057558;
0,008521;0,194665;0,186143;
0,016276;0,000000;0,016276;
0,016276;0,000000;0,016276;
0,056658;0,208308;0,151650;
0,008435;0,079160;0,070725;
0,008435;0,079160;0,070725;
0,010140;0,219043;0,208903;
0,008011;0,191040;0,183029;
0,020014;0,183661;0,163647;
0,015465;0,195129;0,179664;
0,016352;0,152522;0,136170;
0,016352;0,152522;0,136170;
0,010077;0,152522;0,142445;
0,009969;0,221246;0,211277;
0,009759;0,221246;0,211487;
0,010534;0,180999;0,170464;
0,015004;0,047179;0,032175;
0,015004;0,047179;0,032175;
0,008493;0,221882;0,213388;
0,023037;0,000000;0,023037;
0,054000;0,181449;0,127449;
0,032806;0,154024;0,121218;
0,032806;0,154024;0,121218;
0,009076;0,020720;0,011644;
0,016000;0,044852;0,028851;
0,016000;0,044852;0,028851;
0,019042;0,000000;0,019042;
0,011970;0,000000;0,011970;
0,015709;0,000000;0,015709;
0,015709;0,000000;0,015709;
0,008977;0,222353;0,213376;
0,022182;0,158088;0,135905;
0,012415;0,230991;0,218576;
0,008655;0,177994;0,169339;
0,009697;0,133804;0,124107;
0,009695;0,133804;0,124109;
0,000343;0,157029;0,156686;
0,008144;0,180870;0,172727;
0,010331;0,027123;0,016792;
0,010936;0,000000;0,010936;
0,056479;0,000000;0,056479;
0,021464;0,201453;0,179989;
0,000141;0,201453;0,201312;
0,011619;0,141895;0,130276;
0,011619;0,141895;0,130276;
0,044872;0,236209;0,191337;
0,044872;0,236209;0,191337;
0,017552;0,165494;0,147942;
0,011332;0,179040;0,167708;
0,017739;0,140766;0,123028;
0,008195;0,165109;0,156914;
0,008195;0,165109;0,156914;
0,010818;0,175391;0,164573;
0,036889;0,191310;0,154421;
0,008486;0,000000;0,008486;
0,009176;0,239233;0,230057;
0,008485;0,239233;0,230748;
0,018693;0,160989;0,142296;
0,012215;0,206643;0,194428;
0,011340;0,206643;0,195303;
0,011340;0,206643;0,195303;
0,010595;0,146589;0,135994;
0,012855;0,000000;0,012855;
0,011958;0,198259;0,186301;
0,008415;0,000000;0,008415;
0,008449;0,140417;0,131967;
0,013800;0,148871;0,135072;
0,013800;0,148871;0,135072;
0,011650;0,164798;0,153149;
0,011977;0,000000;0,011977;
0,011310;0,000000;0,011310;
0,008516;0,000000;0,008516;
0,008552;0,840226;0,831674;
0,013319;0,185884;0,172565;
0,008558;0,000000;0,008558;
0,010656;0,159761;0,149104;
0,000056;0,153965;0,153909;
0,008801;0,133071;0,124269;
0,008231;0,133071;0,124840;
0,008236;0,131272;0,123036;
0,008236;0,131272;0,123036;
0,009106;0,154252;0,145146;
0,009106;0,154252;0,145146;
0,009235;0,197000;0,187765;
0,026695;0,125964;0,099269;
0,026695;0,125964;0,099269;
0,038736;0,181994;0,143258;
0,011451;0,181994;0,170544;
0,010278;0,839252;0,828974;
0,010278;0,839252;0,828974;
0,021254;0,000000;0,021254;
0,010690;0,000000;0,010690;
0,000319;0,000000;0,000319;
0,010844;0,145206;0,134362;
0,012217;0,000000;0,012217;
0,010345;0,839711;0,829366;
0,050333;0,793798;0,743465;
0,011538;0,134085;0,122547;
0,018493;0,153745;0,135253;
0,010639;0,159596;0,148957;
0,047002;0,798525;0,751523;
0,008680;0,139099;0,130419;
0,008680;0,139099;0,130419;
0,052278;0,802172;0,749895;
0,012255;0,000000;0,012255;
0,011408;0,000000;0,011408;
0,015573;0,043359;0,027787;
0,015573;0,043359;0,027787;
0,023883;0,127789;0,103906;
