Reconstruction Coord z;Map Coord z;Error z;
0,002759;0,481834;0,479075;
0,002620;0,481440;0,478820;
0,003086;0,480641;0,477555;
0,003186;0,482848;0,479662;
0,002646;0,482848;0,480202;
0,007454;0,481961;0,474507;
0,002839;0,487489;0,484650;
0,005159;0,483444;0,478284;
0,002866;0,555158;0,552292;
0,002692;0,487689;0,484998;
0,017273;0,490136;0,472862;
0,002776;0,493958;0,491182;
0,006072;0,490654;0,484581;
0,017417;0,497607;0,480190;
0,017417;0,497607;0,480190;
0,017417;0,497607;0,480190;
0,005117;0,497607;0,492490;
0,017443;0,496748;0,479305;
0,004765;0,496748;0,491983;
0,017433;0,500952;0,483519;
0,002782;0,502673;0,499891;
0,002782;0,502673;0,499891;
0,003356;0,510400;0,507044;
0,017419;0,501555;0,484136;
0,017419;0,501555;0,484136;
0,017494;0,489508;0,472014;
0,017494;0,489508;0,472014;
0,016312;0,577024;0,560712;
0,017240;0,500632;0,483393;
0,017847;0,500681;0,482834;
0,017899;0,499279;0,481380;
0,017171;0,492867;0,475697;
0,017497;0,497949;0,480452;
0,008766;0,503615;0,494849;
0,017291;0,498746;0,481454;
0,017291;0,498746;0,481454;
0,003480;0,497629;0,494148;
0,017727;0,508491;0,490764;
0,002879;0,508436;0,505557;
0,017521;0,667191;0,649670;
0,017255;0,503112;0,485856;
0,002567;0,503112;0,500545;
0,017518;0,506780;0,489262;
0,017851;0,512445;0,494594;
0,017904;0,508652;0,490748;
0,003779;0,508652;0,504874;
0,002780;0,508652;0,505873;
0,017818;0,513017;0,495199;
0,017818;0,513017;0,495199;
0,017785;0,510823;0,493037;
0,016607;0,513820;0,497213;
0,013001;0,000000;0,013001;
0,017825;0,000000;0,017825;
0,017183;0,500233;0,483050;
0,017826;0,503742;0,485916;
0,002853;0,502804;0,499951;
0,017354;0,498729;0,481375;
0,017354;0,498729;0,481375;
0,003553;0,518922;0,515369;
0,002832;0,504224;0,501393;
0,010063;0,524335;0,514273;
0,006366;0,000000;0,006366;
0,002820;0,524024;0,521203;
0,018006;0,521084;0,503078;
0,018006;0,521084;0,503078;
0,017878;0,516182;0,498304;
0,005317;0,516182;0,510865;
0,017746;0,609327;0,591581;
0,018176;0,523092;0,504916;
0,018176;0,523092;0,504916;
0,019453;0,525773;0,506320;
0,018438;0,523886;0,505449;
0,002644;0,126248;0,123604;
0,002965;0,531098;0,528133;
0,003638;0,532299;0,528661;
0,002894;0,533289;0,530395;
0,002842;0,533289;0,530447;
0,004228;0,510460;0,506232;
0,002988;0,510460;0,507472;
0,008171;0,511235;0,503064;
0,003130;0,666842;0,663712;
0,002888;0,666842;0,663954;
0,009530;0,157698;0,148168;
0,009208;0,150032;0,140824;
0,009639;0,146580;0,136941;
0,004825;0,551548;0,546723;
0,003591;0,551548;0,547957;
0,004458;0,551904;0,547445;
0,004838;0,562147;0,557309;
0,003715;0,562147;0,558432;
0,003041;0,555765;0,552724;
0,003784;0,562104;0,558320;
0,003041;0,603651;0,600609;
0,003041;0,603651;0,600609;
0,000307;0,132701;0,132394;
0,003048;0,556179;0,553131;
0,005631;0,557610;0,551979;
0,003140;0,559893;0,556754;
0,003164;0,562216;0,559052;
0,003391;0,608017;0,604626;
0,003103;0,608017;0,604913;
0,004598;0,562913;0,558314;
0,003782;0,071144;0,067362;
0,003407;0,572442;0,569035;
0,003160;0,572442;0,569282;
0,003229;0,072020;0,068791;
0,012172;0,573195;0,561023;
0,021350;0,573125;0,551775;
0,008669;0,076184;0,067516;
0,020946;0,571042;0,550096;
0,003190;0,572658;0,569468;
0,003194;0,573049;0,569855;
0,003528;0,091063;0,087535;
0,003428;0,091076;0,087648;
0,003255;0,100157;0,096902;
0,009053;0,082108;0,073055;
0,003629;0,096277;0,092648;
0,019483;0,575441;0,555959;
0,003564;0,105924;0,102360;
0,003564;0,105924;0,102360;
0,005809;0,098442;0,092634;
0,011776;0,081108;0,069332;
0,004072;0,081108;0,077036;
0,009090;0,095074;0,085985;
0,009212;0,097934;0,088722;
0,009212;0,097934;0,088722;
0,012211;0,081684;0,069473;
0,008975;0,085042;0,076066;
0,008078;0,580889;0,572811;
0,003926;0,574282;0,570356;
0,009066;0,095475;0,086409;
0,009034;0,089783;0,080749;
0,008897;0,092899;0,084001;
0,008897;0,092899;0,084001;
0,012079;0,085556;0,073478;
0,003366;0,087293;0,083927;
0,003273;0,087293;0,084020;
0,008913;0,576788;0,567875;
0,020052;0,000000;0,020052;
0,004087;0,085835;0,081748;
0,009038;0,089693;0,080655;
0,003368;0,084419;0,081051;
0,009078;0,093028;0,083950;
0,008979;0,084667;0,075688;
0,009173;0,089737;0,080564;
