Reconstruction Coord z;Map Coord z;Error z;
0,018412;0,098504;0,080091;
0,072799;0,095768;0,022969;
0,072397;0,098725;0,026327;
0,041396;0,098725;0,057328;
0,072785;0,096060;0,023275;
0,072785;0,096060;0,023275;
0,072826;0,096638;0,023812;
0,072717;0,096247;0,023530;
0,073326;0,101044;0,027718;
0,033182;0,101044;0,067862;
0,025799;0,097406;0,071606;
0,073082;0,098554;0,025472;
0,073082;0,098554;0,025472;
0,072709;0,099204;0,026495;
0,088355;0,099439;0,011083;
0,027242;0,099439;0,072197;
0,044231;0,099354;0,055122;
0,024591;0,099354;0,074762;
0,072808;0,100785;0,027977;
0,044686;0,100785;0,056099;
0,032832;0,100785;0,067953;
0,070080;0,101523;0,031443;
0,034413;0,101523;0,067110;
0,072744;0,101381;0,028636;
0,072744;0,101381;0,028636;
0,074294;0,105963;0,031668;
0,022264;0,542281;0,520017;
0,072856;0,102284;0,029427;
0,073508;0,105530;0,032021;
0,073508;0,105530;0,032021;
0,020273;0,107702;0,087430;
0,046479;0,105144;0,058665;
0,081366;0,107615;0,026249;
0,023799;0,110859;0,087060;
0,020133;0,110859;0,090726;
0,066146;0,109317;0,043171;
0,074634;0,108882;0,034247;
0,074634;0,108882;0,034247;
0,142236;0,113372;0,028864;
0,142236;0,113372;0,028864;
0,141623;0,112637;0,028985;
0,211785;0,118559;0,093225;
0,074941;0,116929;0,041987;
0,076047;0,116686;0,040639;
0,076047;0,116686;0,040639;
0,075992;0,116190;0,040198;
0,075992;0,116190;0,040198;
0,076505;0,121387;0,044882;
0,033510;0,284931;0,251421;
0,076170;0,121744;0,045574;
0,075942;0,119563;0,043621;
0,076036;0,119181;0,043145;
0,076108;0,124936;0,048828;
0,079863;0,164107;0,084244;
0,079863;0,164107;0,084244;
0,079192;0,170607;0,091416;
0,028614;0,125947;0,097332;
0,028614;0,125947;0,097332;
0,172360;0,442347;0,269987;
0,019341;0,442347;0,423006;
0,080728;0,153196;0,072469;
0,038200;0,153196;0,114997;
0,032698;0,447403;0,414706;
0,019853;0,447403;0,427550;
0,079194;0,149279;0,070086;
0,021998;0,446247;0,424248;
0,077242;0,130421;0,053179;
0,082910;0,155769;0,072859;
0,140014;0,143778;0,003763;
0,038974;0,143778;0,104804;
0,028619;0,153630;0,125011;
0,029521;0,144746;0,115225;
0,078741;0,132693;0,053952;
0,078741;0,132693;0,053952;
0,086956;0,448475;0,361519;
0,034087;0,130975;0,096888;
0,030332;0,131178;0,100846;
0,078584;0,136379;0,057795;
0,020859;0,134481;0,113622;
0,020859;0,134481;0,113622;
0,019432;0,128361;0,108929;
0,040875;0,126772;0,085897;
0,020054;0,126772;0,106718;
0,030965;0,456179;0,425214;
0,031677;0,128304;0,096627;
0,019229;0,128304;0,109075;
0,078308;0,135670;0,057363;
0,078308;0,135670;0,057363;
0,077245;0,128244;0,050999;
