Reconstruction Coord z;Map Coord z;Error z;
0,003596;0,205741;0,202145;
0,003079;0,284709;0,281630;
0,003275;0,230661;0,227386;
0,021821;0,231723;0,209902;
0,012167;0,000000;0,012167;
0,011961;0,000000;0,011961;
0,003073;0,223090;0,220017;
0,012324;-nan(ind);-nan(ind);
0,010667;0,247892;0,237225;
0,010918;0,246160;0,235242;
0,018450;0,242435;0,223985;
0,002885;0,249098;0,246213;
0,011395;0,249269;0,237873;
0,010871;0,252700;0,241829;
0,004108;0,000000;0,004108;
0,003434;0,000000;0,003434;
0,003539;0,444643;0,441104;
0,003539;0,444643;0,441104;
0,006531;0,412783;0,406252;
0,003226;0,412783;0,409557;
0,003697;0,000000;0,003697;
0,003577;0,000000;0,003577;
0,003707;0,356297;0,352590;
0,015942;0,472742;0,456801;
0,015942;0,472742;0,456801;
0,002752;0,488526;0,485774;
0,002724;0,488526;0,485802;
0,003858;0,084544;0,080686;
0,002728;0,084544;0,081817;
0,006320;0,482779;0,476458;
0,004918;0,482779;0,477861;
0,002937;0,075577;0,072640;
0,015367;0,473187;0,457820;
0,003019;0,452792;0,449773;
0,002741;0,000000;0,002741;
0,009572;0,053796;0,044224;
0,003051;0,430470;0,427419;
0,002941;0,114756;0,111815;
0,003095;0,474055;0,470960;
0,009314;0,046044;0,036730;
0,009348;0,042040;0,032692;
0,015896;0,478644;0,462748;
0,009550;0,038610;0,029060;
0,010812;0,507875;0,497063;
0,009408;0,000000;0,009408;
0,009408;0,000000;0,009408;
0,009463;0,000000;0,009463;
0,009463;0,000000;0,009463;
0,015164;0,488139;0,472975;
0,009718;0,000000;0,009718;
0,007875;0,000000;0,007875;
0,009021;0,520850;0,511829;
0,009289;0,479451;0,470162;
0,007117;0,479451;0,472333;
0,008392;0,277285;0,268892;
0,015130;0,017276;0,002146;
0,009318;0,451873;0,442555;
0,002921;0,456543;0,453621;
0,002921;0,456543;0,453621;
0,003221;0,067033;0,063813;
0,008098;0,058631;0,050533;
0,002902;0,058631;0,055729;
0,007396;0,004798;0,002598;
0,017276;0,534984;0,517708;
0,010606;0,228317;0,217711;
0,010606;0,228317;0,217711;
0,011066;0,243375;0,232309;
0,003497;0,243375;0,239878;
0,010153;0,337683;0,327530;
0,003238;0,056803;0,053565;
0,007364;0,007757;0,000394;
0,010675;0,233103;0,222427;
0,010377;0,235450;0,225073;
0,003621;0,107167;0,103547;
0,023230;0,000000;0,023230;
0,006984;0,000000;0,006984;
0,013989;0,719500;0,705512;
0,008637;0,553310;0,544673;
0,003496;0,546991;0,543495;
0,002856;0,546991;0,544135;
0,002927;0,581653;0,578726;
0,007843;0,447486;0,439643;
0,007843;0,447486;0,439643;
0,008116;0,000000;0,008116;
0,017630;0,540658;0,523028;
0,017640;0,534162;0,516522;
0,008202;0,534162;0,525961;
0,008818;0,447687;0,438869;
0,008473;0,092869;0,084396;
0,008473;0,092869;0,084396;
0,017472;0,613384;0,595912;
0,019255;0,535197;0,515942;
0,002924;0,096943;0,094020;
0,015426;0,485685;0,470259;
0,003364;0,097057;0,093693;
0,002926;0,097057;0,094130;
0,008379;0,090143;0,081764;
0,019686;0,626385;0,606699;
0,003095;0,091786;0,088691;
0,008431;0,091258;0,082827;
0,010292;0,693148;0,682856;
0,002956;0,693148;0,690192;
0,003656;0,099972;0,096316;
0,005654;0,300440;0,294785;
0,004999;0,300440;0,295440;
0,021196;0,644677;0,623481;
0,021196;0,644677;0,623481;
0,009712;0,143651;0,133940;
0,008553;0,143651;0,135099;
0,016791;0,498793;0,482002;
0,004762;0,498793;0,494032;
0,002934;0,137709;0,134775;
0,005218;0,233940;0,228722;
0,008997;0,295272;0,286275;
0,009622;0,160002;0,150380;
0,009622;0,160002;0,150380;
0,005219;0,098932;0,093713;
0,010549;0,229742;0,219194;
0,012216;0,499749;0,487533;
0,004990;0,499749;0,494759;
0,009230;0,234300;0,225070;
0,009230;0,234300;0,225070;
0,003050;0,000000;0,003050;
0,004351;0,150269;0,145917;
0,000000;0,706967;0,706967;
0,010366;0,249090;0,238724;
0,009444;0,205999;0,196556;
0,003344;0,205999;0,202655;
0,012567;0,233966;0,221399;
0,006602;0,233966;0,227364;
0,011807;0,285347;0,273540;
0,003929;0,231848;0,227920;
0,006493;0,248978;0,242486;
0,003628;0,248978;0,245351;
0,011170;0,491015;0,479846;
0,010907;0,241782;0,230874;
0,006071;0,241782;0,235711;
0,003077;0,695226;0,692149;
0,006081;0,241782;0,235701;
0,002926;0,241782;0,238856;
0,003998;0,228272;0,224274;
0,003998;0,228272;0,224274;
0,003911;0,255914;0,252003;
0,003952;0,261966;0,258014;
0,010859;0,251843;0,240983;
0,003053;0,222027;0,218974;
0,002930;0,222027;0,219097;
0,003979;0,275869;0,271891;
0,004121;0,000000;0,004121;
0,002860;0,000000;0,002860;
0,011715;0,000000;0,011715;
0,002984;0,256321;0,253337;
0,002947;0,256321;0,253374;
0,004906;0,000000;0,004906;
0,022966;0,698885;0,675918;
0,022966;0,698885;0,675918;
0,004076;0,288722;0,284645;
0,002910;0,783838;0,780929;
0,022631;0,690317;0,667685;
0,003037;0,206529;0,203492;
0,002953;0,206529;0,203577;
0,010482;0,215908;0,205427;
0,003067;0,215908;0,212842;
0,004699;0,219864;0,215166;
0,022977;0,497614;0,474637;
0,008727;0,770560;0,761833;
0,003772;0,770560;0,766788;
0,009955;0,263034;0,253079;
0,004580;0,000000;0,004580;
0,015281;0,754634;0,739353;
0,026179;0,690435;0,664256;
0,018077;0,690435;0,672358;
0,025802;0,000000;0,025802;
0,007333;0,280103;0,272771;
0,022480;0,688140;0,665660;
0,022480;0,688140;0,665660;
0,010042;0,271485;0,261443;
0,025821;0,690309;0,664488;
0,023102;0,690309;0,667206;
0,003905;0,185673;0,181767;
0,020396;0,691959;0,671563;
0,020396;0,691959;0,671563;
0,010144;0,189584;0,179440;
0,003336;0,189584;0,186247;
0,023280;0,693778;0,670497;
0,023280;0,693778;0,670497;
0,002881;0,697138;0,694257;
0,010557;0,229408;0,218851;
0,010511;0,229408;0,218898;
0,033294;0,695575;0,662281;
0,033294;0,695575;0,662281;
0,009985;0,190744;0,180760;
0,003010;0,190744;0,187734;
0,003268;0,216036;0,212768;
0,003268;0,216036;0,212768;
0,003203;0,214663;0,211461;
0,010662;0,233866;0,223204;
0,010662;0,233866;0,223204;
0,012868;0,214372;0,201505;
0,009972;0,186963;0,176991;
0,024969;0,701650;0,676681;
0,024969;0,701650;0,676681;
0,026641;0,704692;0,678051;
0,026641;0,704692;0,678051;
0,003039;0,209033;0,205994;
