Reconstruction Coord z;Map Coord z;Error z;
0,313009;0,589168;0,276159;
0,313009;0,589168;0,276159;
0,254756;0,580950;0,326195;
0,271872;0,598111;0,326240;
0,039898;0,577651;0,537753;
0,217485;0,539594;0,322109;
0,251114;0,606561;0,355447;
0,233085;0,573880;0,340795;
0,212601;0,500984;0,288383;
0,246304;0,561680;0,315376;
0,243782;0,562785;0,319003;
0,243782;0,562785;0,319003;
0,244459;0,602901;0,358443;
0,114327;0,541347;0,427020;
0,179435;0,563376;0,383941;
0,234939;0,538428;0,303490;
0,064740;0,535951;0,471211;
0,064492;0,559275;0,494783;
0,064492;0,559275;0,494783;
0,241535;0,555596;0,314061;
0,240965;0,594618;0,353653;
0,256082;0,588485;0,332404;
0,257285;0,602122;0,344837;
0,279408;0,000000;0,279408;
0,050073;0,000000;0,050073;
0,053924;0,519155;0,465231;
0,053924;0,519155;0,465231;
0,250460;0,598927;0,348468;
0,256371;0,595169;0,338797;
0,213488;0,494402;0,280914;
0,213488;0,494402;0,280914;
0,077339;0,604671;0,527332;
0,040451;0,604671;0,564220;
0,214533;0,482737;0,268204;
0,241008;0,531473;0,290466;
0,078884;0,531473;0,452589;
0,219269;0,506103;0,286834;
0,221975;0,542326;0,320352;
0,226655;0,493640;0,266985;
0,109936;0,487831;0,377894;
0,203941;0,472311;0,268370;
0,040607;0,803166;0,762559;
0,040511;0,419150;0,378640;
0,206496;0,454423;0,247927;
0,039897;0,466085;0,426187;
0,069240;0,417832;0,348592;
0,040421;0,417082;0,376661;
0,040421;0,417082;0,376661;
0,183177;0,000000;0,183177;
0,191684;0,404384;0,212700;
0,191684;0,404384;0,212700;
0,040473;0,377689;0,337216;
0,039366;0,377689;0,338323;
0,042103;0,814131;0,772028;
0,039494;0,387009;0,347515;
0,040654;0,837017;0,796363;
0,040654;0,837017;0,796363;
0,040727;0,831258;0,790530;
0,040727;0,831258;0,790530;
0,574365;0,400989;0,173376;
0,063157;0,348956;0,285799;
0,063157;0,348956;0,285799;
0,040810;0,852729;0,811919;
0,040927;0,863671;0,822744;
0,281264;0,698643;0,417379;
0,281264;0,698643;0,417379;
0,249252;0,830226;0,580974;
0,335373;0,703110;0,367738;
0,276721;0,666698;0,389976;
0,041003;0,666698;0,625694;
0,042461;0,000000;0,042461;
0,274789;0,665262;0,390473;
0,040221;0,665262;0,625041;
