Reconstruction Coord z;Map Coord z;Error z;
0,081832;0,138611;0,056779;
0,022091;0,357264;0,335174;
0,081857;0,143542;0,061685;
0,084687;0,165092;0,080405;
0,085503;0,186119;0,100616;
0,071314;0,168633;0,097319;
0,022500;0,169789;0,147289;
0,086353;0,189537;0,103183;
0,022680;0,174683;0,152003;
0,086272;0,178231;0,091958;
0,028448;0,174930;0,146482;
0,087785;0,185856;0,098071;
0,087551;0,186056;0,098504;
0,087551;0,186056;0,098504;
0,087895;0,179974;0,092079;
0,088645;0,180349;0,091704;
0,087722;0,176410;0,088688;
0,096266;0,263694;0,167429;
0,085439;0,182871;0,097432;
0,030980;0,182871;0,151891;
0,086219;0,183195;0,096976;
0,091102;0,000000;0,091102;
0,104508;0,344830;0,240322;
0,092041;0,421144;0,329103;
0,022306;0,181016;0,158710;
0,022306;0,181016;0,158710;
0,023507;0,353293;0,329785;
0,023507;0,353293;0,329785;
0,082563;0,349797;0,267234;
0,022912;0,349797;0,326885;
0,082576;0,356709;0,274133;
0,104816;0,362591;0,257775;
0,084086;0,362591;0,278504;
0,022275;0,000000;0,022275;
0,102225;0,350170;0,247945;
0,099960;0,356677;0,256717;
0,024944;0,353664;0,328720;
0,101572;0,359247;0,257675;
0,087186;0,185163;0,097978;
0,102671;0,415167;0,312496;
0,103598;0,365594;0,261996;
0,023850;0,180193;0,156343;
0,022508;0,180193;0,157685;
0,128140;0,274143;0,146003;
0,092358;0,419970;0,327612;
0,091563;0,419970;0,328407;
0,110529;0,428411;0,317882;
0,095828;0,428411;0,332583;
0,096337;0,429734;0,333397;
0,094724;0,432545;0,337821;
0,113404;0,434031;0,320627;
0,111470;0,434031;0,322560;
0,111754;0,436089;0,324335;
0,095158;0,436089;0,340931;
0,027493;0,419264;0,391771;
0,022575;0,421932;0,399357;
0,158354;0,433872;0,275519;
0,111401;0,433872;0,322472;
0,111996;0,431457;0,319461;
0,111996;0,431457;0,319461;
0,112040;0,437470;0,325430;
0,110942;0,435329;0,324387;
0,110942;0,435329;0,324387;
0,027043;0,422336;0,395292;
0,131480;0,423574;0,292094;
0,131480;0,423574;0,292094;
0,106659;0,425933;0,319274;
0,106659;0,425933;0,319274;
0,086781;0,180495;0,093714;
0,136305;0,438277;0,301972;
0,111137;0,438277;0,327140;
0,112021;0,436171;0,324149;
0,112021;0,436171;0,324149;
0,141079;0,440586;0,299507;
0,141079;0,440586;0,299507;
