Reconstruction Coord z;Map Coord z;Error z;
0,040588;0,992083;0,951495;
0,128608;0,991493;0,862885;
0,033248;0,991493;0,958245;
0,053422;0,991095;0,937673;
0,065816;0,991203;0,925386;
0,221014;0,983267;0,762252;
0,221014;0,983267;0,762252;
0,545303;0,973079;0,427776;
0,545303;0,973079;0,427776;
0,752113;0,972359;0,220246;
0,567873;0,972359;0,404486;
0,151825;0,973307;0,821481;
0,060120;0,971924;0,911803;
0,156483;0,000000;0,156483;
0,144236;0,825224;0,680989;
0,060072;0,819698;0,759625;
0,032962;0,971697;0,938734;
0,060257;0,820681;0,760424;
0,060451;0,822026;0,761575;
0,060644;0,823446;0,762803;
0,060837;0,824550;0,763713;
0,060233;0,821826;0,761593;
0,061029;0,825658;0,764629;
0,061225;0,827324;0,766099;
0,268855;0,826356;0,557501;
0,268855;0,826356;0,557501;
0,237967;0,981015;0,743048;
0,236176;0,831053;0,594877;
0,254515;0,831285;0,576770;
0,248045;0,833107;0,585062;
0,254717;0,832650;0,577933;
0,272037;0,825540;0,553503;
0,272037;0,825540;0,553503;
0,248199;0,833601;0,585402;
0,254260;0,834785;0,580526;
0,261598;0,835526;0,573928;
0,268481;0,836216;0,567736;
0,215211;0,820414;0,605204;
0,255715;0,820269;0,564553;
0,255715;0,820269;0,564553;
0,303683;0,836900;0,533217;
0,067548;0,820781;0,753232;
0,285062;0,838338;0,553277;
0,324720;0,838317;0,513597;
0,035855;0,826177;0,790322;
0,302850;0,838673;0,535824;
0,046646;0,000000;0,046646;
0,426011;0,831556;0,405544;
0,044029;0,000000;0,044029;
0,247871;0,000000;0,247871;
0,494806;0,834872;0,340066;
0,551949;0,837260;0,285311;
0,071587;0,834748;0,763161;
0,586571;0,838275;0,251704;
0,042716;0,824228;0,781512;
0,756079;0,000000;0,756079;
0,320963;0,000000;0,320963;
0,099207;0,000000;0,099207;
0,099950;0,000000;0,099950;
0,100713;0,000000;0,100713;
0,465024;0,968807;0,503783;
0,101485;0,000000;0,101485;
0,102271;0,000000;0,102271;
0,103077;0,000000;0,103077;
0,103898;0,000000;0,103898;
0,488682;0,000000;0,488682;
0,075322;0,822468;0,747146;
0,535807;0,000000;0,535807;
0,822204;0,000000;0,822204;
0,822204;0,000000;0,822204;
0,656876;0,975866;0,318991;
0,172984;0,000000;0,172984;
0,098878;0,823234;0,724356;
0,099583;0,819459;0,719876;
0,098994;0,820559;0,721566;
0,182067;0,986365;0,804299;
0,652469;0,980119;0,327650;
0,343601;0,986281;0,642680;
0,251875;0,818530;0,566656;
0,065595;0,974658;0,909063;
0,202974;0,818835;0,615862;
0,250378;0,818229;0,567851;
0,251591;0,818324;0,566733;
0,138012;0,984123;0,846111;
0,425010;0,820276;0,395266;
0,224793;0,820182;0,595389;
0,613190;0,983080;0,369891;
0,620745;0,982771;0,362026;
0,620745;0,982771;0,362026;
0,625528;0,982042;0,356514;
0,656065;0,874915;0,218850;
0,115414;0,809102;0,693688;
0,108623;0,817589;0,708967;
0,333139;0,974702;0,641562;
0,309356;0,816541;0,507186;
0,822856;0,871771;0,048916;
0,858658;0,873875;0,015217;
0,858658;0,873875;0,015217;
1,000000;0,873348;0,126652;
1,000000;0,873348;0,126652;
0,191978;0,974742;0,782763;
0,091807;0,853905;0,762097;
0,324874;0,815786;0,490912;
0,441645;0,815869;0,374224;
0,280505;0,815869;0,535364;
0,419866;0,974889;0,555023;
0,245928;0,817410;0,571483;
0,246179;0,817104;0,570925;
0,385979;0,974309;0,588330;
0,247553;0,817196;0,569642;
0,236962;0,817838;0,580876;
0,525483;0,000000;0,525483;
0,242108;0,816601;0,574494;
0,245702;0,816597;0,570895;
0,054453;0,974048;0,919596;
0,241743;0,814767;0,573024;
0,241743;0,814767;0,573024;
0,543409;0,973162;0,429753;
0,245763;0,814294;0,568531;
0,245763;0,814294;0,568531;
0,078830;0,000000;0,078830;
0,080369;0,368651;0,288282;
0,062566;0,367250;0,304683;
0,001044;0,357337;0,356293;
0,079332;0,365773;0,286441;
0,000000;0,365940;0,365940;
0,057869;0,350630;0,292761;
0,078455;0,362865;0,284410;
0,078455;0,362865;0,284410;
0,078455;0,362865;0,284410;
0,083095;0,362652;0,279556;
0,063963;0,365507;0,301543;
0,000377;0,365798;0,365421;
0,113691;0,365302;0,251611;
0,066252;0,365260;0,299008;
0,006481;0,365006;0,358525;
0,006481;0,365006;0,358525;
0,077701;0,355498;0,277797;
0,002698;0,359959;0,357261;
0,002660;0,359959;0,357299;
0,003084;0,355641;0,352557;
0,003038;0,358881;0,355843;
0,003038;0,358881;0,355843;
0,000307;0,362159;0,361851;
0,263953;0,010586;0,253367;
0,005075;0,010586;0,005511;
0,000351;0,362040;0,361690;
0,005401;0,001260;0,004141;
0,001452;0,362060;0,360608;
0,006560;0,359892;0,353333;
0,006670;0,359790;0,353120;
0,006694;0,358109;0,351415;
0,000335;0,358855;0,358519;
0,005563;0,359802;0,354239;
0,006921;0,358864;0,351944;
0,002462;0,362090;0,359629;
0,004852;0,357468;0,352616;
0,006618;0,356682;0,350064;
0,005327;0,361981;0,356654;
0,005520;0,361990;0,356471;
0,003926;0,359866;0,355940;
0,007283;0,360206;0,352923;
0,001401;0,361517;0,360116;
0,003268;0,362052;0,358783;
0,007093;0,000581;0,006512;
