Reconstruction Coord z;Map Coord z;Error z;
1,000000;0,387571;0,612429;
1,000000;0,387571;0,612429;
0,004558;0,446363;0,441805;
0,008542;0,736187;0,727645;
0,006916;0,371547;0,364631;
0,005791;0,371547;0,365757;
0,006175;0,739124;0,732950;
0,026180;0,733414;0,707233;
0,026180;0,733414;0,707233;
0,014103;0,361063;0,346960;
0,014103;0,361063;0,346960;
0,014085;0,372205;0,358120;
0,010881;0,368436;0,357555;
0,009868;0,368436;0,358568;
0,005402;0,484183;0,478781;
0,026209;0,731382;0,705173;
0,005758;0,653912;0,648154;
0,010712;0,081178;0,070466;
0,010712;0,081178;0,070466;
0,011993;0,369081;0,357088;
0,008458;0,369081;0,360623;
0,007553;0,366799;0,359246;
0,031533;0,369972;0,338439;
0,031533;0,369972;0,338439;
0,012821;0,430174;0,417353;
0,013735;0,366657;0,352923;
0,004376;0,366657;0,362282;
0,004429;0,445886;0,441457;
0,015308;0,518794;0,503487;
0,015308;0,518794;0,503487;
0,007083;0,372458;0,365375;
0,007083;0,372458;0,365375;
0,012836;0,000000;0,012836;
0,004378;0,358633;0,354255;
0,004378;0,358633;0,354255;
0,004497;0,550565;0,546069;
0,004431;0,550565;0,546135;
0,013746;0,483169;0,469423;
0,013746;0,483169;0,469423;
0,004620;0,371267;0,366647;
0,041609;0,725955;0,684346;
0,041609;0,725955;0,684346;
0,016354;0,495008;0,478653;
0,004268;0,495008;0,490740;
0,004379;0,792309;0,787929;
0,004623;0,371720;0,367097;
0,103730;0,570306;0,466576;
0,017061;0,570306;0,553245;
0,004673;0,302046;0,297372;
0,013237;0,368955;0,355718;
0,004857;0,698798;0,693941;
0,015793;0,506549;0,490756;
0,013236;0,314035;0,300799;
0,016631;0,536411;0,519781;
0,016631;0,536411;0,519781;
0,007957;0,676998;0,669041;
0,005480;0,358047;0,352567;
0,023628;0,718371;0,694742;
0,013293;0,357888;0,344595;
0,007803;0,742538;0,734735;
0,023935;0,723140;0,699205;
0,023935;0,723140;0,699205;
0,009585;0,493476;0,483890;
0,007651;0,554978;0,547327;
0,004390;0,000000;0,004390;
0,004264;0,000000;0,004264;
0,004606;0,379521;0,374915;
0,004339;0,379521;0,375182;
0,016748;0,520475;0,503727;
0,007016;0,361287;0,354271;
0,004799;0,355447;0,350647;
0,004758;0,355447;0,350689;
0,008619;0,727613;0,718994;
0,004414;0,727613;0,723199;
0,027418;0,376381;0,348962;
0,013966;0,366935;0,352968;
0,017367;0,382178;0,364812;
0,004363;0,382178;0,377816;
0,007436;-nan(ind);-nan(ind);
0,017904;0,544181;0,526277;
0,009198;0,574405;0,565207;
0,009198;0,574405;0,565207;
0,004596;0,378354;0,373758;
0,004490;0,367532;0,363042;
0,004568;0,049974;0,045405;
0,004470;0,576959;0,572489;
0,014771;0,406757;0,391986;
0,004489;0,374087;0,369599;
0,004489;0,374087;0,369599;
0,014339;0,362756;0,348417;
0,019530;0,377412;0,357883;
0,004533;0,377412;0,372879;
0,004390;0,570440;0,566050;
0,009510;0,626359;0,616848;
0,013717;0,354231;0,340514;
0,006242;0,419871;0,413629;
0,004478;0,578617;0,574139;
0,059257;0,743175;0,683918;
0,004541;0,369811;0,365270;
0,014207;0,366313;0,352106;
0,014517;0,058753;0,044236;
0,005040;0,058753;0,053713;
0,004667;0,058753;0,054086;
0,004979;0,752908;0,747929;
0,004680;0,419711;0,415030;
0,004331;0,427027;0,422697;
0,008853;0,601503;0,592650;
0,008492;0,601503;0,593011;
0,012282;0,362587;0,350304;
0,004652;0,432028;0,427376;
0,010784;0,327302;0,316518;
0,006851;0,562348;0,555497;
0,004759;0,592005;0,587246;
0,004406;0,435084;0,430678;
0,004894;0,528240;0,523346;
0,023297;0,575184;0,551886;
0,013977;0,360085;0,346108;
0,004642;0,579758;0,575116;
0,008138;0,071207;0,063069;
0,005151;0,621097;0,615946;
0,004796;0,419125;0,414329;
0,012280;0,562294;0,550015;
0,014033;0,355871;0,341838;
0,006083;0,572408;0,566325;
0,004552;0,572408;0,567856;
0,004638;0,422796;0,418159;
0,006402;0,407850;0,401448;
0,014429;0,375562;0,361134;
0,006574;0,375562;0,368988;
0,005370;0,420776;0,415405;
0,014068;0,368966;0,354898;
