Reconstruction Coord z;Map Coord z;Error z;
0,004908;0,754156;0,749248;
0,004736;0,355220;0,350484;
0,006190;0,358549;0,352360;
0,003770;0,372649;0,368879;
0,031295;0,355311;0,324016;
0,017540;0,353546;0,336006;
0,004803;0,353546;0,348742;
0,003656;0,372765;0,369109;
0,004666;0,528720;0,524054;
0,003610;0,528720;0,525110;
0,005860;0,350784;0,344924;
0,004891;0,350784;0,345893;
0,003948;0,177290;0,173341;
0,003722;-nan(ind);-nan(ind);
0,013596;0,176419;0,162823;
0,006577;0,477646;0,471070;
0,006577;0,477646;0,471070;
0,004267;0,474104;0,469837;
0,004196;0,474104;0,469908;
0,012482;0,177366;0,164884;
0,009717;0,475807;0,466090;
0,013428;0,180408;0,166980;
0,013428;0,180408;0,166980;
0,012666;0,187986;0,175320;
0,026876;0,169648;0,142772;
0,004485;0,169648;0,165163;
0,005958;0,114811;0,108852;
0,013735;0,243461;0,229726;
0,007739;0,243461;0,235722;
0,004740;0,165298;0,160558;
0,005001;0,173869;0,168868;
0,029145;0,645544;0,616399;
0,013384;0,181109;0,167725;
0,013466;0,184537;0,171071;
0,003861;0,184537;0,180676;
0,004544;0,186068;0,181524;
0,034221;0,657125;0,622904;
0,032508;0,185707;0,153199;
0,029373;0,636452;0,607080;
0,003835;0,636452;0,632617;
0,014000;0,176320;0,162320;
0,013351;0,173678;0,160327;
0,004175;0,683810;0,679636;
0,013544;0,169859;0,156315;
0,003887;0,147787;0,143900;
0,013466;0,180273;0,166808;
0,003728;0,688074;0,684346;
0,013413;0,170268;0,156855;
0,013550;0,193191;0,179641;
0,004136;0,193191;0,189056;
0,004010;0,165635;0,161626;
0,013574;0,170282;0,156708;
0,013815;0,000000;0,013815;
0,041233;0,691644;0,650410;
0,004172;0,165146;0,160974;
0,013678;0,239372;0,225694;
0,013678;0,239372;0,225694;
0,013750;0,189136;0,175386;
0,013291;0,165228;0,151937;
0,013502;0,166594;0,153093;
0,004527;0,200059;0,195533;
0,004272;0,200059;0,195788;
0,004223;0,194927;0,190704;
0,005616;0,179389;0,173773;
0,013144;0,180361;0,167217;
0,010153;0,180361;0,170208;
0,013707;0,207111;0,193404;
0,013707;0,207111;0,193404;
0,013912;0,198478;0,184566;
0,013842;0,183513;0,169671;
0,004245;0,183513;0,179268;
0,022641;0,635647;0,613005;
0,012753;0,175738;0,162985;
0,005575;0,175738;0,170162;
0,012824;0,175761;0,162936;
0,020716;0,454540;0,433824;
0,012289;0,194906;0,182617;
0,029932;0,658249;0,628317;
0,024980;0,658249;0,633270;
0,004694;0,132417;0,127723;
0,009021;0,131727;0,122706;
0,013058;0,153086;0,140029;
0,014191;0,635540;0,621348;
0,007369;0,133003;0,125634;
0,006703;0,133003;0,126300;
0,012968;0,147205;0,134238;
0,012968;0,147205;0,134238;
0,013445;0,133190;0,119745;
0,004068;0,288479;0,284411;
0,004068;0,288479;0,284411;
0,004052;0,186353;0,182301;
0,004052;0,186353;0,182301;
0,013227;0,139135;0,125908;
0,003777;0,139135;0,135358;
0,013581;0,000000;0,013581;
0,013581;0,000000;0,013581;
0,004847;0,137641;0,132794;
0,004273;0,137641;0,133368;
0,008966;0,139685;0,130719;
0,006758;0,139685;0,132928;
0,011700;0,137964;0,126265;
0,007009;0,137964;0,130956;
0,013077;0,160675;0,147598;
0,004722;0,211640;0,206918;
0,032685;0,635366;0,602681;
0,017605;0,279793;0,262189;
0,007393;0,638249;0,630855;
0,004050;0,291310;0,287259;
0,003767;0,291310;0,287542;
0,004386;0,000000;0,004386;
0,004386;0,000000;0,004386;
0,008368;0,646297;0,637928;
0,006665;0,646297;0,639632;
0,013320;0,133736;0,120416;
0,013320;0,133736;0,120416;
0,012434;0,112698;0,100264;
0,012434;0,112698;0,100264;
0,004026;0,179350;0,175323;
0,004026;0,179350;0,175323;
0,013074;0,187876;0,174803;
0,013074;0,187876;0,174803;
0,004859;0,220651;0,215792;
0,015882;0,380315;0,364433;
0,003998;0,646544;0,642546;
0,027841;0,636609;0,608768;
0,007387;0,641049;0,633662;
0,006006;0,195327;0,189320;
0,031011;0,636123;0,605112;
0,005256;0,635492;0,630236;
0,012950;0,103766;0,090816;
0,004442;0,103766;0,099324;
0,004108;0,334773;0,330664;
0,004099;0,334773;0,330674;
0,012951;0,641015;0,628064;
0,012951;0,641015;0,628064;
0,005994;0,635184;0,629190;
0,005372;0,167665;0,162293;
0,004280;0,000000;0,004280;
0,005043;0,127286;0,122243;
0,004344;0,127286;0,122942;
0,005182;0,172834;0,167653;
0,005284;0,179690;0,174406;
0,004942;0,179690;0,174748;
0,005233;0,149435;0,144202;
0,006567;0,330302;0,323735;
0,005786;0,315664;0,309878;
0,007656;0,639381;0,631725;
0,005688;0,218664;0,212976;
0,012976;0,124152;0,111175;
0,005331;0,198619;0,193288;
0,004676;0,198619;0,193943;
0,014194;0,649880;0,635686;
0,004758;0,649880;0,645122;
0,008840;0,351227;0,342387;
0,004213;0,177901;0,173688;
0,004213;0,177901;0,173688;
0,008183;0,248333;0,240150;
0,000457;0,248333;0,247877;
0,016484;0,649007;0,632523;
0,003875;0,636730;0,632855;
0,006425;0,264942;0,258517;
0,004535;0,237316;0,232781;
0,013361;0,646262;0,632901;
0,005208;0,646262;0,641054;
0,013307;0,166237;0,152930;
0,006273;0,637775;0,631502;
0,003981;0,232298;0,228317;
0,008191;0,637785;0,629594;
0,004340;0,636668;0,632329;
0,007198;0,649577;0,642379;
0,034083;0,635577;0,601493;
0,007854;0,635577;0,627723;
0,012980;0,183071;0,170091;
0,012980;0,183071;0,170091;
0,012980;0,183071;0,170091;
0,004836;0,208360;0,203524;
0,004731;0,321795;0,317063;
0,006359;0,647232;0,640873;
0,006037;0,647232;0,641195;
0,006422;0,109350;0,102927;
0,005698;0,649758;0,644060;
0,004546;0,649758;0,645213;
0,003992;0,178166;0,174174;
0,003992;0,178166;0,174174;
0,017253;0,226268;0,209015;
0,007050;0,638040;0,630990;
0,005214;0,321954;0,316740;
0,004667;0,103298;0,098631;
0,004715;0,636370;0,631655;
0,015202;0,406466;0,391265;
0,032413;0,639690;0,607277;
0,004488;0,638551;0,634063;
0,005448;0,634766;0,629318;
0,004090;0,642902;0,638812;
0,004460;0,650009;0,645549;
0,004061;0,000000;0,004061;
0,005089;0,157086;0,151997;
0,017768;0,638678;0,620910;
0,007507;0,638678;0,631171;
0,008839;0,637260;0,628420;
0,004772;0,188706;0,183934;
0,003790;0,188706;0,184916;
0,005266;0,171961;0,166695;
0,004115;0,098413;0,094297;
0,004689;0,217023;0,212334;
0,004374;0,217023;0,212649;
0,012256;0,129959;0,117703;
0,006126;0,645474;0,639348;
0,005489;0,645474;0,639985;
