Reconstruction Coord z;Map Coord z;Error z;
0,000346;0,244968;0,244621;
0,000279;0,244968;0,244689;
0,000274;0,245717;0,245443;
0,000269;0,245717;0,245448;
0,000274;0,002899;0,002625;
0,000274;0,002899;0,002625;
0,000494;0,246202;0,245708;
0,000494;0,246202;0,245708;
0,000451;0,248473;0,248023;
0,000378;0,004192;0,003814;
0,000271;0,004728;0,004458;
0,000566;0,118354;0,117787;
0,000576;0,127345;0,126769;
0,000366;0,067718;0,067353;
0,000481;0,116725;0,116244;
0,000617;0,250812;0,250195;
0,000816;0,251269;0,250452;
0,000401;0,251269;0,250868;
0,000366;0,070651;0,070286;
0,001313;0,063480;0,062167;
0,001468;0,132249;0,130781;
0,001468;0,132249;0,130781;
0,000367;0,067524;0,067156;
0,000556;0,252371;0,251814;
0,000368;0,069841;0,069473;
0,000358;0,069841;0,069483;
0,000295;0,252351;0,252056;
0,000295;0,252351;0,252056;
0,000275;0,073089;0,072813;
0,000540;0,098610;0,098070;
0,000521;0,134431;0,133910;
0,000521;0,134431;0,133910;
0,000793;0,056705;0,055912;
0,000332;0,056705;0,056373;
0,000278;0,056705;0,056427;
0,000546;0,128853;0,128307;
0,001386;0,253137;0,251752;
0,001386;0,253137;0,251752;
0,000315;0,066382;0,066067;
0,000569;0,127671;0,127102;
0,000277;0,122955;0,122678;
0,000729;0,070352;0,069623;
0,000536;0,136679;0,136143;
0,000510;0,136679;0,136168;
0,000625;0,255373;0,254748;
0,000366;0,255373;0,255007;
0,000575;0,135983;0,135408;
0,000285;0,258359;0,258074;
0,000356;0,258774;0,258418;
0,000333;0,257671;0,257338;
0,000347;0,260101;0,259753;
0,000347;0,260101;0,259753;
0,000627;0,260559;0,259932;
0,000627;0,260559;0,259932;
0,000588;0,104197;0,103609;
0,000282;0,075066;0,074784;
0,000629;0,258927;0,258298;
0,000629;0,258927;0,258298;
0,000622;0,260384;0,259761;
0,000533;0,126023;0,125490;
0,000581;0,126627;0,126045;
0,000360;0,260802;0,260442;
0,000572;0,141305;0,140733;
0,000541;0,141305;0,140765;
0,000376;0,262937;0,262561;
0,002869;0,263720;0,260851;
0,000304;0,263720;0,263415;
0,000385;0,263557;0,263172;
0,001594;0,262530;0,260936;
0,000283;0,262530;0,262247;
0,000280;0,262530;0,262250;
0,000386;0,264004;0,263618;
0,000557;0,129423;0,128866;
0,002025;0,265078;0,263053;
0,000592;0,143407;0,142815;
0,000557;0,143407;0,142849;
0,000374;0,265872;0,265498;
0,000387;0,266254;0,265867;
0,000387;0,266254;0,265867;
0,000376;0,267531;0,267154;
0,000560;0,145867;0,145307;
0,000545;0,145867;0,145323;
0,000584;0,132539;0,131954;
0,000585;0,132797;0,132212;
0,000587;0,000000;0,000587;
0,000587;0,000000;0,000587;
0,000730;0,269490;0,268760;
0,000746;0,268834;0,268088;
0,000746;0,268834;0,268088;
0,000271;0,269961;0,269690;
0,000617;0,136129;0,135512;
0,000361;0,273422;0,273061;
0,000746;0,274139;0,273393;
0,000746;0,274139;0,273393;
0,000439;0,274139;0,273700;
0,000317;0,274139;0,273822;
0,000531;0,082144;0,081613;
0,000531;0,081320;0,080789;
0,001288;0,276245;0,274957;
