Reconstruction Coord z;Map Coord z;Error z;
0,139601;0,816956;0,677355;
0,135240;0,796528;0,661289;
0,138190;0,813015;0,674825;
0,130906;0,797659;0,666753;
0,129272;0,799844;0,670571;
0,052117;0,804211;0,752094;
0,137717;0,837616;0,699899;
0,138736;0,837926;0,699189;
0,135843;0,808408;0,672565;
0,129910;0,807987;0,678077;
0,087197;0,823162;0,735964;
0,130363;0,854812;0,724449;
0,130363;0,854812;0,724449;
0,135987;0,858907;0,722919;
0,140609;0,819786;0,679178;
0,140609;0,819786;0,679178;
0,089320;0,835816;0,746496;
0,090077;0,833331;0,743255;
0,090077;0,833331;0,743255;
0,142700;0,871281;0,728581;
0,073439;0,842685;0,769246;
0,131550;0,753431;0,621881;
0,019406;0,680239;0,660833;
0,132357;0,828449;0,696092;
0,134064;0,856803;0,722739;
0,134064;0,856803;0,722739;
0,082257;0,847718;0,765461;
0,111726;0,818538;0,706812;
0,128270;0,845331;0,717061;
0,069246;0,809055;0,739809;
0,207458;0,749286;0,541829;
0,137570;0,749286;0,611716;
0,120051;0,867024;0,746973;
0,120051;0,867024;0,746973;
0,097028;0,866141;0,769114;
0,141137;0,853702;0,712565;
0,100727;0,865253;0,764527;
0,018478;0,874983;0,856505;
0,051767;0,648861;0,597094;
0,134711;0,848829;0,714118;
0,128222;0,854531;0,726309;
0,128222;0,854531;0,726309;
0,242678;0,851633;0,608955;
0,158445;0,866246;0,707801;
0,113313;0,858464;0,745151;
0,137148;0,865689;0,728541;
0,113362;0,858996;0,745634;
0,113362;0,858996;0,745634;
0,137616;0,854646;0,717030;
0,125289;0,840256;0,714967;
0,068467;0,000000;0,068467;
0,170451;0,865915;0,695464;
0,119818;0,865915;0,746098;
0,118573;0,873613;0,755039;
0,118573;0,873613;0,755039;
0,056833;0,870196;0,813362;
0,125143;0,873984;0,748841;
0,117718;0,873984;0,756266;
0,117642;0,848571;0,730929;
0,117968;0,852827;0,734860;
0,113364;0,850322;0,736957;
0,069330;0,637382;0,568052;
0,626832;0,845134;0,218302;
0,068871;0,000000;0,068871;
0,154026;0,605361;0,451335;
0,018233;0,877353;0,859120;
0,018233;0,877353;0,859120;
0,116392;0,843511;0,727119;
0,123944;0,868720;0,744776;
0,116194;0,802789;0,686596;
0,116194;0,802789;0,686596;
0,121813;0,874881;0,753068;
0,121813;0,874881;0,753068;
0,118120;0,864256;0,746135;
0,118120;0,864256;0,746135;
0,123281;0,871011;0,747730;
0,120981;0,872000;0,751019;
0,110933;0,867289;0,756356;
0,126077;0,877223;0,751147;
0,077074;0,833326;0,756253;
0,123805;0,871699;0,747894;
0,123585;0,874724;0,751139;
0,122947;0,869456;0,746509;
0,122947;0,869456;0,746509;
0,102394;0,440785;0,338391;
0,128777;0,864980;0,736203;
