Reconstruction Coord z;Map Coord z;Error z;
0,001658;0,332283;0,330626;
0,003504;0,199271;0,195767;
0,003504;0,199271;0,195767;
0,003906;0,342689;0,338783;
0,002993;0,181431;0,178438;
0,002993;0,181431;0,178438;
0,003996;0,311249;0,307253;
0,002273;0,341550;0,339277;
0,001613;0,320157;0,318545;
0,003219;0,179781;0,176562;
0,003348;0,180361;0,177013;
0,003450;0,171112;0,167662;
0,003615;0,213933;0,210318;
0,003615;0,213933;0,210318;
0,003615;0,213933;0,210318;
0,003287;0,122555;0,119268;
0,003347;0,162275;0,158928;
0,003397;0,162657;0,159260;
0,042421;0,228419;0,185998;
0,004893;0,232545;0,227651;
0,003455;0,232545;0,229090;
0,003460;0,185446;0,181986;
0,003460;0,185446;0,181986;
0,003428;0,183479;0,180050;
0,001932;0,203922;0,201990;
0,001640;0,196820;0,195180;
0,003503;0,224610;0,221107;
0,003608;0,236023;0,232415;
0,003514;0,183243;0,179730;
0,003478;0,184608;0,181130;
0,003478;0,184608;0,181130;
0,003691;0,190915;0,187224;
0,003394;0,151612;0,148217;
0,003382;0,152462;0,149080;
0,003382;0,152462;0,149080;
0,003740;0,245241;0,241501;
0,003740;0,245241;0,241501;
0,003357;0,193686;0,190328;
0,003445;0,193096;0,189651;
0,003221;0,198619;0,195398;
0,003114;0,000000;0,003114;
0,003381;0,167913;0,164532;
0,003478;0,195709;0,192231;
0,003497;0,195467;0,191970;
0,001689;0,170247;0,168558;
0,001532;0,415401;0,413869;
0,003362;0,487256;0,483894;
0,003105;0,169368;0,166263;
0,003557;0,485958;0,482401;
0,003557;0,485958;0,482401;
0,003738;0,430332;0,426594;
0,003722;0,487428;0,483706;
0,003722;0,487428;0,483706;
0,003295;0,168634;0,165339;
0,003896;0,488439;0,484543;
0,003896;0,488439;0,484543;
0,004128;0,488468;0,484340;
0,004128;0,488468;0,484340;
0,003216;0,168630;0,165414;
0,003252;0,044339;0,041087;
0,004363;0,490343;0,485980;
0,004363;0,490343;0,485980;
0,003922;0,281917;0,277995;
0,004016;0,289557;0,285542;
0,003237;0,168167;0,164930;
0,003101;0,168225;0,165123;
0,004336;0,489578;0,485241;
0,004336;0,489578;0,485241;
0,003001;0,166688;0,163686;
0,003145;0,139058;0,135913;
0,003641;0,860783;0,857142;
0,003253;0,167715;0,164462;
0,004248;0,490942;0,486694;
0,004248;0,490942;0,486694;
0,003243;0,039698;0,036455;
0,004616;0,489588;0,484971;
0,004616;0,489588;0,484971;
0,003434;0,183838;0,180404;
0,003873;0,291776;0,287904;
0,003242;0,039452;0,036211;
0,004022;0,168093;0,164072;
0,004843;0,443034;0,438191;
0,005112;0,489142;0,484030;
0,003238;0,055025;0,051787;
0,003999;0,168333;0,164334;
0,003999;0,168333;0,164334;
0,006248;0,177957;0,171709;
0,004501;0,488846;0,484345;
0,003247;0,038242;0,034995;
0,005130;0,487213;0,482083;
0,002885;0,000000;0,002885;
0,005141;0,486994;0,481853;
0,005092;0,483458;0,478366;
0,004632;0,429328;0,424696;
0,003880;0,308680;0,304800;
0,003406;0,172474;0,169068;
0,002794;0,066562;0,063768;
0,002794;0,066562;0,063768;
0,002147;0,429352;0,427205;
0,005226;0,480913;0,475687;
0,003655;0,511358;0,507703;
0,003063;0,068463;0,065400;
0,002934;0,068463;0,065528;
0,002752;0,000000;0,002752;
0,004772;0,402253;0,397481;
0,005060;0,176822;0,171763;
0,004584;0,426532;0,421949;
0,003080;0,070535;0,067456;
0,002949;0,070535;0,067587;
0,002701;0,028285;0,025584;
0,005431;0,511873;0,506442;
0,005431;0,511873;0,506442;
0,003013;0,023783;0,020769;
0,002236;0,421024;0,418788;
0,002964;0,043689;0,040726;
0,002636;0,352111;0,349475;
0,003542;0,149738;0,146196;
0,003325;0,149363;0,146038;
0,004612;0,417320;0,412708;
0,004612;0,417320;0,412708;
0,003010;0,070993;0,067983;
0,002952;0,151274;0,148322;
0,003207;0,074452;0,071246;
0,003099;0,026016;0,022917;
0,003408;0,170535;0,167128;
0,003408;0,170535;0,167128;
0,003117;0,057241;0,054123;
0,003333;0,153718;0,150385;
0,003371;0,076821;0,073450;
0,003371;0,076821;0,073450;
0,004624;0,392135;0,387511;
0,004624;0,392135;0,387511;
0,003415;0,155186;0,151771;
0,003121;0,028723;0,025602;
0,002973;0,050468;0,047495;
0,003084;0,060571;0,057486;
0,003356;0,155716;0,152360;
0,004003;0,405918;0,401915;
0,002921;0,030125;0,027204;
0,003443;0,176931;0,173488;
0,003974;0,000000;0,003974;
0,003396;0,171230;0,167835;
0,003089;0,063958;0,060869;
0,003362;0,158464;0,155102;
0,003276;0,486898;0,483623;
0,004022;0,191300;0,187278;
0,004121;0,292445;0,288324;
0,003424;0,053897;0,050472;
0,003203;0,066946;0,063743;
0,003361;0,162196;0,158835;
0,003361;0,162196;0,158835;
0,003361;0,162196;0,158835;
0,004290;0,310241;0,305951;
0,000142;0,308808;0,308665;
0,004047;0,164235;0,160188;
0,003430;0,192526;0,189096;
0,002882;0,059364;0,056482;
0,003385;0,167918;0,164534;
0,003474;0,200661;0,197187;
0,008502;0,591683;0,583181;
0,008502;0,591683;0,583181;
0,001571;0,473401;0,471830;
0,003412;0,174195;0,170783;
0,003412;0,174195;0,170783;
0,003804;0,196743;0,192939;
0,003939;0,000000;0,003939;
0,007951;0,476495;0,468544;
0,007951;0,476495;0,468544;
0,003603;0,180230;0,176627;
0,003603;0,180230;0,176627;
0,000220;0,200974;0,200755;
0,003769;0,184247;0,180478;
0,003769;0,184247;0,180478;
0,003603;0,186560;0,182957;
0,003969;0,276040;0,272072;
0,003969;0,276040;0,272072;
0,005889;0,603784;0,597895;
0,005761;0,580544;0,574784;
0,005761;0,580544;0,574784;
0,004903;0,466584;0,461681;
0,004903;0,466584;0,461681;
0,006288;0,606782;0,600494;
0,003266;0,000000;0,003266;
0,003266;0,000000;0,003266;
0,005865;0,579400;0,573534;
0,003601;0,201859;0,198258;
0,004338;0,054472;0,050134;
0,006209;0,605181;0,598973;
0,004205;0,482935;0,478731;
0,004796;0,092332;0,087536;
0,003192;0,092332;0,089140;
0,003696;0,000000;0,003696;
0,003514;0,221903;0,218389;
0,003702;0,214768;0,211066;
0,003672;0,217847;0,214175;
0,003994;0,343260;0,339266;
0,003674;0,217847;0,214174;
0,003674;0,217847;0,214174;
0,004320;0,352121;0,347802;
0,003691;0,218580;0,214889;
0,003882;0,000000;0,003882;
0,005555;0,501472;0,495917;
0,004763;0,458146;0,453383;
0,004763;0,458146;0,453383;
0,003942;0,303707;0,299765;
0,016398;0,262919;0,246521;
0,003213;0,126237;0,123024;
0,005452;0,495208;0,489756;
0,003719;0,258516;0,254797;
0,003937;0,298348;0,294411;
0,003916;0,436058;0,432142;
0,003871;0,000000;0,003871;
0,003894;0,280084;0,276190;
0,003530;0,140349;0,136818;
0,003655;0,439877;0,436222;
0,004710;0,237409;0,232700;
0,003710;0,319752;0,316042;
0,003285;0,115788;0,112503;
0,000107;0,142776;0,142669;
0,000277;0,147209;0,146932;
0,003362;0,000000;0,003362;
0,003362;0,000000;0,003362;
0,003485;0,140655;0,137170;
0,007325;0,105330;0,098005;
0,003184;0,121820;0,118636;
0,003342;0,140683;0,137341;
0,003189;0,113157;0,109969;
0,003453;0,132200;0,128747;
0,000061;0,138135;0,138074;
0,003275;0,111756;0,108482;
0,003433;0,139035;0,135602;
0,003259;0,137968;0,134709;
0,000000;0,117634;0,117634;
0,000192;0,260819;0,260627;
0,003369;0,160447;0,157078;
0,003369;0,160447;0,157078;
0,000394;0,000000;0,000394;
0,001746;0,389201;0,387455;
0,003509;0,202405;0,198896;
0,003608;0,301454;0,297846;
0,003872;0,356059;0,352187;
0,004426;0,388081;0,383655;
1,000000;0,739132;0,260868;
0,002112;0,739679;0,737566;
0,000096;0,740731;0,740635;
0,000096;0,740731;0,740635;
0,004488;0,410698;0,406210;
0,004482;0,413996;0,409514;
0,000488;0,432223;0,431734;
0,007999;0,740747;0,732748;
0,007999;0,740747;0,732748;
0,004501;0,409588;0,405088;
0,004501;0,409588;0,405088;
0,004348;0,737722;0,733374;
0,000620;0,434515;0,433895;
0,007916;0,743555;0,735639;
0,008541;0,743253;0,734711;
0,004654;0,448734;0,444080;
0,007925;0,742975;0,735050;
0,004817;0,457108;0,452291;
0,007924;0,946069;0,938145;
0,008023;0,737839;0,729816;
0,004874;0,428140;0,423266;
0,007856;0,731397;0,723541;
0,007856;0,731397;0,723541;
0,007724;0,734091;0,726366;
0,007676;0,725329;0,717653;
0,004922;0,474060;0,469138;
0,007921;0,731251;0,723329;
0,005646;0,477692;0,472045;
0,007834;0,000000;0,007834;
0,005220;0,439877;0,434657;
0,004501;0,439877;0,435376;
0,000450;0,442310;0,441860;
0,004905;0,446904;0,441999;
0,004636;0,714352;0,709715;
0,004669;0,710340;0,705671;
0,004577;0,444614;0,440037;
0,004676;0,412934;0,408258;
0,005300;0,520605;0,515305;
0,005209;0,432586;0,427377;
0,007819;0,550078;0,542259;
0,004506;0,942438;0,937932;
0,004506;0,942438;0,937932;
0,004781;0,457503;0,452723;
0,004781;0,457503;0,452723;
0,004842;0,459108;0,454266;
0,004965;0,478292;0,473327;
0,004908;0,471523;0,466615;
0,005321;0,484694;0,479373;
0,005108;0,496579;0,491472;
0,005108;0,496579;0,491472;
