Reconstruction Coord z;Map Coord z;Error z;
1,000000;0,825113;0,174887;
0,014394;0,811032;0,796638;
0,014394;0,811032;0,796638;
0,009787;0,635086;0,625300;
0,014452;0,810570;0,796117;
0,029968;0,823542;0,793574;
0,001891;0,258591;0,256700;
0,004720;0,991447;0,986727;
0,030141;0,821914;0,791772;
0,009214;0,627950;0,618737;
0,004442;0,234147;0,229705;
0,004442;0,234147;0,229705;
0,004561;0,259803;0,255242;
0,004402;0,233023;0,228621;
0,004621;0,258670;0,254049;
0,004621;0,258670;0,254049;
0,008669;0,621914;0,613245;
0,006634;0,621914;0,615280;
0,004610;0,263569;0,258959;
0,004610;0,263569;0,258959;
0,007651;0,621718;0,614067;
0,007651;0,621718;0,614067;
0,008618;0,615551;0,606932;
0,013984;0,804245;0,790261;
0,008597;0,614875;0,606278;
0,008597;0,614875;0,606278;
0,008587;0,615877;0,607290;
0,008520;0,614949;0,606429;
0,013913;0,802996;0,789083;
0,018734;0,711750;0,693016;
0,004602;0,711750;0,707149;
0,012614;0,819250;0,806636;
0,008616;0,610765;0,602149;
0,004495;0,608806;0,604311;
0,008948;0,603376;0,594428;
0,014160;0,810839;0,796679;
0,023053;0,598329;0,575275;
0,008150;0,599028;0,590878;
0,244878;0,808182;0,563303;
0,244878;0,808182;0,563303;
0,007474;0,590507;0,583033;
0,010521;0,684976;0,674455;
0,008235;0,589285;0,581050;
0,007937;0,584353;0,576416;
0,008213;0,583474;0,575261;
0,010181;0,681352;0,671171;
0,009479;0,586406;0,576928;
0,008016;0,663669;0,655653;
0,007983;0,578849;0,570866;
0,007999;0,579242;0,571243;
0,012878;0,798005;0,785126;
0,007501;0,582148;0,574646;
0,014375;0,798992;0,784617;
0,014375;0,798992;0,784617;
0,007907;0,574234;0,566327;
0,007903;0,579424;0,571521;
0,008665;0,578613;0,569948;
0,007813;0,573274;0,565461;
0,007816;0,573815;0,565999;
0,007816;0,573815;0,565999;
0,007791;0,565181;0,557390;
0,007791;0,565181;0,557390;
0,007286;0,565465;0,558179;
0,007752;0,564000;0,556248;
0,007756;0,565440;0,557684;
0,008296;0,563659;0,555363;
0,006039;0,563659;0,557620;
0,007294;0,563982;0,556688;
0,007894;0,574187;0,566293;
0,007768;0,564505;0,556736;
0,005211;0,345252;0,340041;
0,007231;0,563051;0,555819;
0,007694;0,562090;0,554396;
0,007694;0,562090;0,554396;
0,007760;0,562309;0,554549;
0,008359;0,562558;0,554199;
0,007797;0,563253;0,555456;
0,007696;0,562539;0,554843;
0,007793;0,561287;0,553494;
0,007793;0,561287;0,553494;
0,007698;0,560280;0,552583;
0,007701;0,561507;0,553806;
0,007749;0,560426;0,552678;
0,008008;0,560118;0,552110;
0,008339;0,559572;0,551233;
0,007691;0,559572;0,551880;
0,005313;0,353264;0,347951;
0,005212;0,353264;0,348052;
0,009652;0,557455;0,547803;
0,007642;0,557293;0,549651;
0,009982;0,556016;0,546035;
0,002430;0,430300;0,427870;
0,008241;0,555347;0,547106;
0,007591;0,553825;0,546234;
0,007558;0,552824;0,545267;
0,012849;0,792191;0,779342;
0,007447;0,552339;0,544892;
0,007564;0,551815;0,544251;
0,007564;0,551815;0,544251;
0,007591;0,553252;0,545662;
0,005331;0,357553;0,352222;
0,005338;0,357484;0,352146;
0,007557;0,550991;0,543434;
0,007557;0,550991;0,543434;
0,007579;0,552923;0,545345;
0,005311;0,357563;0,352252;
0,007449;0,550690;0,543240;
0,007495;0,551241;0,543746;
0,007495;0,551241;0,543746;
0,007678;0,550680;0,543002;
0,005810;0,433336;0,427526;
0,005684;0,348388;0,342704;
0,007368;0,549295;0,541927;
0,007491;0,549276;0,541785;
0,007480;0,547741;0,540261;
0,007471;0,547754;0,540283;
0,005739;0,434058;0,428319;
0,007447;0,547521;0,540074;
0,007426;0,545645;0,538220;
0,007410;0,545441;0,538032;
0,007273;0,545441;0,538168;
0,005986;0,435640;0,429653;
0,002608;0,791026;0,788418;
0,007563;0,545276;0,537713;
0,007420;0,545276;0,537856;
0,007400;0,544938;0,537538;
0,007396;0,545197;0,537801;
0,006033;0,436426;0,430393;
0,007333;0,543295;0,535963;
0,007333;0,543295;0,535963;
0,007430;0,542954;0,535523;
0,007430;0,542954;0,535523;
0,007511;0,595644;0,588132;
0,007408;0,542133;0,534725;
0,007408;0,542133;0,534725;
0,005312;0,360511;0,355199;
0,013506;0,787318;0,773812;
0,025399;0,788450;0,763051;
0,002322;0,790696;0,788373;
0,002086;0,791419;0,789333;
0,007357;0,539153;0,531796;
0,007398;0,538837;0,531440;
0,007398;0,538837;0,531440;
0,005307;0,354230;0,348923;
0,007352;0,538471;0,531119;
0,007372;0,537926;0,530554;
0,005916;0,419488;0,413572;
0,007264;0,536582;0,529318;
0,012688;0,782623;0,769935;
0,013156;0,782771;0,769615;
0,013823;0,786663;0,772840;
0,003375;0,570733;0,567358;
0,007317;0,537095;0,529779;
0,004307;0,532802;0,528495;
0,009654;0,780052;0,770398;
0,009443;0,780750;0,771307;
0,002196;0,761540;0,759344;
0,013134;0,779670;0,766536;
0,013223;0,780123;0,766900;
0,002932;0,249851;0,246919;
0,002935;0,249908;0,246973;
0,007083;0,523547;0,516464;
0,007083;0,523547;0,516464;
0,007085;0,523649;0,516564;
0,002991;0,242947;0,239957;
0,003245;0,626464;0,623218;
0,004540;0,762628;0,758087;
0,003267;0,628615;0,625348;
0,003290;0,021446;0,018156;
0,003288;0,020148;0,016860;
0,003288;0,020148;0,016860;
0,003316;0,026663;0,023346;
0,003319;0,250758;0,247438;
0,003360;0,631633;0,628273;
0,003373;0,250875;0,247502;
0,012827;0,777075;0,764248;
0,003347;0,594254;0,590908;
0,006930;0,495840;0,488909;
0,015547;0,776569;0,761022;
0,006807;0,493829;0,487022;
0,011157;0,758853;0,747696;
0,014707;0,775244;0,760537;
0,013092;0,776636;0,763544;
0,013092;0,776636;0,763544;
0,002623;0,776636;0,774013;
0,011638;0,774455;0,762817;
0,004893;0,776191;0,771298;
0,004893;0,776191;0,771298;
0,012538;0,748581;0,736044;
0,011860;0,775203;0,763343;
0,006163;0,773302;0,767139;
0,004016;0,485213;0,481197;
0,003241;0,555867;0,552626;
0,013956;0,773489;0,759533;
0,012542;0,772246;0,759703;
0,012542;0,772246;0,759703;
0,004263;0,479143;0,474880;
0,002932;0,772876;0,769944;
0,003252;0,772478;0,769226;
0,004123;0,770266;0,766142;
0,004147;0,769522;0,765375;
0,013245;0,768489;0,755244;
0,003231;0,769860;0,766629;
0,005868;0,461090;0,455223;
0,005527;0,394492;0,388965;
0,005663;0,450735;0,445072;
0,005375;0,361257;0,355882;
0,005401;0,363914;0,358514;
0,000379;0,766751;0,766372;
0,000379;0,766751;0,766372;
0,006736;0,761207;0,754472;
0,000000;0,762932;0,762932;
0,005114;0,339940;0,334827;
0,005504;0,339384;0,333880;
0,005504;0,339384;0,333880;
0,000362;0,764472;0,764110;
0,005231;0,762725;0,757494;
0,005098;0,332085;0,326987;
0,004428;0,760609;0,756181;
0,005072;0,330496;0,325424;
0,005085;0,329744;0,324659;
0,004502;0,759659;0,755157;
0,004900;0,761358;0,756458;
0,005063;0,763205;0,758142;
0,004474;0,324142;0,319668;
0,004474;0,324142;0,319668;
0,005016;0,324571;0,319555;
0,005048;0,324533;0,319485;
0,005067;0,324746;0,319679;
0,005023;0,324946;0,319923;
0,004951;0,314182;0,309230;
0,004955;0,312268;0,307313;
0,005127;0,758014;0,752886;
0,004953;0,310076;0,305123;
0,004888;0,303697;0,298809;
0,004887;0,302959;0,298073;
0,000139;0,756671;0,756533;
0,007917;0,755689;0,747773;
0,005993;0,305274;0,299281;
0,005993;0,305274;0,299281;
0,006412;0,303307;0,296896;
0,005268;0,293905;0,288637;
0,006379;0,303671;0,297293;
0,006379;0,303671;0,297293;
0,006957;0,303312;0,296355;
0,007227;0,290847;0,283620;
0,022444;0,304474;0,282030;
