Reconstruction Coord z;Map Coord z;Error z;
0,031558;0,651268;0,619711;
0,031069;0,650192;0,619123;
0,031869;0,650710;0,618841;
0,031869;0,650710;0,618841;
0,030891;0,653298;0,622406;
0,031080;0,649859;0,618779;
0,032857;0,671115;0,638258;
0,033936;0,686996;0,653060;
0,033936;0,686996;0,653060;
0,031703;0,652516;0,620812;
0,007347;0,652516;0,645168;
0,031130;0,652434;0,621304;
0,007371;0,652434;0,645063;
0,031263;0,648880;0,617617;
0,031263;0,648880;0,617617;
0,039367;0,732117;0,692750;
0,031349;0,650228;0,618880;
0,018650;0,650521;0,631871;
0,030802;0,649883;0,619081;
0,030802;0,649883;0,619081;
0,051224;0,771264;0,720040;
0,011453;0,772674;0,761221;
0,030528;0,647727;0,617199;
0,030611;0,648626;0,618015;
0,032105;0,648199;0,616094;
0,031059;0,648161;0,617101;
0,030887;0,648762;0,617876;
0,030576;0,650010;0,619434;
0,030576;0,650010;0,619434;
0,031273;0,647454;0,616181;
0,030816;0,647353;0,616537;
0,007858;0,649581;0,641723;
0,031034;0,647221;0,616187;
0,041750;0,774609;0,732859;
0,030929;0,647810;0,616880;
0,030929;0,647810;0,616880;
0,031051;0,648448;0,617396;
0,030688;0,647225;0,616536;
0,030700;0,646917;0,616217;
0,041955;0,774287;0,732332;
0,030790;0,647636;0,616846;
0,007797;0,647636;0,639839;
0,135154;0,646564;0,511410;
0,030756;0,647299;0,616543;
0,057605;0,878995;0,821390;
0,056645;0,984452;0,927807;
0,040363;0,835386;0,795023;
0,038926;0,755890;0,716964;
0,035734;0,710769;0,675035;
0,037463;0,709983;0,672520;
0,056654;0,000000;0,056654;
0,036818;0,000000;0,036818;
0,036818;0,000000;0,036818;
0,036024;0,698805;0,662782;
0,013678;0,698805;0,685127;
0,036003;0,701773;0,665770;
0,010612;0,782425;0,771813;
0,044153;0,697792;0,653638;
0,007031;0,983072;0,976041;
0,034992;0,000000;0,034992;
0,008305;0,044320;0,036015;
0,035482;0,857325;0,821844;
0,008530;0,046039;0,037510;
0,034445;0,000000;0,034445;
0,034445;0,000000;0,034445;
0,006770;0,791987;0,785218;
0,009599;0,045834;0,036235;
0,007972;0,044872;0,036899;
0,018620;0,044196;0,025577;
0,010495;0,046429;0,035935;
0,010550;0,041966;0,031416;
0,016756;0,043603;0,026847;
0,009994;0,018782;0,008788;
0,015910;0,044126;0,028216;
0,017180;0,646296;0,629115;
0,017180;0,646296;0,629115;
0,010764;0,042370;0,031606;
0,009178;0,043398;0,034220;
0,007389;0,025207;0,017817;
0,008156;0,041781;0,033625;
0,015958;0,041949;0,025991;
0,010194;0,024826;0,014632;
0,009019;0,038779;0,029760;
0,010516;0,044876;0,034360;
0,010183;0,024042;0,013860;
0,007026;0,758313;0,751287;
0,007583;0,026218;0,018635;
0,010221;0,026297;0,016076;
0,026930;0,754729;0,727799;
0,010228;0,027634;0,017406;
0,010175;0,023816;0,013641;
1,000000;0,039457;0,960543;
0,008251;0,024370;0,016119;
0,010192;0,024380;0,014188;
0,010279;0,038979;0,028700;
0,009499;0,039243;0,029743;
0,011552;0,025465;0,013913;
0,010219;0,027543;0,017324;
0,010163;0,023704;0,013540;
0,010108;0,023016;0,012909;
0,010242;0,027992;0,017750;
0,010493;0,041827;0,031335;
0,008371;0,024788;0,016417;
