Reconstruction Coord z;Map Coord z;Error z;
0,020385;0,126268;0,105883;
0,031512;0,361686;0,330174;
0,013049;0,278802;0,265753;
0,009351;0,365490;0,356139;
0,036415;0,363380;0,326965;
0,034795;0,365142;0,330347;
0,034795;0,365142;0,330347;
0,014468;0,438328;0,423859;
0,027563;0,334584;0,307021;
0,038562;0,364556;0,325994;
0,032311;0,355631;0,323320;
0,034886;0,463218;0,428332;
0,049546;0,368572;0,319026;
0,014893;0,435556;0,420664;
0,021919;0,367427;0,345508;
0,021919;0,367427;0,345508;
0,007403;0,138458;0,131055;
0,014135;0,140528;0,126393;
0,036424;0,440836;0,404411;
0,037351;0,437154;0,399804;
0,036434;0,372220;0,335786;
0,019643;0,000000;0,019643;
0,039746;0,438366;0,398620;
0,039746;0,438366;0,398620;
0,039507;0,437868;0,398361;
0,017208;0,462656;0,445448;
0,003876;0,462656;0,458780;
0,044722;0,463394;0,418672;
0,036571;0,439313;0,402741;
0,019825;0,144200;0,124375;
0,035982;0,000000;0,035982;
0,039485;0,439269;0,399784;
0,038742;0,375127;0,336385;
0,006794;0,153070;0,146276;
0,137294;0,299457;0,162163;
0,026191;0,299457;0,273266;
0,037796;0,442260;0,404465;
0,041265;0,463602;0,422337;
0,040224;0,441786;0,401562;
0,034140;0,377141;0,343001;
0,034140;0,377141;0,343001;
0,034140;0,377141;0,343001;
0,043379;0,464764;0,421385;
0,028829;0,306103;0,277274;
0,040156;0,468259;0,428103;
0,014168;0,465042;0,450874;
0,041118;0,468419;0,427301;
0,041477;0,467363;0,425886;
0,039549;0,442480;0,402931;
0,054229;0,565622;0,511393;
0,023261;0,382970;0,359709;
0,039886;0,443199;0,403313;
0,039886;0,443199;0,403313;
0,051664;0,443558;0,391894;
0,048450;0,385028;0,336577;
0,035616;0,383131;0,347515;
0,053517;0,565138;0,511621;
0,040143;0,446483;0,406340;
0,039771;0,444980;0,405210;
0,020609;0,168931;0,148323;
0,040189;0,444961;0,404772;
0,040189;0,444961;0,404772;
0,034794;0,385438;0,350644;
