Reconstruction Coord z;Map Coord z;Error z;
0,092686;0,023936;0,068750;
0,092686;0,023936;0,068750;
0,092593;0,026370;0,066222;
0,093270;0,028345;0,064924;
0,093270;0,028345;0,064924;
0,091963;0,823071;0,731109;
0,092771;0,023692;0,069079;
0,092771;0,023692;0,069079;
0,092951;0,026545;0,066407;
0,093342;0,029376;0,063966;
0,093579;0,028876;0,064703;
0,092892;0,025792;0,067100;
0,092769;0,024654;0,068116;
0,080340;0,026491;0,053848;
0,093348;0,028338;0,065011;
0,074100;0,028338;0,045763;
0,068725;0,000000;0,068725;
0,263057;0,825287;0,562230;
0,061112;0,827925;0,766814;
0,063736;0,629825;0,566089;
0,211896;0,610956;0,399059;
0,334211;0,778550;0,444339;
0,119593;0,221776;0,102183;
0,130020;0,224527;0,094507;
0,101892;0,174031;0,072140;
0,127213;0,711940;0,584726;
0,059131;0,209240;0,150109;
0,129326;0,216062;0,086737;
0,129326;0,216062;0,086737;
0,056242;0,222183;0,165941;
0,130920;0,000000;0,130920;
0,135742;0,813204;0,677462;
0,348751;0,818578;0,469827;
0,129464;0,219389;0,089925;
0,129464;0,219389;0,089925;
0,123838;0,215617;0,091779;
0,128796;0,213229;0,084433;
0,128796;0,213229;0,084433;
0,055008;0,218162;0,163154;
0,095108;0,030334;0,064774;
0,096481;0,172245;0,075764;
0,098905;0,818815;0,719910;
0,058894;0,099453;0,040559;
0,097498;0,051328;0,046170;
0,097132;0,050016;0,047116;
0,128001;0,213279;0,085278;
0,128001;0,213279;0,085278;
0,194728;0,000000;0,194728;
0,098837;0,073890;0,024947;
0,098837;0,073890;0,024947;
0,098496;0,000000;0,098496;
0,098496;0,000000;0,098496;
0,121607;0,183661;0,062055;
0,098968;0,152522;0,053555;
0,098968;0,152522;0,053555;
0,050386;0,221882;0,171496;
0,096793;0,044852;0,051941;
0,096793;0,044852;0,051941;
0,094994;0,000000;0,094994;
0,094994;0,000000;0,094994;
0,000000;0,157029;0,157029;
0,067933;0,179040;0,111107;
0,113440;0,160989;0,047549;
0,054972;0,197000;0,142028;
0,162904;0,125964;0,036940;
0,162904;0,125964;0,036940;
0,129270;0,000000;0,129270;
0,309026;0,793798;0,484772;
0,112201;0,153745;0,041545;
0,321050;0,802172;0,481122;
0,068405;0,000000;0,068405;
0,094148;0,043359;0,050789;
0,094148;0,043359;0,050789;
