Reconstruction Coord z;Map Coord z;Error z;
0,007104;0,481961;0,474856;
0,016927;0,490136;0,473209;
0,002425;0,493958;0,491533;
0,005722;0,490654;0,484931;
0,017071;0,497607;0,480536;
0,017071;0,497607;0,480536;
0,017071;0,497607;0,480536;
0,004767;0,497607;0,492840;
0,017097;0,496748;0,479651;
0,017087;0,500952;0,483865;
0,003005;0,510400;0,507395;
0,017073;0,501555;0,484482;
0,017073;0,501555;0,484482;
0,017148;0,489508;0,472360;
0,017148;0,489508;0,472360;
0,015965;0,577024;0,561059;
0,016894;0,500632;0,483739;
0,017501;0,500681;0,483180;
0,017553;0,499279;0,481726;
0,016824;0,492867;0,476043;
0,017151;0,497949;0,480798;
0,008417;0,503615;0,495198;
0,016945;0,498746;0,481801;
0,016945;0,498746;0,481801;
0,017381;0,508491;0,491110;
0,002527;0,508436;0,505908;
0,017175;0,667191;0,650016;
0,016909;0,503112;0,486202;
0,017172;0,506780;0,489608;
0,017505;0,512445;0,494940;
0,017558;0,508652;0,491094;
0,003428;0,508652;0,505224;
0,017472;0,513017;0,495545;
0,017472;0,513017;0,495545;
0,017440;0,510823;0,493383;
0,016261;0,513820;0,497559;
0,012654;0,000000;0,012654;
0,017479;0,000000;0,017479;
0,016837;0,500233;0,483396;
0,017480;0,503742;0,486262;
0,017008;0,498729;0,481721;
0,017008;0,498729;0,481721;
0,009714;0,524335;0,514621;
0,017660;0,521084;0,503424;
0,017660;0,521084;0,503424;
0,017532;0,516182;0,498650;
0,017400;0,609327;0,591927;
0,017830;0,523092;0,505262;
0,017830;0,523092;0,505262;
0,019108;0,525773;0,506665;
0,018092;0,523886;0,505794;
0,007821;0,511235;0,503414;
0,009181;0,157698;0,148516;
0,008859;0,150032;0,141173;
0,009290;0,146580;0,137290;
0,003240;0,551548;0,548308;
0,005281;0,557610;0,552329;
0,011824;0,573195;0,561371;
0,021005;0,573125;0,552120;
0,008320;0,076184;0,067865;
0,020601;0,571042;0,550441;
0,008704;0,082108;0,073404;
0,003278;0,096277;0,092999;
0,019137;0,575441;0,556304;
0,008741;0,095074;0,086334;
0,008863;0,097934;0,089071;
0,008863;0,097934;0,089071;
0,008626;0,085042;0,076415;
0,008717;0,095475;0,086758;
0,008685;0,089783;0,081098;
0,008548;0,092899;0,084350;
0,008548;0,092899;0,084350;
