Reconstruction Coord z;Map Coord z;Error z;
0,038074;0,000000;0,038074;
0,030651;0,000000;0,030651;
0,034915;0,000000;0,034915;
0,028179;0,231124;0,202944;
0,023838;0,037973;0,014135;
0,023838;0,037973;0,014135;
0,033987;0,000000;0,033987;
0,034740;0,000000;0,034740;
0,033474;0,000000;0,033474;
0,033450;0,294012;0,260563;
0,033525;0,272201;0,238676;
0,033525;0,272201;0,238676;
0,033473;0,450642;0,417169;
0,033316;0,000000;0,033316;
0,033316;0,000000;0,033316;
0,033296;0,297569;0,264273;
0,034031;0,293555;0,259523;
0,034096;0,283671;0,249575;
0,033410;0,292868;0,259457;
0,033408;0,282554;0,249147;
0,033150;0,296962;0,263812;
0,033150;0,296962;0,263812;
0,033524;0,302661;0,269137;
0,035207;0,275238;0,240031;
0,035207;0,275238;0,240031;
0,034325;0,288841;0,254516;
0,034320;0,304779;0,270459;
0,034320;0,304779;0,270459;
0,035964;0,367518;0,331555;
0,035964;0,367518;0,331555;
0,034459;0,551015;0,516556;
0,035994;0,000000;0,035994;
0,039907;0,000000;0,039907;
0,038172;0,583296;0,545124;
0,038803;0,000000;0,038803;
0,038018;0,396500;0,358482;
0,048338;0,000000;0,048338;
0,035467;0,000000;0,035467;
0,037162;0,636751;0,599589;
0,037162;0,636751;0,599589;
0,034524;0,623680;0,589156;
0,037966;0,364782;0,326816;
0,037966;0,364782;0,326816;
0,052346;0,684753;0,632407;
0,045373;0,644854;0,599481;
0,055448;0,726628;0,671181;
0,052390;0,734234;0,681844;
0,054476;0,736149;0,681673;
0,048627;0,713499;0,664872;
0,017000;0,341905;0,324904;
0,035723;0,348925;0,313202;
0,035723;0,348925;0,313202;
0,018666;0,344178;0,325512;
0,050904;0,619893;0,568989;
0,036282;0,363809;0,327527;
0,014388;0,363809;0,349421;
0,058425;0,745496;0,687072;
0,048824;0,688412;0,639588;
0,020350;0,328949;0,308599;
0,017346;0,328949;0,311603;
0,051991;0,755339;0,703348;
0,353108;0,336281;0,016827;
0,033721;0,317314;0,283594;
0,033703;0,308209;0,274507;
0,019092;0,327090;0,307998;
0,019092;0,327090;0,307998;
0,034146;0,317478;0,283332;
0,033509;0,325383;0,291875;
0,033659;0,318646;0,284986;
0,019266;0,325407;0,306141;
0,016377;0,325407;0,309029;
0,033482;0,348186;0,314704;
0,034747;0,318999;0,284252;
0,034747;0,318999;0,284252;
