Reconstruction Coord z;Map Coord z;Error z;
0,091729;0,570210;0,478482;
0,020616;0,587292;0,566677;
0,092193;0,326300;0,234108;
0,038921;0,619687;0,580766;
0,141976;0,592635;0,450659;
0,141976;0,592635;0,450659;
0,142391;0,599319;0,456928;
0,096136;0,336786;0,240650;
0,142347;0,595148;0,452801;
0,080864;0,608544;0,527680;
0,094172;0,589321;0,495149;
0,093658;0,340764;0,247107;
0,149304;0,605248;0,455944;
0,145993;0,609834;0,463841;
0,145993;0,609834;0,463841;
0,148153;0,621791;0,473638;
0,145490;0,610706;0,465215;
0,111668;0,612510;0,500842;
0,148679;0,630205;0,481526;
0,147775;0,618163;0,470389;
0,146710;0,618099;0,471389;
0,026395;0,618099;0,591704;
0,149662;0,622713;0,473051;
0,095692;0,000000;0,095692;
0,150194;0,624790;0,474596;
0,117874;0,629956;0,512082;
0,097133;0,361992;0,264859;
0,084776;0,000000;0,084776;
0,149987;0,626558;0,476571;
0,151536;0,628401;0,476865;
0,100384;0,625185;0,524800;
0,040734;0,647995;0,607260;
0,031113;0,636287;0,605174;
0,110693;0,633774;0,523082;
0,343734;0,638445;0,294711;
0,030936;0,638332;0,607396;
0,120038;0,635006;0,514969;
0,120038;0,635006;0,514969;
0,032524;0,640763;0,608240;
0,062554;0,051694;0,010860;
0,062554;0,051694;0,010860;
0,032066;0,640990;0,608924;
0,089830;0,640923;0,551093;
0,064322;0,077050;0,012728;
0,063294;0,073339;0,010045;
0,154193;0,639183;0,484990;
0,154193;0,639183;0,484990;
0,065123;0,088396;0,023272;
0,017597;0,064923;0,047327;
0,154592;0,641580;0,486988;
0,064788;0,077095;0,012307;
0,154890;0,644422;0,489531;
0,066224;0,102761;0,036537;
0,064313;0,078174;0,013861;
0,245380;0,646036;0,400656;
0,065648;0,093479;0,027831;
0,063329;0,051829;0,011500;
0,063476;0,052071;0,011404;
0,066781;0,101785;0,035005;
0,066781;0,101785;0,035005;
0,057571;0,000000;0,057571;
0,270157;0,665135;0,394978;
0,061797;0,095923;0,034127;
0,154744;0,647769;0,493025;
0,150498;0,000000;0,150498;
0,071779;0,080952;0,009173;
0,071779;0,080952;0,009173;
0,230908;0,657784;0,426877;
