Reconstruction Coord z;Map Coord z;Error z;
0,305817;0,230661;0,075156;
0,646357;0,231723;0,414633;
0,357066;0,000000;0,357066;
0,350819;0,000000;0,350819;
0,361844;-nan(ind);-nan(ind);
0,311422;0,247892;0,063530;
0,319069;0,246160;0,072909;
0,548267;0,242435;0,305832;
0,333584;0,249269;0,084315;
0,317650;0,252700;0,064950;
0,086757;0,412783;0,326026;
0,086757;0,412783;0,326026;
0,471937;0,472742;0,000805;
0,471937;0,472742;0,000805;
0,070245;0,000000;0,070245;
0,278027;0,053796;0,224231;
0,079662;0,430470;0,350808;
0,076321;0,114756;0,038435;
0,270483;0,046044;0,224439;
0,271518;0,042040;0,229479;
0,462506;0,478644;0,016138;
0,278063;0,038610;0,239453;
0,273106;0,000000;0,273106;
0,273106;0,000000;0,273106;
0,274785;0,000000;0,274785;
0,274785;0,000000;0,274785;
0,261346;0,520850;0,259504;
0,269494;0,479451;0,209956;
0,242376;0,277285;0,034909;
0,233244;0,058631;0,174613;
0,211905;0,004798;0,207107;
0,141453;0,534984;0,393531;
0,141453;0,534984;0,393531;
0,309585;0,228317;0,081267;
0,309585;0,228317;0,081267;
0,323293;0,243375;0,079919;
0,295666;0,337683;0,042017;
0,210913;0,007757;0,203155;
0,311543;0,233103;0,078440;
0,303039;0,235450;0,067589;
0,075893;0,581653;0,505760;
0,225480;0,447486;0,222005;
0,225480;0,447486;0,222005;
0,233808;0,000000;0,233808;
0,523330;0,540658;0,017328;
0,534636;0,534162;0,000474;
0,077185;0,534162;0,456977;
0,255226;0,447687;0,192462;
0,244669;0,092869;0,151800;
0,244669;0,092869;0,151800;
0,569927;0,535197;0,034729;
0,241803;0,090143;0,151660;
0,585125;0,626385;0,041260;
0,243400;0,091258;0,152142;
0,114792;0,693148;0,578356;
0,629752;0,644677;0,014925;
0,629752;0,644677;0,014925;
0,282603;0,143651;0,138952;
0,282603;0,143651;0,138952;
0,495480;0,498793;0,003313;
0,581162;0,636753;0,055592;
0,279627;0,160002;0,119625;
0,279627;0,160002;0,119625;
0,307834;0,229742;0,078092;
0,267714;0,234300;0,033414;
0,267714;0,234300;0,033414;
0,302266;0,249090;0,053176;
0,274208;0,205999;0,068209;
0,326761;0,491015;0,164255;
0,318743;0,241782;0,076961;
0,317280;0,251843;0,065438;
0,342975;0,000000;0,342975;
0,685708;0,698885;0,013177;
0,685708;0,698885;0,013177;
