Reconstruction Coord z;Map Coord z;Error z;
0,134317;0,138611;0,004294;
0,031340;0,357264;0,325925;
0,134359;0,143542;0,009183;
0,139239;0,165092;0,025853;
0,140644;0,186119;0,045475;
0,142110;0,189537;0,047427;
0,032356;0,174683;0,142328;
0,141971;0,178231;0,036260;
0,144578;0,185856;0,041278;
0,144175;0,186056;0,041881;
0,144175;0,186056;0,041881;
0,144768;0,179974;0,035207;
0,146061;0,180349;0,034288;
0,144469;0,176410;0,031941;
0,159197;0,263694;0,104498;
0,140533;0,182871;0,042337;
0,141879;0,183195;0,041316;
0,150296;0,000000;0,150296;
0,173404;0,344830;0,171426;
0,151914;0,421144;0,269230;
0,031712;0,181016;0,149304;
0,031712;0,181016;0,149304;
0,173934;0,362591;0,188657;
0,031657;0,000000;0,031657;
0,169469;0,350170;0,180701;
0,165564;0,356677;0,191113;
0,168343;0,359247;0,190904;
0,143545;0,185163;0,041619;
0,171835;0,365594;0,193759;
0,032059;0,180193;0,148134;
0,214138;0,274143;0,060005;
0,183781;0,428411;0,244629;
0,156539;0,432545;0,276006;
0,188738;0,434031;0,245293;
0,185405;0,434031;0,248626;
0,185893;0,436089;0,250196;
0,157286;0,436089;0,278803;
0,032175;0,421932;0,389757;
0,185285;0,433872;0,248588;
0,186311;0,431457;0,245146;
0,186311;0,431457;0,245146;
0,186386;0,437470;0,251083;
0,184495;0,435329;0,250835;
0,184495;0,435329;0,250835;
0,142847;0,180495;0,037648;
0,228213;0,438277;0,210064;
0,184830;0,438277;0,253447;
0,186355;0,436171;0,249816;
0,186355;0,436171;0,249816;
0,147879;0,210056;0,062177;
0,166348;0,444004;0,277655;
0,171527;0,463300;0,291774;
0,158385;0,279823;0,121437;
0,170438;0,000000;0,170438;
0,186965;0,000000;0,186965;
0,205160;0,471436;0,266276;
0,129786;0,397857;0,268072;
0,145385;0,458499;0,313115;
0,191453;0,529888;0,338435;
0,107133;0,532718;0,425586;
0,067607;0,532718;0,465111;
0,151008;0,246289;0,095281;
0,091095;0,536524;0,445429;
0,071698;0,537754;0,466056;
0,153939;0,255080;0,101141;
0,122306;0,546096;0,423791;
0,078565;0,546096;0,467532;
0,118497;0,549345;0,430849;
0,139719;0,550253;0,410534;
0,153906;0,261541;0,107635;
0,174107;0,327934;0,153826;
0,179737;0,508176;0,328439;
0,242812;0,560174;0,317362;
0,164599;0,560174;0,395576;
0,123657;0,273818;0,150161;
0,157240;0,280920;0,123680;
0,169873;0,325807;0,155935;
0,157311;0,288133;0,130822;
0,166614;0,000000;0,166614;
0,059573;0,300848;0,241275;
0,059573;0,300848;0,241275;
0,168520;0,343595;0,175075;
0,167212;0,337708;0,170496;
0,169398;0,347534;0,178135;
0,163721;0,312834;0,149113;
0,160601;0,294127;0,133526;
0,046423;0,315901;0,269478;
0,167015;0,327766;0,160752;
0,157038;0,301335;0,144297;
0,172972;0,598078;0,425107;
0,188575;0,543453;0,354878;
0,182303;0,352284;0,169981;
0,187129;0,336682;0,149553;
0,211116;0,545704;0,334588;
0,224393;0,308445;0,084053;
0,164647;0,323296;0,158650;
0,164647;0,323296;0,158650;
0,163566;0,324714;0,161148;
0,166819;0,320132;0,153314;
0,225204;0,315035;0,089831;
0,168310;0,343188;0,174878;
0,053697;0,349202;0,295504;
0,210968;0,554845;0,343877;
0,237095;0,582834;0,345739;
0,098224;0,343973;0,245749;
0,210771;0,578246;0,367475;
0,050221;0,325958;0,275737;
0,170507;0,336152;0,165645;
0,176845;0,352247;0,175401;
0,169294;0,336234;0,166939;
0,164889;0,333919;0,169030;
0,123875;0,339307;0,215433;
0,166421;0,333919;0,167498;
0,202383;0,479894;0,277511;
0,166552;0,344343;0,177791;
0,198493;0,506162;0,307669;
0,197031;0,000000;0,197031;
0,197031;0,000000;0,197031;
0,229130;0,639866;0,410736;
0,229130;0,639866;0,410736;
0,180646;0,354504;0,173858;
0,181882;0,471572;0,289690;
0,169375;0,353820;0,184446;
0,169375;0,353820;0,184446;
0,873668;0,352253;0,521415;
0,238603;0,660286;0,421682;
0,238603;0,660286;0,421682;
0,155825;0,376151;0,220326;
0,241574;0,662536;0,420962;
0,241574;0,662536;0,420962;
0,167745;0,349496;0,181751;
0,167745;0,349496;0,181751;
0,177373;0,364681;0,187308;
0,177719;0,374904;0,197186;
0,167823;0,353892;0,186069;
0,096207;0,353892;0,257685;
0,162045;0,352326;0,190281;
0,164402;0,356381;0,191979;
0,178550;0,383633;0,205083;
0,170548;0,364158;0,193610;
0,170548;0,364158;0,193610;
0,172194;0,367691;0,195497;
0,172194;0,367691;0,195497;
0,177003;0,393121;0,216118;
0,175517;0,000000;0,175517;
0,248629;0,708084;0,459455;
0,248629;0,708084;0,459455;
0,202768;0,487236;0,284468;
0,198528;0,494449;0,295921;
0,264404;0,714586;0,450182;
0,198722;0,559364;0,360642;
0,242920;0,709808;0,466888;
0,202773;0,514678;0,311905;
0,195716;0,496151;0,300435;
0,195716;0,496151;0,300435;
