Reconstruction Coord z;Map Coord z;Error z;
0,427231;0,973079;0,545848;
0,412311;0,973079;0,560768;
0,443735;0,972359;0,528624;
0,205959;0,821826;0,615867;
0,205959;0,821826;0,615867;
0,210816;0,826356;0,615539;
0,210816;0,826356;0,615539;
0,208661;0,825540;0,616879;
0,208661;0,825540;0,616879;
0,217054;0,835526;0,618472;
0,216815;0,836216;0,619401;
0,200815;0,820269;0,619454;
0,200815;0,820269;0,619454;
0,200009;0,826177;0,626168;
0,202340;0,000000;0,202340;
0,033330;0,824228;0,790898;
0,252357;0,000000;0,252357;
0,081435;0,000000;0,081435;
0,093490;0,822468;0,728978;
0,523976;0,975866;0,451890;
0,135762;0,000000;0,135762;
0,077488;0,823234;0,745746;
0,077638;0,819459;0,741821;
0,077580;0,820559;0,742980;
0,142902;0,986365;0,843463;
0,513240;0,980119;0,466879;
0,269923;0,986281;0,716358;
0,197915;0,818530;0,620615;
0,197752;0,818835;0,621083;
0,196537;0,818229;0,621692;
0,197490;0,818324;0,620834;
0,334305;0,820276;0,485971;
0,176506;0,820182;0,643676;
0,481910;0,983080;0,501170;
0,487851;0,982771;0,494920;
0,487851;0,982771;0,494920;
0,491612;0,982042;0,490430;
0,515630;0,874915;0,359285;
0,085150;0,817589;0,732439;
0,260995;0,974702;0,713706;
0,641761;0,871771;0,230011;
0,669458;0,873875;0,204417;
0,669458;0,873875;0,204417;
0,778609;0,873348;0,094739;
0,778609;0,873348;0,094739;
0,150696;0,974742;0,824045;
0,255197;0,815786;0,560589;
0,347018;0,815869;0,468851;
0,220308;0,815869;0,595561;
0,329892;0,974889;0,644996;
0,193119;0,817410;0,624292;
0,193316;0,817104;0,623788;
0,303246;0,974309;0,671063;
0,194397;0,817196;0,622799;
0,186068;0,817838;0,631770;
0,190115;0,816601;0,626487;
0,192941;0,816597;0,623656;
0,190258;0,814767;0,624509;
0,190258;0,814767;0,624509;
0,425906;0,973162;0,547256;
1,000000;0,814294;0,185706;
0,062275;0,367319;0,305044;
0,061428;0,362865;0,301436;
0,061428;0,362865;0,301436;
0,061428;0,362865;0,301436;
0,057147;0,365302;0,308154;
0,051854;0,365260;0,313407;
0,060838;0,355498;0,294660;
0,000012;0,362040;0,362028;
0,000878;0,362060;0,361182;
0,000000;0,358855;0,358855;
0,001672;0,362090;0,360418;
0,002307;0,362052;0,359745;
