Reconstruction Coord z;Map Coord z;Error z;
0,018190;0,061350;0,043159;
0,137887;0,802264;0,664376;
0,136487;0,798219;0,661732;
0,020879;0,797864;0,776985;
0,020879;0,797864;0,776985;
0,122582;0,659146;0,536564;
0,124304;0,654288;0,529984;
0,017504;0,559504;0,542000;
0,017109;0,009747;0,007362;
0,020886;0,654364;0,633479;
0,025487;0,562254;0,536767;
0,034518;0,249548;0,215030;
0,034518;0,249548;0,215030;
0,108438;0,251856;0,143418;
0,117736;0,653532;0,535796;
0,029900;0,261680;0,231780;
0,018021;0,654194;0,636172;
0,106721;0,570102;0,463381;
0,106721;0,570102;0,463381;
0,017778;0,007717;0,010060;
0,043506;0,007699;0,035807;
0,099289;0,575760;0,476472;
0,099289;0,575760;0,476472;
0,102528;0,579174;0,476647;
0,023115;0,007094;0,016021;
0,136552;0,582693;0,446140;
0,109407;0,582693;0,473286;
0,106159;0,650863;0,544703;
0,114217;0,587827;0,473610;
0,114217;0,587827;0,473610;
0,101320;0,590389;0,489070;
0,113318;0,611506;0,498188;
0,128487;0,607878;0,479391;
0,121714;0,610478;0,488764;
0,116891;0,609168;0,492278;
0,119711;0,611667;0,491955;
0,114732;0,611329;0,496597;
0,114732;0,611329;0,496597;
0,018027;0,533216;0,515189;
0,018030;0,528348;0,510319;
0,116967;0,618594;0,501627;
0,019102;0,003858;0,015245;
0,022451;0,548403;0,525952;
0,107026;0,572475;0,465449;
0,115498;0,599113;0,483615;
0,020343;0,011561;0,008782;
0,027423;0,011384;0,016039;
0,027873;0,016445;0,011428;
0,020796;0,028008;0,007212;
0,028768;0,030118;0,001351;
0,115097;0,603295;0,488198;
0,028623;0,027683;0,000941;
0,028521;0,027482;0,001040;
0,022093;0,032537;0,010444;
0,025853;0,032948;0,007095;
0,005669;0,365870;0,360201;
0,029208;0,037198;0,007989;
0,020282;0,037198;0,016915;
0,021125;0,034958;0,013833;
0,112216;0,584110;0,471893;
0,025552;0,579259;0,553707;
0,020579;0,045562;0,024983;
0,032432;0,044481;0,012049;
0,020889;0,048237;0,027348;
0,119702;0,615285;0,495583;
0,021666;0,047444;0,025778;
0,021229;0,049287;0,028058;
0,032443;0,049088;0,016645;
0,020883;0,055632;0,034749;
0,021388;0,058069;0,036681;
0,000000;0,075610;0,075610;
0,002522;0,631080;0,628558;
0,110966;0,631292;0,520326;
0,020032;0,366420;0,346388;
0,040437;0,228829;0,188392;
0,040913;0,228746;0,187833;
0,047839;0,224965;0,177126;
0,047198;0,000000;0,047198;
0,045247;0,224407;0,179160;
0,023119;0,160192;0,137073;
0,027400;0,161001;0,133601;
0,027400;0,161001;0,133601;
0,005837;0,192881;0,187044;
0,042821;0,218636;0,175815;
0,046122;0,228926;0,182804;
0,038951;0,157473;0,118522;
0,040932;0,000000;0,040932;
0,040930;0,000000;0,040930;
0,045504;0,218588;0,173084;
0,039943;0,159981;0,120037;
0,045488;0,226916;0,181428;
0,045036;0,218258;0,173222;
0,045451;0,221522;0,176070;
0,029552;0,227741;0,198189;
0,045125;0,218044;0,172919;
0,044596;0,219333;0,174738;
0,038575;0,154139;0,115564;
0,044309;0,224222;0,179912;
0,044309;0,224222;0,179912;
0,037226;0,202737;0,165512;
0,068303;0,151420;0,083117;
0,044981;0,226635;0,181654;
0,044951;0,217952;0,173001;
0,043974;0,212722;0,168748;
0,044134;0,207262;0,163127;
0,044134;0,207262;0,163127;
0,044328;0,222263;0,177935;
0,044772;0,207623;0,162851;
0,038363;0,195287;0,156923;
0,045634;0,228453;0,182819;
0,045755;0,229204;0,183449;
0,079113;0,209818;0,130705;
0,001411;0,209818;0,208406;
0,044551;0,216543;0,171992;
0,044551;0,216543;0,171992;
0,076946;0,149147;0,072202;
0,002754;0,000000;0,002754;
0,044931;0,737986;0,693055;
1,000000;0,321457;0,678543;
0,043804;0,215026;0,171223;
0,043804;0,215026;0,171223;
0,028298;0,000000;0,028298;
0,000595;0,145089;0,144494;
0,079766;0,146770;0,067003;
0,004517;0,141052;0,136534;
0,053550;0,000000;0,053550;
0,008357;0,145077;0,136721;
0,009379;0,146295;0,136916;
0,039229;0,169556;0,130327;
0,009305;0,000000;0,009305;
0,004384;0,187058;0,182674;
0,004023;0,199391;0,195368;
0,051530;0,346825;0,295296;
0,006441;0,365527;0,359086;
0,053656;0,355560;0,301905;
0,060736;0,352774;0,292038;
0,060736;0,352774;0,292038;
0,061394;0,357832;0,296437;
