Reconstruction Coord z;Map Coord z;Error z;
0,165037;0,353546;0,188509;
0,034753;0,177290;0,142537;
0,124979;0,000000;0,124979;
0,124979;0,000000;0,124979;
0,166788;0,356402;0,189614;
0,166788;0,356402;0,189614;
0,209407;0,474115;0,264708;
0,209407;0,474115;0,264708;
0,114781;0,177366;0,062585;
0,124041;0,181149;0,057108;
0,124041;0,181149;0,057108;
0,034973;0,169648;0,134675;
0,034915;0,221000;0,186084;
0,111588;0,165245;0,053657;
0,122929;0,181109;0,058181;
0,123618;0,251071;0,127453;
0,033931;0,251071;0,217140;
0,128999;0,176320;0,047321;
0,040243;0,649080;0,608837;
0,124938;0,169859;0,044921;
0,124938;0,169859;0,044921;
0,125139;0,169859;0,044720;
0,036675;0,182355;0,145681;
0,359614;0,639567;0,279953;
0,122193;0,165523;0,043329;
0,124896;0,193191;0,068295;
0,122477;0,160311;0,037833;
0,124941;0,170282;0,045341;
0,127281;0,000000;0,127281;
0,125057;0,123528;0,001529;
0,125057;0,123528;0,001529;
0,126132;0,189780;0,063648;
0,124164;0,166594;0,042430;
0,126690;0,178024;0,051333;
0,114584;0,181438;0,066854;
0,121018;0,180361;0,059343;
0,092953;0,180361;0,087408;
0,126443;0,207591;0,081148;
0,126443;0,207591;0,081148;
0,133938;0,184732;0,050795;
1,000000;0,000000;1,000000;
0,034437;0,000000;0,034437;
0,113871;0,161427;0,047556;
0,328084;0,659058;0,330974;
0,328084;0,659058;0,330974;
0,118398;0,147205;0,028807;
0,123606;0,133190;0,009584;
0,039565;0,355950;0,316385;
0,325300;0,658220;0,332920;
0,325300;0,658220;0,332920;
0,035733;0,186353;0,150621;
0,035733;0,186353;0,150621;
0,121766;0,139135;0,017369;
0,121766;0,139135;0,017369;
0,125086;0,000000;0,125086;
0,125086;0,000000;0,125086;
0,037055;0,137641;0,100587;
0,122394;0,198505;0,076111;
0,162190;0,280562;0,118373;
0,322562;0,635443;0,312881;
0,124208;0,162462;0,038255;
0,129783;0,154945;0,025162;
0,123174;0,133736;0,010562;
0,121115;0,187876;0,066761;
0,121115;0,187876;0,066761;
0,145683;0,363889;0,218206;
0,146149;0,380315;0,234166;
0,118038;0,104100;0,013938;
0,315835;0,635647;0,319812;
0,149042;0,416532;0,267490;
0,150481;0,269453;0,118972;
0,037231;0,320099;0,282868;
0,064801;0,316969;0,252168;
0,064801;0,316969;0,252168;
0,126114;0,423086;0,296972;
0,122342;0,166237;0,043895;
0,119440;0,183071;0,063631;
0,057953;0,109350;0,051397;
0,159741;0,226268;0,066527;
0,125332;0,146949;0,021616;
0,112808;0,129959;0,017152;
0,110124;0,087503;0,022621;
0,057734;0,146923;0,089189;
0,041856;0,146923;0,105067;
0,134933;0,183584;0,048651;
0,046668;0,123710;0,077042;
0,136320;0,236547;0,100227;
0,136320;0,236547;0,100227;
0,128055;0,138693;0,010638;
0,098096;0,135222;0,037125;
0,050987;0,230494;0,179507;
0,051034;0,231754;0,180720;
0,111045;0,124149;0,013103;
0,108244;0,128909;0,020665;
0,142276;0,251872;0,109596;
0,081428;0,240186;0,158758;
0,114701;0,116265;0,001564;
0,114701;0,116265;0,001564;
0,123936;0,131137;0,007201;
0,111309;0,690471;0,579162;
0,120269;0,129886;0,009617;
0,120269;0,129886;0,009617;
0,129172;0,153914;0,024741;
0,039595;0,251791;0,212196;
0,039595;0,251791;0,212196;
0,473037;0,636245;0,163207;
0,143033;0,251341;0,108308;
0,089056;0,640304;0,551248;
0,116360;0,128395;0,012035;
0,043540;0,253852;0,210312;
0,116915;0,119682;0,002767;
0,120586;0,249778;0,129193;
0,038321;0,649715;0,611394;
0,095769;0,121806;0,026037;
0,142891;0,246925;0,104034;
0,110158;0,123003;0,012845;
0,154172;0,263310;0,109139;
0,301871;0,639103;0,337232;
0,205290;0,121920;0,083370;
0,205290;0,121920;0,083370;
0,089343;0,114996;0,025653;
0,310547;0,646343;0,335796;
0,299510;0,648868;0,349357;
0,145075;0,273906;0,128831;
0,100398;0,098326;0,002072;
0,139602;0,271679;0,132077;
0,054184;0,257436;0,203252;
0,145106;0,270838;0,125732;
0,145106;0,270838;0,125732;
0,203066;0,271926;0,068860;
0,141745;0,270408;0,128662;
0,140450;0,267277;0,126827;
0,304707;0,637810;0,333104;
0,148828;0,262705;0,113878;
0,142555;0,269795;0,127239;
0,142555;0,269795;0,127239;
0,104026;0,082743;0,021283;
0,301533;0,637438;0,335905;
0,144692;0,273650;0,128957;
0,150694;0,289020;0,138326;
0,144163;0,276217;0,132054;
0,383094;0,691694;0,308600;
0,146493;0,279169;0,132675;
0,073960;0,279680;0,205720;
0,115277;0,115600;0,000324;
0,115277;0,115600;0,000324;
0,112637;0,082745;0,029892;
0,112637;0,082745;0,029892;
0,047192;0,000000;0,047192;
0,158337;0,391110;0,232772;
0,034679;0,647634;0,612955;
0,302716;0,636670;0,333954;
0,510389;0,643363;0,132973;
0,044974;0,107246;0,062272;
0,348287;0,672436;0,324148;
0,092561;0,190630;0,098069;
0,203816;0,209231;0,005415;
0,042183;0,209231;0,167048;
0,355506;0,679587;0,324081;
0,123563;0,323524;0,199962;
0,189410;0,646982;0,457572;
0,054000;0,180800;0,126800;
0,080894;0,189272;0,108378;
0,154551;0,336612;0,182062;
0,154551;0,336612;0,182062;
0,309780;0,647650;0,337870;
0,125288;0,176709;0,051422;
0,145632;0,285836;0,140205;
0,385413;0,693467;0,308054;
0,138609;0,329383;0,190774;
0,054259;0,174102;0,119843;
0,121713;0,178541;0,056827;
0,102893;0,119048;0,016155;
0,323744;0,000000;0,323744;
0,149806;0,000000;0,149806;
0,100420;0,171709;0,071289;
0,099460;0,349087;0,249628;
0,072952;0,128851;0,055899;
0,072952;0,128851;0,055899;
0,129008;0,059980;0,069028;
0,118389;0,167962;0,049573;
0,106072;0,069021;0,037050;
0,115636;0,177102;0,061466;
0,122990;0,167790;0,044801;
0,126581;0,179957;0,053375;
0,126581;0,179957;0,053375;
0,118901;0,179957;0,061056;
0,109820;0,110608;0,000788;
0,124407;0,175586;0,051179;
0,124407;0,175586;0,051179;
0,124407;0,175586;0,051179;
0,131677;0,200771;0,069094;
0,131913;0,226374;0,094460;
0,259023;0,641262;0,382239;
0,117704;0,165690;0,047986;
0,121258;0,165088;0,043831;
0,121258;0,165088;0,043831;
0,121258;0,165088;0,043831;
0,185953;0,363421;0,177467;
0,187835;0,346156;0,158322;
0,222192;0,634491;0,412299;
0,149338;0,291009;0,141670;
0,149338;0,291009;0,141670;
0,131532;0,208432;0,076899;
0,228061;0,518444;0,290384;
0,121806;0,163743;0,041937;
0,127468;0,188109;0,060641;
0,127468;0,188109;0,060641;
0,126463;0,183903;0,057440;
0,126463;0,183903;0,057440;
0,132072;0,219519;0,087448;
0,230271;0,518304;0,288034;
0,122251;0,163707;0,041456;
0,179163;0,353271;0,174108;
0,131902;0,207971;0,076068;
0,168919;0,364705;0,195786;
0,128796;0,202662;0,073867;
0,126717;0,202662;0,075945;
0,083987;0,202662;0,118675;
0,124103;0,163887;0,039784;
0,171013;0,373556;0,202542;
0,121388;0,164579;0,043191;
0,114385;0,127460;0,013075;
0,170955;0,374012;0,203057;
0,130669;0,210088;0,079420;
0,107907;0,081088;0,026819;
0,107907;0,081088;0,026819;
0,107839;0,111722;0,003883;
0,123308;0,163467;0,040159;
0,126490;0,196552;0,070062;
0,199443;0,213401;0,013957;
0,105246;0,062249;0,042997;
0,109466;0,110396;0,000930;
0,122379;0,162639;0,040259;
0,130706;0,166085;0,035379;
0,069818;0,166085;0,096267;
0,421005;0,704140;0,283135;
0,172150;0,372786;0,200636;
0,172150;0,372786;0,200636;
0,064569;0,130900;0,066330;
0,191359;0,375259;0,183900;
0,122329;0,163736;0,041407;
0,122512;0,163074;0,040561;
0,122512;0,163074;0,040561;
0,357320;0,704629;0,347310;
0,127062;0,193482;0,066420;
0,117002;0,126364;0,009362;
0,177302;0,382774;0,205472;
0,162863;0,000000;0,162863;
0,177508;0,400618;0,223110;
0,177508;0,400618;0,223110;
0,145751;0,164821;0,019069;
0,214267;0,491132;0,276865;
0,122318;0,166771;0,044453;
0,254635;0,617164;0,362529;
0,211689;0,000000;0,211689;
