Reconstruction Coord z;Map Coord z;Error z;
0,052842;0,000000;0,052842;
0,049351;0,198964;0,149613;
0,186023;0,301984;0,115961;
0,059544;0,180332;0,120787;
0,048905;0,200686;0,151781;
0,048395;0,175346;0,126951;
0,050434;0,211337;0,160903;
0,050434;0,211337;0,160903;
0,046440;0,000000;0,046440;
0,047872;0,169183;0,121312;
0,047910;0,168750;0,120840;
0,046142;0,171358;0,125217;
0,047600;0,163098;0,115499;
0,050362;0,216193;0,165831;
0,047629;0,169168;0,121539;
0,046972;0,163791;0,116820;
0,048319;0,162107;0,113788;
0,047368;0,155859;0,108490;
0,047095;0,162657;0,115562;
0,048753;0,192304;0,143551;
0,050546;0,219342;0,168796;
0,085457;0,691501;0,606044;
0,046708;0,139328;0,092619;
0,051931;0,948592;0,896660;
0,047611;0,242805;0,195194;
0,023063;0,195943;0,172880;
0,047555;0,168848;0,121293;
0,048006;0,172698;0,124692;
0,046495;0,165663;0,119168;
0,039736;0,188424;0,148688;
0,106937;0,704975;0,598038;
0,109535;0,000000;0,109535;
0,047686;0,164468;0,116782;
0,109264;0,717440;0,608175;
0,046428;0,133210;0,086781;
0,059580;0,211998;0,152417;
0,047852;0,174331;0,126479;
0,048126;0,172228;0,124102;
0,047482;0,165231;0,117749;
0,047482;0,165231;0,117749;
0,049758;0,198713;0,148955;
0,103645;0,819635;0,715990;
0,103645;0,819635;0,715990;
0,052655;0,841061;0,788406;
0,048588;0,184026;0,135439;
0,164367;0,182713;0,018346;
0,163131;0,181783;0,018652;
0,048851;0,189308;0,140457;
0,124677;0,823136;0,698459;
0,051459;0,000000;0,051459;
0,103017;0,203732;0,100715;
0,052530;0,000000;0,052530;
0,046206;0,184356;0,138150;
0,046538;0,185246;0,138708;
0,046411;0,143737;0,097326;
0,050528;0,234363;0,183835;
0,110619;0,914037;0,803418;
0,052070;0,000000;0,052070;
0,049093;0,186858;0,137766;
0,109756;0,914841;0,805085;
0,109756;0,914841;0,805085;
0,102572;0,694543;0,591971;
0,048770;0,184297;0,135527;
0,048770;0,184297;0,135527;
0,111930;0,836039;0,724110;
0,051770;0,239163;0,187394;
0,049758;0,212016;0,162258;
0,055821;0,305394;0,249573;
0,044860;0,192084;0,147224;
0,047884;0,173009;0,125125;
0,045315;0,095418;0,050103;
0,029635;0,235520;0,205885;
0,046982;0,153409;0,106427;
0,048673;0,183264;0,134591;
0,109946;0,000000;0,109946;
0,048724;0,189730;0,141007;
0,051841;0,243653;0,191811;
0,052147;0,244522;0,192375;
0,048229;0,181371;0,133142;
0,050916;0,219165;0,168249;
0,109126;0,721840;0,612714;
0,111671;0,717824;0,606154;
0,046584;0,077469;0,030885;
0,114897;0,729575;0,614678;
0,114592;0,696887;0,582295;
0,109243;0,709680;0,600437;
0,109243;0,709680;0,600437;
0,050817;0,226256;0,175439;
0,048962;0,197553;0,148590;
0,050953;0,410468;0,359515;
0,047650;0,169666;0,122016;
0,049735;0,206736;0,157001;
0,049735;0,206736;0,157001;
0,051558;0,414626;0,363067;
0,052639;0,854269;0,801631;
0,052087;0,852282;0,800195;
0,044037;0,843879;0,799842;
0,049138;0,194839;0,145700;
0,050048;0,512005;0,461957;
0,053066;0,486100;0,433034;
0,061566;0,358648;0,297083;
0,050848;0,246527;0,195680;
0,053623;0,738628;0,685005;
0,052058;0,000000;0,052058;
0,052493;0,428114;0,375621;
0,041991;0,169368;0,127377;
0,120634;0,921660;0,801026;
0,052418;0,000000;0,052418;
0,050469;0,372930;0,322461;
0,050469;0,372930;0,322461;
0,060953;0,317764;0,256811;
0,053087;0,263531;0,210444;
0,061183;0,831759;0,770576;
0,061183;0,831759;0,770576;
0,062187;0,393285;0,331099;
0,056138;0,307264;0,251126;
0,060140;0,000000;0,060140;
0,060140;0,000000;0,060140;
0,054684;0,000000;0,054684;
0,054684;0,000000;0,054684;
0,053812;0,279987;0,226175;
0,052933;0,000000;0,052933;
0,053429;0,261585;0,208156;
0,053532;0,000000;0,053532;
0,050951;0,488624;0,437673;
0,022469;0,721388;0,698919;
0,053477;0,856221;0,802744;
0,024809;0,289610;0,264801;
0,100513;0,179130;0,078618;
0,054689;0,281948;0,227259;
0,054731;0,281948;0,227217;
0,055419;0,294298;0,238880;
0,062443;0,828840;0,766397;
0,054848;0,314946;0,260098;
0,727687;0,000000;0,727687;
0,036006;0,199842;0,163836;
0,043366;0,000000;0,043366;
0,054537;0,293316;0,238779;
0,055036;0,292384;0,237348;
0,054744;0,289117;0,234374;
0,053302;0,491484;0,438182;
0,054198;0,280276;0,226078;
0,070598;0,467225;0,396626;
0,056664;0,000000;0,056664;
0,068882;0,448659;0,379777;
0,054385;0,280790;0,226405;
0,054504;0,281879;0,227375;
0,055481;0,000000;0,055481;
0,053990;0,279352;0,225362;
0,055560;0,289455;0,233895;
0,053428;0,272853;0,219425;
0,056733;0,320343;0,263610;
0,053489;0,272979;0,219490;
0,042990;0,000000;0,042990;
0,044921;0,000000;0,044921;
0,043694;0,081060;0,037366;
0,086125;0,650497;0,564372;
0,066874;0,447962;0,381088;
0,057501;0,351126;0,293625;
0,112346;0,697538;0,585193;
0,110340;0,685231;0,574890;
0,091462;0,632300;0,540837;
0,063126;0,361029;0,297903;
0,092734;0,000000;0,092734;
0,031242;0,429523;0,398282;
0,026159;0,611478;0,585319;
0,135180;0,674224;0,539044;
0,054892;0,340003;0,285110;
0,108647;0,714566;0,605919;
0,103841;0,000000;0,103841;
0,117158;0,936555;0,819397;
0,115823;0,931659;0,815836;
0,122952;0,940276;0,817324;
0,122952;0,940276;0,817324;
0,054045;0,522295;0,468251;
0,075467;0,522503;0,447037;
0,065584;0,500640;0,435056;
0,057171;0,322453;0,265281;
0,072958;0,512950;0,439992;
0,055098;0,294279;0,239181;
0,054919;0,294142;0,239223;
0,164601;0,523297;0,358696;
0,040897;0,475653;0,434756;
0,035887;0,701427;0,665540;
0,071879;0,498049;0,426170;
0,071879;0,498049;0,426170;
0,101089;0,679028;0,577939;
0,110773;0,691141;0,580368;
0,110773;0,691141;0,580368;
0,110773;0,691141;0,580368;
0,059402;0,521991;0,462589;
0,060921;0,517666;0,456745;
0,063489;0,397211;0,333723;
0,069257;0,533970;0,464713;
0,062000;0,515536;0,453536;
0,078181;0,537181;0,459000;
0,078181;0,537181;0,459000;
0,070099;0,480079;0,409980;
0,093285;0,557282;0,463997;
0,071959;0,482465;0,410505;
0,069969;0,466720;0,396751;
0,079679;0,573318;0,493640;
0,113587;0,930124;0,816538;
0,113587;0,930124;0,816538;
0,113587;0,930124;0,816538;
0,113587;0,930124;0,816538;
0,069017;0,463749;0,394732;
0,115196;0,936616;0,821420;
0,115196;0,936616;0,821420;
0,115196;0,936616;0,821420;
0,070171;0,470923;0,400752;
0,112538;0,000000;0,112538;
0,068967;0,476054;0,407087;
0,138226;0,457792;0,319565;
0,099018;0,593038;0,494019;
0,082156;0,573878;0,491722;
0,070339;0,508491;0,438152;
0,026875;0,473025;0,446150;
0,102835;0,707656;0,604821;
0,102835;0,707656;0,604821;
0,067503;0,451224;0,383721;
0,077575;0,545027;0,467452;
0,082191;0,572384;0,490193;
0,070236;0,476961;0,406725;
0,078167;0,546883;0,468716;
0,069865;0,465939;0,396073;
0,052249;0,000000;0,052249;
0,086575;0,603784;0,517209;
0,071091;0,464396;0,393305;
0,058380;0,331761;0,273381;
0,110946;0,696268;0,585322;
0,110946;0,696268;0,585322;
0,110946;0,696268;0,585322;
0,105041;0,684341;0,579300;
0,068269;0,452032;0,383763;
0,068028;0,451729;0,383701;
0,044065;0,090589;0,046524;
0,068881;0,464184;0,395303;
0,060305;0,338730;0,278424;
0,051128;0,574515;0,523387;
0,068233;0,444756;0,376524;
0,067294;0,441759;0,374465;
0,066510;0,443062;0,376552;
0,079076;0,556088;0,477012;
0,079197;0,553771;0,474575;
0,076285;0,611593;0,535307;
0,083456;0,579400;0,495944;
0,067064;0,440913;0,373849;
0,034547;0,712857;0,678310;
0,059251;0,482935;0,423684;
0,066609;0,436874;0,370265;
0,046282;0,057126;0,010845;
0,065819;0,434903;0,369084;
0,066476;0,432950;0,366474;
0,053569;0,000000;0,053569;
0,002475;0,000000;0,002475;
0,065031;0,434470;0,369439;
0,048704;0,223483;0,174778;
0,066103;0,433873;0,367771;
0,089579;0,619395;0,529816;
0,041502;0,556709;0,515207;
0,089940;0,710298;0,620358;
0,069901;0,477081;0,407180;
0,066068;0,431895;0,365827;
0,079192;0,558682;0,479490;
0,057088;0,341253;0,284166;
0,065711;0,430955;0,365244;
0,042401;0,458807;0,416406;
0,066119;0,437277;0,371158;
0,065899;0,431455;0,365556;
0,054922;0,284513;0,229590;
0,054922;0,284513;0,229590;
0,087412;0,613796;0,526384;
0,051397;0,237417;0,186020;
0,050999;0,066640;0,015641;
0,076662;0,501472;0,424810;
0,078904;0,547766;0,468861;
0,044887;0,473910;0,429023;
0,057741;0,427522;0,369781;
