Reconstruction Coord z;Map Coord z;Error z;
0,023884;0,758518;0,734633;
0,041028;0,843403;0,802375;
0,041388;0,848982;0,807594;
0,039824;0,832993;0,793169;
0,025667;0,650121;0,624454;
0,040520;0,839363;0,798843;
0,009092;0,839363;0,830271;
0,025433;0,654450;0,629017;
0,025433;0,654450;0,629017;
0,039810;0,834304;0,794493;
0,040819;0,841675;0,800856;
0,041471;0,844174;0,802703;
0,024230;0,635420;0,611190;
0,025327;0,652723;0,627396;
0,083394;0,835904;0,752510;
0,039863;0,835904;0,796041;
0,043178;0,000000;0,043178;
0,045829;0,884085;0,838256;
0,040236;0,835374;0,795138;
0,027389;0,684119;0,656730;
0,022551;0,650406;0,627855;
0,025320;0,651960;0,626640;
0,025093;0,650691;0,625598;
0,039712;0,832269;0,792557;
0,039799;0,834125;0,794326;
0,040091;0,836308;0,796217;
0,018591;0,881135;0,862544;
0,039828;0,835465;0,795637;
0,029938;0,802456;0,772519;
0,026580;0,674423;0,647843;
0,040448;0,839352;0,798904;
0,040448;0,839352;0,798904;
0,040384;0,841261;0,800877;
0,025061;0,650453;0,625392;
0,025224;0,650909;0,625686;
0,025224;0,650909;0,625686;
0,039998;0,833774;0,793776;
0,039646;0,832360;0,792714;
0,039641;0,832081;0,792440;
0,039641;0,832081;0,792440;
0,039658;0,831969;0,792311;
0,039658;0,831969;0,792311;
0,025144;0,650412;0,625268;
0,039682;0,831610;0,791928;
0,040103;0,834906;0,794803;
0,045995;0,000000;0,045995;
0,039707;0,832289;0,792582;
0,039998;0,834297;0,794299;
0,039810;0,832027;0,792217;
0,025180;0,651136;0,625956;
0,028289;0,705807;0,677518;
0,026739;0,676544;0,649805;
0,040522;0,839952;0,799430;
0,040522;0,839952;0,799430;
0,039877;0,831949;0,792072;
0,042911;0,864781;0,821870;
0,027820;0,690905;0,663085;
0,039737;0,833404;0,793667;
0,039745;0,831986;0,792242;
0,025166;0,649890;0,624724;
0,045215;0,841083;0,795867;
0,025198;0,650927;0,625729;
0,039453;0,831501;0,792047;
0,039453;0,831501;0,792047;
0,011380;0,832890;0,821511;
0,011380;0,832890;0,821511;
0,027818;0,691886;0,664068;
0,040154;0,835732;0,795578;
0,040154;0,835732;0,795578;
0,025354;0,649739;0,624385;
0,039636;0,832639;0,793003;
0,039636;0,832639;0,793003;
0,028536;0,703449;0,674913;
0,028536;0,703449;0,674913;
0,040349;0,839070;0,798721;
0,044622;0,000000;0,044622;
0,006032;0,650060;0,644028;
0,028364;0,000000;0,028364;
0,031273;0,733355;0,702082;
0,021016;0,563840;0,542824;
0,021016;0,563840;0,542824;
0,021222;0,567887;0,546665;
0,034593;0,780696;0,746103;
0,029990;0,714872;0,684881;
0,008368;0,585767;0,577399;
0,039853;0,834460;0,794607;
0,045840;0,000000;0,045840;
0,024793;0,649188;0,624395;
0,032191;0,755892;0,723700;
0,021540;0,577079;0,555539;
0,021036;0,564447;0,543410;
0,021036;0,564447;0,543410;
0,021726;0,589873;0,568147;
0,021985;0,588899;0,566914;
0,026228;0,000000;0,026228;
0,021906;0,584775;0,562869;
0,021398;0,573611;0,552213;
0,026861;0,679165;0,652304;
0,010625;0,679165;0,668540;
0,021184;0,568281;0,547098;
0,021704;0,580155;0,558452;
0,039530;0,780901;0,741371;
0,026265;0,661213;0,634948;
0,024162;0,632082;0,607920;
0,022118;0,589159;0,567040;
0,024866;0,648703;0,623837;
0,022535;0,625629;0,603094;
0,027869;0,696874;0,669004;
0,021890;0,584247;0,562356;
0,025021;0,648124;0,623103;
0,023984;0,627460;0,603477;
0,038332;0,829430;0,791098;
0,028411;0,000000;0,028411;
0,025081;0,648891;0,623809;
0,025081;0,648891;0,623809;
0,026591;0,683079;0,656488;
0,024184;0,633914;0,609730;
0,027157;0,683079;0,655922;
0,025030;0,647704;0,622674;
0,025030;0,647704;0,622674;
0,009762;0,588983;0,579221;
0,023859;0,625059;0,601200;
0,005796;0,704027;0,698230;
0,032135;0,755455;0,723320;
0,032135;0,755455;0,723320;
0,005663;0,769986;0,764323;
0,025058;0,648172;0,623115;
0,025058;0,648172;0,623115;
0,024977;0,647221;0,622243;
0,036410;0,686689;0,650279;
0,015778;0,686689;0,670911;
0,031135;0,736502;0,705366;
0,031135;0,736502;0,705366;
0,038324;0,686819;0,648495;
0,028303;0,702500;0,674197;
0,025039;0,650097;0,625058;
0,021846;0,584812;0,562967;
0,009532;0,568441;0,558909;
0,024344;0,633864;0,609520;
0,032526;0,760076;0,727551;
0,024209;0,631850;0,607640;
0,025156;0,649089;0,623933;
0,022021;0,588533;0,566512;
0,007162;0,588533;0,581371;
0,031140;0,742739;0,711598;
