Reconstruction Coord z;Map Coord z;Error z;
0,024335;0,124996;0,100661;
0,023545;0,126268;0,102723;
0,031608;0,359055;0,327448;
0,028464;0,278802;0,250338;
0,037190;0,467167;0,429978;
0,012236;0,282983;0,270747;
0,012236;0,282983;0,270747;
0,037274;0,466645;0,429371;
0,016732;0,138458;0,121726;
0,023496;0,140528;0,117032;
0,043719;0,559593;0,515874;
0,010601;0,558130;0,547529;
0,044454;0,565470;0,521016;
0,023920;0,000000;0,023920;
0,044511;0,565773;0,521262;
0,039182;0,464690;0,425508;
0,044014;0,562948;0,518934;
0,043896;0,557812;0,513916;
0,043896;0,557812;0,513916;
0,044169;0,564597;0,520428;
0,044006;0,558830;0,514823;
0,044030;0,563715;0,519684;
0,044060;0,563908;0,519848;
0,044360;0,566575;0,522215;
0,043511;0,556672;0,513161;
0,042021;0,000000;0,042021;
0,043620;0,559877;0,516257;
0,044200;0,566127;0,521927;
0,044124;0,565364;0,521240;
0,044124;0,565364;0,521240;
0,043735;0,559430;0,515694;
0,043995;0,563955;0,519961;
0,043544;0,556835;0,513291;
0,043918;0,563036;0,519118;
0,043947;0,563036;0,519089;
0,039829;0,962192;0,922363;
0,044254;0,566718;0,522464;
0,035759;0,440510;0,404751;
0,044273;0,566462;0,522189;
0,043960;0,562445;0,518485;
0,044309;0,566189;0,521880;
0,032481;0,376168;0,343688;
0,043718;0,565408;0,521691;
0,023526;0,153070;0,129544;
0,044135;0,565088;0,520953;
0,044135;0,565088;0,520953;
0,043963;0,564307;0,520344;
0,043963;0,564307;0,520344;
0,024141;0,147720;0,123579;
0,031603;0,442620;0,411016;
0,043695;0,559368;0,515673;
0,043895;0,562758;0,518863;
0,043895;0,562758;0,518863;
0,044259;0,566272;0,522013;
0,043617;0,559413;0,515797;
0,043560;0,558210;0,514649;
0,044206;0,565985;0,521779;
0,039712;0,563369;0,523656;
0,044162;0,565536;0,521374;
0,043396;0,556275;0,512879;
0,043464;0,556732;0,513268;
0,043464;0,556732;0,513268;
0,043955;0,563250;0,519295;
0,043897;0,562631;0,518733;
0,043975;0,563800;0,519825;
0,013565;0,563800;0,550235;
0,044185;0,565884;0,521699;
0,036486;0,465185;0,428699;
0,044106;0,565638;0,521532;
0,044130;0,565418;0,521289;
0,035902;0,444463;0,408560;
0,044119;0,564531;0,520411;
0,044119;0,564531;0,520411;
0,043897;0,563172;0,519275;
0,044027;0,563669;0,519642;
0,043870;0,562856;0,518986;
0,043870;0,562856;0,518986;
0,043943;0,562304;0,518360;
0,028073;0,562304;0,534231;
0,043406;0,556978;0,513572;
0,043729;0,559269;0,515541;
0,032879;0,381820;0,348941;
0,038270;0,448090;0,409820;
0,044071;0,564459;0,520388;
0,044146;0,565580;0,521434;
0,044118;0,565269;0,521150;
0,044120;0,564761;0,520641;
