Reconstruction Coord z;Map Coord z;Error z;
0,017245;0,030792;0,013547;
0,016955;0,020375;0,003421;
0,017239;0,029969;0,012730;
0,017324;0,037916;0,020592;
0,017114;0,024903;0,007789;
0,018190;0,060814;0,042624;
0,016827;0,017508;0,000681;
0,018905;0,818636;0,799731;
0,017202;0,029134;0,011932;
0,017202;0,029134;0,011932;
0,017883;0,035538;0,017655;
0,016884;0,019210;0,002326;
0,016841;0,016972;0,000131;
0,017270;0,031171;0,013902;
0,018181;0,040654;0,022473;
0,017701;0,025133;0,007433;
0,013897;0,025133;0,011236;
0,017527;0,039404;0,021877;
0,019015;0,029845;0,010830;
0,017945;0,029845;0,011900;
0,011723;0,018794;0,007071;
0,011492;0,000000;0,011492;
0,016856;0,017393;0,000537;
0,017165;0,027858;0,010693;
0,016648;0,065450;0,048803;
0,015309;0,065881;0,050572;
0,016912;0,026094;0,009182;
0,017321;0,033568;0,016247;
0,017321;0,033568;0,016247;
0,016881;0,018724;0,001843;
0,018323;0,065735;0,047412;
0,018370;0,068580;0,050210;
0,013339;0,040001;0,026662;
0,018369;0,069429;0,051060;
0,017800;0,067496;0,049696;
0,018360;0,068179;0,049819;
0,016861;0,017530;0,000669;
0,017412;0,036122;0,018710;
0,017231;0,031059;0,013828;
0,016876;0,016681;0,000195;
0,017130;0,026475;0,009345;
0,021112;0,027575;0,006462;
0,018352;0,000000;0,018352;
0,018377;0,068955;0,050578;
0,017153;0,016368;0,000785;
0,017409;0,036687;0,019278;
0,017240;0,030070;0,012830;
0,018428;0,070519;0,052090;
0,017311;0,017063;0,000248;
0,018409;0,069261;0,050852;
0,017162;0,028338;0,011176;
0,015418;0,819171;0,803753;
0,017484;0,038019;0,020535;
0,018487;0,167291;0,148804;
0,016806;0,015125;0,001681;
0,018474;0,071510;0,053037;
0,018474;0,071510;0,053037;
0,012836;0,000000;0,012836;
0,016944;0,016309;0,000635;
0,018481;0,071321;0,052840;
0,021257;0,000000;0,021257;
0,018481;0,000000;0,018481;
0,018473;0,072421;0,053948;
0,018522;0,072278;0,053756;
0,008519;0,027602;0,019084;
0,013051;0,035783;0,022732;
0,018507;0,073203;0,054696;
0,018496;0,103433;0,084937;
0,013617;0,019183;0,005566;
0,016840;0,016180;0,000660;
0,017223;0,029240;0,012017;
0,018588;0,073207;0,054619;
0,018349;0,000000;0,018349;
0,018561;0,074332;0,055771;
0,018568;0,074205;0,055636;
0,017353;0,035490;0,018136;
0,016803;0,016458;0,000345;
0,018626;0,074502;0,055877;
0,017043;0,022939;0,005896;
0,017136;0,026952;0,009816;
0,018597;0,075349;0,056753;
0,021817;0,074553;0,052736;
0,018632;0,000000;0,018632;
0,018632;0,000000;0,018632;
0,016853;0,016581;0,000272;
0,017340;0,029946;0,012605;
0,014443;0,075239;0,060797;
0,017336;0,034362;0,017026;
0,017343;0,034410;0,017066;
0,017343;0,034410;0,017066;
0,017072;0,024589;0,007517;
0,017072;0,024589;0,007517;
0,016952;0,020123;0,003171;
0,016446;0,075380;0,058934;
0,017813;0,820658;0,802845;
0,025801;0,000000;0,025801;
0,018627;0,077618;0,058991;
0,017050;0,024144;0,007093;
0,017105;0,029629;0,012524;
0,017349;0,034597;0,017248;
0,018848;0,077224;0,058376;
0,018686;0,077230;0,058545;
0,017037;0,023230;0,006193;
0,016799;0,015416;0,001383;
0,017396;0,034315;0,016920;
0,018684;0,076370;0,057686;
0,017371;0,034668;0,017296;
0,018735;0,077418;0,058682;
0,018740;0,077384;0,058644;
0,017016;0,022512;0,005496;
0,017016;0,022512;0,005496;
0,018626;0,076942;0,058317;
0,017616;0,174941;0,157324;
0,017283;0,031891;0,014608;
0,018646;0,076475;0,057829;
0,018677;0,078302;0,059625;
0,017378;0,034758;0,017380;
0,017008;0,022870;0,005862;
0,014463;0,078670;0,064207;
0,018784;0,000000;0,018784;
0,018682;0,000000;0,018682;
0,017043;0,023741;0,006698;
0,016968;0,020132;0,003164;
0,009853;0,021923;0,012069;
0,050506;0,626328;0,575822;
0,016855;0,016390;0,000465;
0,010690;0,079205;0,068515;
0,018666;0,175723;0,157057;
0,018624;0,079614;0,060990;
0,018622;0,078654;0,060033;
0,018649;0,076992;0,058343;
0,017343;0,033284;0,015941;
0,016974;0,021776;0,004802;
0,014366;0,031759;0,017393;
0,019345;0,033808;0,014463;
0,009736;0,621169;0,611433;
0,016834;0,016320;0,000514;
0,019129;0,016665;0,002464;
0,017547;0,038336;0,020789;
0,018836;0,078524;0,059688;
0,018353;0,078524;0,060171;
0,018741;0,080591;0,061850;
0,018567;0,021571;0,003004;
0,018749;0,079362;0,060613;
0,018904;0,079714;0,060810;
0,018732;0,079565;0,060833;
0,022096;0,021234;0,000861;
0,018741;0,080204;0,061462;
0,018727;0,080720;0,061993;
0,016856;0,017302;0,000447;
0,017090;0,025612;0,008522;
0,017090;0,025612;0,008522;
0,016991;0,021016;0,004026;
0,018753;0,081133;0,062380;
0,047201;0,023003;0,024198;
0,017033;0,023003;0,005970;
0,017415;0,036364;0,018949;
0,018683;0,078318;0,059635;
0,017012;0,021621;0,004609;
0,017286;0,030710;0,013424;
0,017082;0,024761;0,007678;
0,017082;0,024761;0,007678;
0,018706;0,079881;0,061175;
0,018706;0,079881;0,061175;
0,018706;0,079881;0,061175;
0,017500;0,039067;0,021567;
0,018792;0,081086;0,062293;
0,018792;0,081086;0,062293;
0,016863;0,017974;0,001111;
0,017415;0,036630;0,019215;
0,015012;0,018142;0,003130;
0,017092;0,025053;0,007961;
0,018703;0,177954;0,159251;
0,017052;0,023984;0,006932;
0,018662;0,077632;0,058970;
0,018662;0,077632;0,058970;
0,016997;0,022354;0,005357;
0,017183;0,028990;0,011807;
0,018750;0,080048;0,061298;
0,016863;0,018997;0,002134;
0,021224;0,080195;0,058972;
0,018748;0,080195;0,061447;
0,017157;0,027841;0,010684;
0,021684;0,079475;0,057791;
0,018878;0,079475;0,060597;
0,018773;0,080949;0,062176;
0,017071;0,024034;0,006963;
0,017365;0,034961;0,017597;
0,017249;0,030989;0,013740;
0,017068;0,019499;0,002431;
0,018734;0,079752;0,061017;
0,017321;0,033571;0,016250;
0,017174;0,028288;0,011114;
0,018760;0,081025;0,062265;
0,021523;0,081585;0,060063;
0,017446;0,038971;0,021524;
0,017371;0,034288;0,016917;
0,017267;0,031530;0,014263;
0,018658;0,078084;0,059427;
0,020492;0,078237;0,057745;
0,017120;0,026051;0,008931;
0,020023;0,081295;0,061272;
0,017304;0,031327;0,014023;
0,018741;0,078525;0,059783;
0,017498;0,039495;0,021997;
0,018695;0,178540;0,159845;
0,017350;0,034823;0,017473;
0,017287;0,032049;0,014762;
0,016872;0,224506;0,207634;
0,016972;0,023518;0,006546;
0,016944;0,227905;0,210961;
0,018677;0,078561;0,059884;
0,023716;0,222671;0,198956;
0,009632;0,000000;0,009632;
0,016940;0,021086;0,004146;
0,025474;0,079860;0,054386;
0,018761;0,080256;0,061495;
0,017312;0,032565;0,015254;
0,017312;0,032565;0,015254;
0,017415;0,036008;0,018593;
0,013996;0,223476;0,209480;
0,018587;0,078233;0,059646;
0,016991;0,022070;0,005079;
0,023643;0,622969;0,599325;
0,018649;0,075695;0,057046;
0,017295;0,031675;0,014380;
0,018632;0,076593;0,057960;
0,018598;0,075440;0,056842;
0,017013;0,023326;0,006313;
0,022767;0,694810;0,672043;
0,030406;0,173254;0,142849;
0,023710;0,217307;0,193597;
0,018037;0,042981;0,024944;
0,017291;0,029447;0,012156;
0,018575;0,074659;0,056084;
0,018605;0,076147;0,057542;
0,017675;0,045004;0,027329;
0,026713;0,172359;0,145646;
0,017295;0,032586;0,015291;
