Reconstruction Coord z;Map Coord z;Error z;
0,308323;0,605912;0,297589;
0,251652;0,480994;0,229342;
0,262947;0,507723;0,244776;
0,267960;0,523673;0,255712;
0,243863;0,439694;0,195831;
0,294796;0,569999;0,275202;
0,256178;0,569999;0,313820;
0,281045;0,551032;0,269987;
0,296359;0,570403;0,274044;
0,293707;0,575680;0,281973;
0,256138;0,500728;0,244590;
0,242023;0,441238;0,199215;
0,225369;0,470709;0,245340;
0,255414;0,477128;0,221714;
0,291131;0,469849;0,178718;
0,248119;0,554618;0,306499;
0,253930;0,553860;0,299930;
0,185601;0,591251;0,405650;
0,303116;0,588868;0,285752;
0,256604;0,482847;0,226243;
0,265290;0,503111;0,237821;
0,256902;0,481134;0,224232;
0,284453;0,000000;0,284453;
0,257726;0,480419;0,222693;
0,266277;0,502533;0,236257;
0,260905;0,540318;0,279413;
0,263213;0,538815;0,275603;
0,225440;0,417392;0,191952;
0,254405;0,467059;0,212654;
0,230956;0,403085;0,172129;
0,045119;0,380155;0,335036;
0,044962;0,457950;0,412987;
0,217974;0,377689;0,159715;
0,230452;0,404676;0,174224;
0,294683;0,829412;0,534728;
0,426157;0,705445;0,279288;
0,334762;0,673958;0,339196;
0,335913;0,657116;0,321204;
0,354357;0,701617;0,347259;
0,254013;0,436388;0,182376;
0,284425;0,880634;0,596209;
0,283731;0,901720;0,617989;
0,270797;0,000000;0,270797;
0,266677;0,504988;0,238311;
0,230041;0,427943;0,197902;
0,223535;0,000000;0,223535;
0,229624;0,431733;0,202109;
0,280097;0,432897;0,152800;
0,250831;0,464477;0,213646;
0,210446;0,381823;0,171377;
0,210446;0,381823;0,171377;
0,239417;0,428854;0,189437;
0,231698;0,384602;0,152904;
0,231698;0,384602;0,152904;
0,292520;0,000000;0,292520;
0,227282;0,391202;0,163920;
0,228923;0,000000;0,228923;
0,125519;0,172448;0,046929;
0,333146;0,000000;0,333146;
0,252097;0,471126;0,219028;
0,250655;0,467270;0,216615;
0,269528;0,000000;0,269528;
0,049524;0,000000;0,049524;
0,197191;0,314371;0,117180;
0,250283;0,465679;0,215396;
0,201225;0,319417;0,118192;
0,251031;0,457101;0,206070;
0,251031;0,457101;0,206070;
0,271167;0,452190;0,181023;
0,256457;0,483051;0,226594;
0,253563;0,466520;0,212957;
0,261878;0,448342;0,186464;
0,225693;0,403085;0,177392;
0,252957;0,421574;0,168617;
0,236194;0,421089;0,184895;
0,248221;0,454735;0,206513;
0,247564;0,444526;0,196962;
0,283077;0,419667;0,136590;
0,230555;0,445720;0,215165;
0,260395;0,434500;0,174105;
0,242096;0,425632;0,183536;
0,000000;0,000000;0,000000;
0,243039;0,884920;0,641881;
0,241276;0,000000;0,241276;
0,229039;0,000000;0,229039;
0,058751;0,000000;0,058751;
0,054705;0,000000;0,054705;
0,243373;0,000000;0,243373;
0,248260;0,000000;0,248260;
0,140762;0,000615;0,140148;
0,239471;0,424516;0,185045;
0,157725;0,082267;0,075458;
0,147138;0,000000;0,147138;
0,068862;0,000000;0,068862;
0,160355;0,089731;0,070624;
0,212988;0,313524;0,100536;
0,351331;0,711181;0,359849;
0,385628;0,792393;0,406764;
0,247517;0,454509;0,206993;
0,204013;0,052868;0,151145;
0,391125;0,767338;0,376213;
0,401167;0,804234;0,403067;
0,246925;0,462549;0,215624;
0,150089;0,075075;0,075014;
0,143574;0,033831;0,109743;
0,144099;0,034406;0,109693;
0,146160;0,040506;0,105654;
0,145395;0,040076;0,105320;
0,074082;0,040076;0,034006;
0,137974;0,043714;0,094260;
0,070532;0,029970;0,040562;
0,464375;0,845340;0,380965;
0,143457;0,046510;0,096947;
0,443217;0,000000;0,443217;
0,460436;0,842264;0,381828;
0,204837;0,304451;0,099614;
0,357121;0,691078;0,333957;
0,148076;0,049776;0,098300;
0,170564;0,000000;0,170564;
0,343316;0,051370;0,291946;
0,166999;0,073563;0,093437;
0,148858;0,057338;0,091520;
0,199015;0,119972;0,079043;
0,178512;0,215321;0,036809;
0,178512;0,215321;0,036809;
0,181108;0,215827;0,034720;
0,181108;0,215827;0,034720;
0,149191;0,055253;0,093938;
0,323672;0,646273;0,322601;
0,323672;0,646273;0,322601;
0,189044;0,269267;0,080223;
0,323877;0,642470;0,318592;
0,306698;0,586142;0,279444;
0,102982;0,058757;0,044226;
0,315532;0,608311;0,292779;
0,148260;0,050721;0,097540;
0,178745;0,201511;0,022765;
0,149349;0,065022;0,084327;
0,295989;0,570845;0,274857;
0,317488;0,616464;0,298976;
0,265013;0,500406;0,235393;
0,266009;0,566214;0,300204;
0,274551;0,540228;0,265677;
0,290275;0,514588;0,224313;
0,151709;0,072815;0,078894;
