Reconstruction Coord z;Map Coord z;Error z;
0,030638;0,759707;0,729070;
0,030156;0,760458;0,730303;
0,011280;0,000000;0,011280;
0,002821;0,760336;0,757514;
0,011072;0,349948;0,338876;
0,010047;0,354631;0,344583;
0,011188;0,358689;0,347500;
0,002290;0,440969;0,438679;
0,011120;0,351601;0,340482;
0,011120;0,351601;0,340482;
0,009776;0,355563;0,345787;
0,013857;0,472105;0,458248;
0,011204;0,354017;0,342813;
0,007646;0,177366;0,169721;
0,008352;0,179730;0,171378;
0,011140;0,447598;0,436459;
0,011093;0,444860;0,433767;
0,005653;0,472309;0,466656;
0,009792;0,176116;0,166323;
0,009772;0,189894;0,180122;
0,011046;0,443413;0,432366;
0,002472;0,000000;0,002472;
0,003436;0,000000;0,003436;
0,008176;0,165696;0,157520;
0,008176;0,165696;0,157520;
0,008188;0,180278;0,172090;
0,013794;0,472178;0,458385;
0,010111;0,472178;0,462068;
0,012037;0,000000;0,012037;
0,024185;0,697736;0,673551;
0,023949;0,699786;0,675836;
0,008264;0,169540;0,161275;
0,008034;0,147787;0,139754;
0,024053;0,686609;0,662556;
0,003626;0,193191;0,189566;
0,008137;0,160259;0,152122;
0,008190;0,172197;0,164007;
0,008190;0,172197;0,164007;
0,013984;0,472268;0,458284;
0,013984;0,472268;0,458284;
0,008226;0,165270;0,157044;
0,008226;0,165270;0,157044;
0,021691;0,651518;0,629826;
0,008212;0,163284;0,155072;
0,023337;0,683069;0,659733;
0,008380;0,194954;0,186574;
0,008380;0,194954;0,186574;
0,014025;0,472630;0,458605;
0,003362;0,351394;0,348032;
0,009268;0,472585;0,463317;
0,008132;0,150366;0,142234;
0,007916;0,472539;0,464623;
0,007916;0,472539;0,464623;
0,024150;0,693719;0,669569;
0,008087;0,198453;0,190366;
0,013905;0,472109;0,458204;
0,013905;0,472109;0,458204;
0,013485;0,458463;0,444978;
0,007784;0,194906;0,187123;
0,007719;0,184290;0,176571;
0,013598;0,458892;0,445293;
0,008036;0,145773;0,137737;
0,013963;0,472568;0,458605;
0,007943;0,142695;0,134752;
0,008120;0,202248;0,194128;
0,007986;0,162314;0,154328;
0,008155;0,170318;0,162163;
0,008155;0,170318;0,162163;
0,014147;0,472516;0,458370;
0,002515;0,146188;0,143673;
0,008272;0,183880;0,175608;
0,006020;0,000000;0,006020;
0,012520;0,350836;0,338317;
0,008165;0,164593;0,156428;
0,019965;0,473187;0,453222;
0,007586;0,112234;0,104648;
0,008119;0,162767;0,154648;
0,004688;0,103934;0,099246;
0,013846;0,472463;0,458616;
0,013846;0,472463;0,458616;
0,012822;0,443487;0,430665;
0,005630;0,103579;0,097950;
0,010022;0,411050;0,401029;
0,014023;0,474151;0,460128;
0,008739;0,204064;0,195324;
0,010780;0,459564;0,448784;
0,005348;0,459564;0,454216;
0,009668;0,000000;0,009668;
0,010655;0,237981;0,227326;
0,006071;0,106320;0,100249;
0,008204;0,167979;0,159775;
0,013609;0,459633;0,446025;
0,008020;0,184843;0,176823;
0,007629;0,159994;0,152365;
0,005756;0,458702;0,452946;
0,004310;0,458702;0,454392;
0,013753;0,461124;0,447371;
0,005772;0,461124;0,455353;
0,004267;0,170128;0,165860;
0,008273;0,320302;0,312029;
0,012042;0,697475;0,685433;
0,007753;0,126283;0,118530;
0,027320;0,652106;0,624786;
0,007803;0,129908;0,122105;
0,013688;0,460715;0,447027;
0,007885;0,122506;0,114621;
0,014006;0,697599;0,683593;
0,007233;0,094069;0,086836;
0,004194;0,185178;0,180985;
0,013690;0,459027;0,445337;
0,007330;0,087503;0,080173;
0,006607;0,087503;0,080896;
0,009386;0,279802;0,270416;
0,009045;0,188539;0,179494;
0,008273;0,190926;0,182653;
0,007503;0,089257;0,081754;
0,007676;0,163476;0,155800;
0,008553;0,138693;0,130140;
0,007797;0,124630;0,116833;
0,007702;0,262681;0,254978;
0,013783;0,459763;0,445980;
0,002649;0,161403;0,158754;
0,007753;0,123668;0,115915;
0,007510;0,142673;0,135163;
0,009719;0,434790;0,425071;
0,007469;0,205904;0,198435;
0,008256;0,170969;0,162712;
0,007443;0,218815;0,211372;
0,013690;0,460513;0,446823;
0,013692;0,458825;0,445133;
0,007844;0,143906;0,136062;
0,007844;0,143906;0,136062;
0,009010;0,244540;0,235530;
0,013565;0,461223;0,447658;
0,007949;0,461223;0,453274;
0,005728;0,125880;0,120151;
0,008452;0,131364;0,122912;
0,024516;0,698358;0,673842;
0,009783;0,277220;0,267437;
0,013539;0,460238;0,446699;
0,007722;0,122315;0,114592;
0,013594;0,459083;0,445489;
0,009263;0,246899;0,237636;
0,009263;0,246899;0,237636;
0,010051;0,293096;0,283045;
0,026325;0,000000;0,026325;
0,009317;-nan(ind);-nan(ind);
0,009879;0,283547;0,273668;
0,009879;0,283547;0,273668;
0,013640;0,460429;0,446789;
0,013640;0,460429;0,446789;
0,014459;0,698992;0,684534;
0,007798;0,026684;0,018886;
0,013623;0,459055;0,445432;
0,013632;0,460883;0,447250;
0,003670;0,247164;0,243494;
0,009987;0,000000;0,009987;
0,007964;0,142984;0,135020;
0,013650;0,459724;0,446074;
0,011090;0,350265;0,339175;
0,010662;0,322852;0,312189;
0,010163;0,323978;0,313815;
0,011074;0,350498;0,339423;
0,025078;0,699297;0,674219;
0,025601;0,699219;0,673618;
0,008000;0,205382;0,197382;
0,009839;0,472563;0,462723;
0,007772;0,181801;0,174028;
0,005830;0,350373;0,344543;
0,004823;0,287162;0,282339;
0,009509;0,266820;0,257311;
0,010976;0,443549;0,432573;
