Image;Average;Standard Deviation
Vintage-perfect_DEF.csv;0,302933;0,13071
Storage-perfect_DEF.csv;0,241835;0,165593
Mask-perfect_DEF.csv;0,118261;0,165661
Shelves-perfect_DEF.csv;0,30997;0,180741
Backpack-perfect_DEF.csv;0,230896;0,188121
Sword1-perfect_DEF.csv;0,320133;0,195116
Couch-perfect_DEF.csv;0,466736;0,195751
Sticks-perfect_DEF.csv;0,464201;0,196398
Classroom1-perfect_DEF.csv;0,504753;0,206567
Playtable-perfect_DEF.csv;0,38805;0,213588
Jadeplant-perfect_DEF.csv;0,30965;0,215063
Piano-perfect_DEF.csv;0,38345;0,216605
Pipes-perfect_DEF.csv;0,37603;0,217308
Recycle-perfect_DEF.csv;0,326353;0,22231
Playroom-perfect_DEF.csv;0,397436;0,250843
Cable-perfect_DEF.csv;0,396486;0,25163
Adirondack-perfect_DEF.csv;0,627771;0,273936
Motorcycle-perfect_DEF.csv;0,315389;0,279789
Bicycle1-perfect_DEF.csv;0,528033;0,285629
Shopvac-perfect_DEF.csv;0,556089;0,295148
Flowers-perfect_DEF.csv;0,510837;0,303093
Sword2-perfect_DEF.csv;0,481396;0,303431
Umbrella-perfect_DEF.csv;0,389658;0,305587
