Image;Average;Standard Deviation;;
Storage-perfect_FF_FP.csv;0,148996;0,16217;;
Pipes-perfect_FF_FP.csv;0,167274;0,178662;;
Mask-perfect_FF_FP.csv;0,206714;0,234171;;
Umbrella-perfect_FF_FP.csv;0,2474;0,197091;;7,881987
Backpack-perfect_FF_FP.csv;0,263105;0,245166;;
Playtable-perfect_FF_FP.csv;0,279335;0,186251;;
Vintage-perfect_FF_FP.csv;0,281375;0,110728;;
Jadeplant-perfect_FF_FP.csv;0,287379;0,149449;;
Shelves-perfect_FF_FP.csv;0,309585;0,188639;;
Piano-perfect_FF_FP.csv;0,313811;0,176469;;
Motorcycle-perfect_FF_FP.csv;0,315337;0,192058;;
Cable-perfect_FF_FP.csv;0,340518;0,186985;;
Flowers-perfect_FF_FP.csv;0,386789;0,300199;;
Sword1-perfect_FF_FP.csv;0,406534;0,217124;;
Bicycle1-perfect_FF_FP.csv;0,416707;0,224729;;
Sticks-perfect_FF_FP.csv;0,420189;0,176142;;
Couch-perfect_FF_FP.csv;0,439405;0,193775;;
Sword2-perfect_FF_FP.csv;0,446611;0,313903;;
Playroom-perfect_FF_FP.csv;0,482089;0,243476;;
Shopvac-perfect_FF_FP.csv;0,491256;0,264732;;
Recycle-perfect_FF_FP.csv;0,50199;0,304634;;
Classroom1-perfect_FF_FP.csv;0,524043;0,220124;;
Adirondack-perfect_FF_FP.csv;0,560085;0,270637;;
