Image;Average;Standard Deviation;
Adirondack-perfect_DEF.csv;0,627771;0,273936;
Backpack-perfect_DEF.csv;0,230896;0,188121;
Bicycle1-perfect_DEF.csv;0,528033;0,285629;
Cable-perfect_DEF.csv;0,396486;0,251630;
Classroom1-perfect_DEF.csv;0,504753;0,206567;
Couch-perfect_DEF.csv;0,466736;0,195751;
Flowers-perfect_DEF.csv;0,510837;0,303093;
Jadeplant-perfect_DEF.csv;0,309650;0,215063;
Mask-perfect_DEF.csv;0,118261;0,165661;
Motorcycle-perfect_DEF.csv;0,315389;0,279789;
Piano-perfect_DEF.csv;0,383450;0,216605;
Pipes-perfect_DEF.csv;0,376030;0,217308;
Playroom-perfect_DEF.csv;0,397436;0,250843;
Playtable-perfect_DEF.csv;0,388050;0,213588;
Recycle-perfect_DEF.csv;0,326353;0,222310;
Shelves-perfect_DEF.csv;0,309970;0,180741;
Shopvac-perfect_DEF.csv;0,556089;0,295148;
Sticks-perfect_DEF.csv;0,464201;0,196398;
Storage-perfect_DEF.csv;0,241835;0,165593;
Sword1-perfect_DEF.csv;0,320133;0,195116;
Sword2-perfect_DEF.csv;0,481396;0,303431;
Umbrella-perfect_DEF.csv;0,389658;0,305587;
Vintage-perfect_DEF.csv;0,302933;0,130710;
