Image;Average;Deviation STD;
Adirondack-perfect_FF.csv;0,635606;0,268765;
Backpack-perfect_FF.csv;0,296641;0,294614;
Bicycle1-perfect_FF.csv;0,663985;0,253879;
Cable-perfect_FF.csv;0,333186;0,207464;
Classroom1-perfect_FF.csv;0,493061;0,203165;
Couch-perfect_FF.csv;0,495069;0,225917;
Flowers-perfect_FF.csv;0,397131;0,312549;
Jadeplant-perfect_FF.csv;0,344814;0,153629;
Mask-perfect_FF.csv;0,237952;0,255426;
Motorcycle-perfect_FF.csv;0,415553;0,252762;
Piano-perfect_FF.csv;0,428834;0,165348;
Pipes-perfect_FF.csv;0,238198;0,187381;
Playroom-perfect_FF.csv;0,467423;0,256900;
Playtable-perfect_FF.csv;0,385980;0,230910;
Recycle-perfect_FF.csv;0,577206;0,310044;
Shelves-perfect_FF.csv;0,453934;0,236461;
Shopvac-perfect_FF.csv;0,589499;0,291688;
Sticks-perfect_FF.csv;0,524147;0,210367;
Storage-perfect_FF.csv;0,239817;0,197543;
Sword1-perfect_FF.csv;0,398848;0,225228;
Sword2-perfect_FF.csv;0,591470;0,304096;
Umbrella-perfect_FF.csv;0,349751;0,282374;
Vintage-perfect_FF.csv;0,307212;0,134101;
