Image;Average;Standard Deviation;
Adirondack-perfect_FF_FP.csv;0,472965;0,274189;
Backpack-perfect_FF_FP.csv;0,325080;0,312239;
Bicycle1-perfect_FF_FP.csv;0,698694;0,224274;
Cable-perfect_FF_FP.csv;0,405222;0,173524;
Classroom1-perfect_FF_FP.csv;0,523894;0,204303;
Couch-perfect_FF_FP.csv;0,495100;0,169761;
Flowers-perfect_FF_FP.csv;0,350275;0,255997;
Jadeplant-perfect_FF_FP.csv;0,296356;0,150812;
Mask-perfect_FF_FP.csv;0,176499;0,182699;
Motorcycle-perfect_FF_FP.csv;0,314534;0,224047;
Piano-perfect_FF_FP.csv;0,400801;0,126381;
Pipes-perfect_FF_FP.csv;0,181490;0,169499;
Playroom-perfect_FF_FP.csv;0,331930;0,230987;
Playtable-perfect_FF_FP.csv;0,237545;0,152808;
Recycle-perfect_FF_FP.csv;0,639285;0,257347;
Shelves-perfect_FF_FP.csv;0,235678;0,160165;
Shopvac-perfect_FF_FP.csv;0,422341;0,133184;
Sticks-perfect_FF_FP.csv;0,415022;0,193805;
Storage-perfect_FF_FP.csv;0,118311;0,127989;
Sword1-perfect_FF_FP.csv;0,343909;0,209014;
Sword2-perfect_FF_FP.csv;0,300719;0,206774;
Umbrella-perfect_FF_FP.csv;0,212970;0,178585;
Vintage-perfect_FF_FP.csv;0,268695;0,131815;
